,atmos_male,atmos_female,tuple,energy_male,energy_female,corp_male,corp_female,average_male,average_female,female-male
0,-0.6122778,-0.756409,"('unsociable', 'sociable')",0.20074603,0.036212523,0.077220544,-0.08928182,-0.1114371,-0.2698261,-0.158389
1,-1.3351895,-1.56156,"('unfriendly', 'friendly')",0.20855431,-0.011611823,0.35072622,0.14398554,-0.2586363,-0.4763954,-0.2177591
2,1.1839935,1.2185073,"('unlikable', 'likable')",1.5050958,1.4550788,1.0539904,1.0372802,1.2476932,1.2369555,-0.0107377
3,-0.14817518,-0.14516833,"('repellent', 'pleasant')",-0.32483134,-0.30482104,0.98524934,0.9886932,0.1707476,0.1795679,0.0088203
4,-0.25016674,-0.2876427,"('disliked', 'liked')",0.60099566,0.4160741,-5.830809,-6.070281,-1.82666,-1.9806166,-0.1539566
5,-1.3719723,-1.3481903,"('distant', 'outgoing')",-0.11210995,-0.14520983,-1.6518006,-1.7106242,-1.0452943,-1.0680081,-0.0227138
6,-1.5718875,-1.5434117,"('distant', 'open')",-0.6454375,-0.750937,-1.671049,-1.7686627,-1.2961246,-1.3543371,-0.0582125
7,0.028611906,-0.07094751,"('insensitive', 'sensitive')",0.44293007,0.4353151,0.19043246,0.1768723,0.2206581,0.1804133,-0.0402448
8,-0.5988265,-0.7481069,"('unaffectionate', 'affectionate')",-0.57609147,-0.71900624,-0.29572496,-0.39375064,-0.4902143,-0.6202879,-0.1300736
9,-0.74573827,-0.9073345,"('unaffectionate', 'caring')",0.13596256,0.014393248,0.13503662,0.061691187,-0.1582464,-0.2770834,-0.118837
10,-1.173595,-1.277024,"('unsympathetic', 'sympathetic')",-0.83601105,-0.94844735,-0.5583951,-0.58242166,-0.8560003,-0.9359644,-0.0799641
11,0.28794682,0.21257389,"('unhelpful', 'helpful')",0.57460093,0.6195147,1.8911711,1.9216144,0.9179063,0.917901,-5.3e-06
12,-0.3107058,-0.268456,"('unsupportive', 'supportive')",0.45449856,0.45859146,-2.1388073,-2.2045217,-0.6650048,-0.6714621,-0.0064573
13,-0.070646204,-0.072618976,"('impolite', 'polite')",0.20573603,0.2908222,-0.6529802,-0.6227237,-0.1726301,-0.1348402,0.0377899
14,0.47138336,0.4198291,"('antisocial', 'social')",1.1483514,1.1222153,0.8197962,0.7055829,0.8131769,0.7492091,-0.0639678
15,0.4883604,0.34754354,"('boring', 'funny')",0.4035158,0.30574644,0.024083944,-0.045474358,0.3053201,0.2026052,-0.1027149
16,-0.33963105,-0.3948968,"('unpopular', 'popular')",-0.12861674,-0.26987666,0.47136122,0.37596363,0.0010378,-0.0962699,-0.0973077
17,-0.36227536,-0.31398416,"('nasty', 'nice')",-0.65386075,-0.59392464,-0.5943979,-0.5753313,-0.5368447,-0.4944134,0.0424313
18,-0.0349408,-0.028108807,"('disagreeable', 'welcoming')",-0.72406554,-0.7866248,-0.7743113,-0.8882423,-0.5111059,-0.5676587,-0.0565528
19,-1.8838346,-1.8698695,"('inhospitable', 'hospitable')",-1.0614355,-1.1299946,-1.4896513,-1.4623003,-1.4783071,-1.4873881,-0.009081
20,-0.4408099,-0.41167837,"('rough', 'thoughtful')",0.034365214,0.10483931,0.33880183,0.3185059,-0.0225476,0.003889,0.0264366
21,0.34586772,0.27040836,"('immoral', 'moral')",1.3640586,1.2594037,0.12418962,0.14962313,0.611372,0.5598118,-0.0515602
22,-0.08414002,-0.11166794,"('untrustworthy', 'trustworthy')",-0.60914004,-0.71531683,-0.59578335,-0.6480841,-0.4296878,-0.4916896,-0.0620018
23,0.07981835,-0.08478345,"('insincere', 'sincere')",-0.08699523,-0.1639731,5.275791,5.2361703,1.7562048,1.6624713,-0.0937335
24,-0.5436307,-0.648066,"('dishonest', 'honest')",0.40170398,0.36564055,0.13460612,0.12996836,-0.0024402,-0.050819,-0.0483788
25,-0.48488843,-0.5757902,"('egoistic', 'altruistic')",0.7664752,0.67118,0.95829624,0.8700341,0.4132943,0.321808,-0.0914863
26,0.020839497,-0.0454283,"('hardhearted', 'benevolent')",0.6873802,0.6319214,1.4268354,1.358672,0.711685,0.6483884,-0.0632966
27,-0.58330584,-0.55232984,"('hardhearted', 'softhearted')",-0.2259118,-0.13646533,0.18619059,0.09400794,-0.2076757,-0.1982624,0.0094133
28,-0.5270966,-0.7237985,"('disloyal', 'loyal')",0.44436696,0.20957729,1.1129578,1.011722,0.3434094,0.1658336,-0.1775758
29,-0.6116786,-0.65712905,"('unfair', 'fair')",-0.5865293,-0.6602286,-0.6071695,-0.7600463,-0.6017925,-0.692468,-0.0906755
30,0.82246315,0.76015604,"('intolerant', 'tolerant')",1.28302,1.2378666,1.2294587,1.1803963,1.1116473,1.059473,-0.0521743
31,-1.0385029,-0.9326848,"('evil', 'good')",-1.3106048,-1.3650141,-1.749961,-1.8380871,-1.3663562,-1.3785954,-0.0122392
32,0.03154867,-0.09087858,"('unkind', 'kind')",0.23034659,0.22471187,0.8731982,0.7627944,0.3783645,0.2988759,-0.0794886
33,-0.19377202,-0.2277609,"('wrong', 'right')",0.98355275,0.90763724,-1.1168104,-1.1856554,-0.1090099,-0.168593,-0.0595831
34,-0.17528549,-0.07548415,"('mean', 'honorable')",0.3069882,0.37223783,4.771687,4.998521,1.6344633,1.7650916,0.1306283
35,-0.0609157,-0.111133255,"('corrupt', 'incorrupt')",-0.6296668,-0.70716435,-0.8927844,-0.99924624,-0.527789,-0.605848,-0.078059
36,-0.58230466,-0.6716267,"('hostile', 'amicable')",-0.8432281,-1.0817416,-0.79656214,-0.94455403,-0.7406983,-0.8993074,-0.1586091
