,cintas_male,cintas_female,tuple,corp_male,corp_female,average_male,average_female,female-male
0,-0.7195449,-0.79784095,"('unsociable', 'sociable')",-0.11099172,-0.29320166,-0.4152683,-0.5455213,-0.130253
1,-1.3886704,-1.3350102,"('unfriendly', 'friendly')",0.8065897,0.7026356,-0.2910404,-0.3161873,-0.0251469
2,0.94809794,0.9694123,"('unlikable', 'likable')",0.8329926,0.8546818,0.8905452,0.912047,0.0215018
3,-0.49589857,-0.3971644,"('repellent', 'pleasant')",1.0043625,1.0380256,0.2542319,0.3204306,0.0661987
4,-0.20422767,-0.17688811,"('disliked', 'liked')",-6.191111,-6.2976136,-3.1976693,-3.2372508,-0.0395815
5,-1.1705737,-1.0763046,"('distant', 'outgoing')",-1.0258439,-0.9972892,-1.0982088,-1.0367968,0.061412
6,-1.6267792,-1.4901654,"('distant', 'open')",-1.2237852,-1.2233207,-1.4252822,-1.3567431,0.0685391
7,-0.26002857,-0.27396375,"('insensitive', 'sensitive')",0.14174937,0.13116068,-0.0591396,-0.0714015,-0.0122619
8,-1.0900261,-1.0838572,"('unaffectionate', 'affectionate')",-0.037479904,-0.06936361,-0.563753,-0.5766104,-0.0128574
9,-1.4166069,-1.3848233,"('unaffectionate', 'caring')",0.31241518,0.2979513,-0.5520959,-0.543436,0.0086599
10,-0.7289674,-0.76462233,"('unsympathetic', 'sympathetic')",-0.72800195,-0.78031546,-0.7284847,-0.7724689,-0.0439842
11,0.1682094,0.07700537,"('unhelpful', 'helpful')",1.4706123,1.4643865,0.8194109,0.7706959,-0.048715
12,-0.20658141,-0.04472558,"('unsupportive', 'supportive')",-2.2778141,-2.284449,-1.2421978,-1.1645874,0.0776104
13,-0.10731678,-0.25070354,"('impolite', 'polite')",-0.95953137,-1.0127112,-0.5334241,-0.6317074,-0.0982833
14,0.84554243,0.81861866,"('antisocial', 'social')",0.5300451,0.4076787,0.6877937,0.6131487,-0.074645
15,0.3301972,0.19920154,"('boring', 'funny')",0.287812,0.27908146,0.3090046,0.2391415,-0.0698631
16,-0.24250285,-0.2073373,"('unpopular', 'popular')",0.5513281,0.49826926,0.1544126,0.145466,-0.0089466
17,-0.25186476,-0.18713894,"('nasty', 'nice')",-0.28835887,-0.2655507,-0.2701118,-0.2263448,0.043767
18,0.15004501,0.2718535,"('disagreeable', 'welcoming')",-0.6826869,-0.7310743,-0.2663209,-0.2296104,0.0367105
19,-1.3362899,-1.2657907,"('inhospitable', 'hospitable')",-0.98604184,-0.93335056,-1.1611658,-1.0995706,0.0615952
20,0.120489806,0.1475788,"('rough', 'thoughtful')",0.96830416,0.96780246,0.544397,0.5576906,0.0132936
21,0.6109221,0.5186171,"('immoral', 'moral')",0.02870043,0.020613676,0.3198113,0.2696154,-0.0501959
22,0.05581221,0.061656576,"('untrustworthy', 'trustworthy')",-0.8355041,-0.9356761,-0.389846,-0.4370098,-0.0471638
23,-0.4293345,-0.4759319,"('insincere', 'sincere')",5.2004547,5.1280694,2.38556,2.3260686,-0.0594914
24,-0.46081483,-0.5214171,"('dishonest', 'honest')",0.31488585,0.28246796,-0.0729645,-0.1194746,-0.0465101
25,-0.009035274,0.019050378,"('egoistic', 'altruistic')",1.3209418,1.3499649,0.6559533,0.6845076,0.0285543
26,0.26164958,0.25839186,"('hardhearted', 'benevolent')",1.7691333,1.6767212,1.0153915,0.9675565,-0.047835
27,-0.25840193,-0.17352171,"('hardhearted', 'softhearted')",0.9207298,0.9069091,0.3311639,0.3666937,0.0355298
