,bath_male,bath_female,tuple,&_male,&_female,body_male,body_female,works_male,works_female,inc_male,inc_female,average_male,average_female,female-male
0,0.2758917,0.2601651,"('unsociable', 'sociable')",0.10694576,-0.016364738,0.2381605,-0.018020168,1.4224981,1.3814466,-0.14131114,-0.3035981,0.380437,0.2607257,-0.1197113
1,0.9521294,1.0536066,"('unfriendly', 'friendly')",-0.24481681,-0.14853501,0.9344784,0.9584312,-0.5415788,-0.50931364,1.9522101,1.8561713,0.6104844,0.6420721,0.0315877
2,1.1187913,1.1108938,"('unlikable', 'likable')",1.54838,1.5348567,0.83913463,0.89423966,0.85228765,0.9414665,0.7037183,0.8431457,1.0124624,1.0649205,0.0524581
3,-1.8131796,-1.6789454,"('repellent', 'pleasant')",-0.901186,-0.8243808,-0.105958775,-0.100451104,0.4217573,0.557086,0.15297325,0.18590137,-0.4491188,-0.372158,0.0769608
4,0.15496366,0.146366,"('disliked', 'liked')",0.520347,0.55245084,1.137314,1.2138287,-0.42498314,-0.37159893,-5.820183,-5.769704,-0.8865083,-0.8457314,0.0407769
5,1.0620455,1.203433,"('distant', 'outgoing')",0.34253734,0.60448045,1.1804593,1.3607132,-1.3414116,-1.2441391,0.04058957,0.10324191,0.256844,0.4055459,0.1487019
6,1.2106915,1.4059007,"('distant', 'open')",0.15744346,0.49777865,0.6653418,0.87941647,-1.9188602,-1.7927719,0.41396043,0.45902902,0.1057154,0.2898706,0.1841552
7,0.56105727,0.56671125,"('insensitive', 'sensitive')",-0.0031131655,-0.101343855,-0.58186895,-0.6467878,0.15028806,0.1697529,0.63048965,0.55170983,0.1513706,0.1080085,-0.0433621
8,1.3051696,1.3268598,"('unaffectionate', 'affectionate')",-0.9476055,-0.8161606,-0.08389933,-0.017865848,-1.5994995,-1.5826826,0.54612046,0.487041,-0.1559429,-0.1205616,0.0353813
9,1.3269403,1.4063001,"('unaffectionate', 'caring')",-0.5372448,-0.51025397,0.5864074,0.5653127,-0.4854977,-0.4427743,1.1633078,1.1602379,0.4107826,0.4357645,0.0249819
10,-0.9691201,-0.925254,"('unsympathetic', 'sympathetic')",-1.2918884,-1.4028097,-1.274402,-1.4120778,0.08755028,0.10524028,-0.45166203,-0.49233577,-0.7799045,-0.8254474,-0.0455429
11,-0.42861646,-0.49847576,"('unhelpful', 'helpful')",0.06787794,0.03939972,0.27744144,0.14205642,0.90147734,0.9867078,2.2973125,2.3274992,0.6230986,0.5994375,-0.0236611
12,1.1145859,1.2979002,"('unsupportive', 'supportive')",0.26303288,0.55274475,1.0335916,1.1684448,0.41241336,0.662691,-1.8116442,-1.7760366,0.2023959,0.3811488,0.1787529
13,0.19459237,0.119648464,"('impolite', 'polite')",-0.09890574,-0.1936036,0.12326278,-0.001875706,1.0891112,1.0573449,-0.10013291,-0.19937181,0.2415855,0.1564285,-0.085157
14,1.13994,1.030553,"('antisocial', 'social')",0.5604989,0.42446753,-0.415219,-0.53014034,1.0832095,1.0643837,-0.54909503,-0.6113018,0.3638669,0.2755924,-0.0882745
15,1.5784461,1.4430456,"('boring', 'funny')",1.071036,0.8743218,1.1807305,1.0484834,-0.31617302,-0.4218219,1.0665286,1.0204308,0.9161137,0.792892,-0.1232217
16,-0.4826097,-0.3718147,"('unpopular', 'popular')",0.3885309,0.39703193,-0.66364306,-0.48834518,-0.5018425,-0.44215006,0.91411334,0.9584668,-0.0690902,0.0106378,0.079728
17,0.083715536,0.123698086,"('nasty', 'nice')",-0.27074125,-0.2576233,0.69348866,0.7821794,0.8264824,0.78565085,0.048910096,0.046101227,0.2763711,0.2960012,0.0196301
