,tenet_male,tenet_female,tuple,healthcare_male,healthcare_female,corp_male,corp_female,average_male,average_female,female-male
0,-1.5756146,-1.6592393,"('unsociable', 'sociable')",0.39911792,0.34639812,-0.32832745,-0.44584748,-0.501608,-0.5862296,-0.0846216
1,-2.741063,-2.728781,"('unfriendly', 'friendly')",0.8865984,0.82632214,1.2919482,1.1904887,-0.1875055,-0.2373234,-0.0498179
2,0.42019773,0.4921276,"('unlikable', 'likable')",1.1742285,1.213984,1.1172365,1.1610417,0.9038876,0.9557178,0.0518302
3,-0.4594815,-0.2640955,"('repellent', 'pleasant')",-1.3445177,-1.1031014,0.57655627,0.6248824,-0.4091477,-0.2474381,0.1617096
4,-0.1894999,-0.07571781,"('disliked', 'liked')",0.5409608,0.5749355,-6.5474367,-6.613694,-2.0653253,-2.0381589,0.0271664
5,-0.80759066,-0.75089145,"('distant', 'outgoing')",0.96411145,1.0123074,-0.2884543,-0.26268002,-0.0439778,-0.0004214,0.0435564
6,-0.6807459,-0.5572164,"('distant', 'open')",0.7730301,0.8475822,-0.12092624,-0.12665552,-0.0095473,0.0545701,0.0641174
7,-0.044025254,0.019286115,"('insensitive', 'sensitive')",0.07046001,0.1429398,0.27686945,0.3076839,0.1011014,0.1566366,0.0555352
8,-1.3022125,-1.3445181,"('unaffectionate', 'affectionate')",0.31984028,0.25095758,0.47383505,0.45510316,-0.1695124,-0.2128191,-0.0433067
9,-0.99678224,-1.0233785,"('unaffectionate', 'caring')",1.3761837,1.3465618,1.1353302,1.1412257,0.5049105,0.4881363,-0.0167742
10,-0.6759061,-0.6498518,"('unsympathetic', 'sympathetic')",-0.57953376,-0.46065623,-0.5862908,-0.5834767,-0.6139102,-0.5646616,0.0492486
11,-0.246173,-0.22342563,"('unhelpful', 'helpful')",0.1585249,0.19101913,1.3306582,1.4177147,0.4143367,0.4617694,0.0474327
12,0.4687817,0.60908437,"('unsupportive', 'supportive')",2.3013768,2.4782195,-1.6875682,-1.6604304,0.3608634,0.4756245,0.1147611
13,-0.08325282,-0.19217493,"('impolite', 'polite')",0.20257705,0.20022461,-0.6377203,-0.6746605,-0.1727987,-0.2222036,-0.0494049
14,0.004246436,-0.00037574396,"('antisocial', 'social')",0.12401426,0.18508443,-0.21647847,-0.3117339,-0.0294059,-0.0423417,-0.0129358
15,-0.23244372,-0.3168868,"('boring', 'funny')",0.59262353,0.45636788,-0.33414996,-0.33472872,0.0086766,-0.0650826,-0.0737592
16,-1.0439296,-1.0001496,"('unpopular', 'popular')",-0.018415235,0.059465617,0.25699264,0.20548671,-0.2684507,-0.2450657,0.023385
17,-0.6287979,-0.5331424,"('nasty', 'nice')",-0.7495287,-0.5973516,-0.6868248,-0.5926324,-0.6883838,-0.5743755,0.1140083
