,o_male,o_female,tuple,reilly_male,reilly_female,automotive_male,automotive_female,inc_male,inc_female,average_male,average_female,female-male
0,-1.1749781,-1.2539017,"('unsociable', 'sociable')",-0.7919381,-0.84815717,-0.08674821,-0.089200154,-0.384252,-0.48464763,-0.6094791,-0.6689767,-0.0594976
1,-1.8227489,-1.8077554,"('unfriendly', 'friendly')",0.13362406,0.057364535,0.66584134,0.58997226,1.6941547,1.5226433,0.1677178,0.0905562,-0.0771616
2,0.3897476,0.4143007,"('unlikable', 'likable')",-0.25287727,-0.23967306,0.47546753,0.5168328,0.46880534,0.52257454,0.2702858,0.3035088,0.033223
3,0.27910987,0.42782986,"('repellent', 'pleasant')",-1.268265,-1.1229049,-0.18751816,-0.084943935,0.15012509,0.20033616,-0.256637,-0.1449207,0.1117163
4,-0.12529424,-0.21492636,"('disliked', 'liked')",1.0123303,0.9690647,0.012364345,-0.073481955,-6.135295,-6.2915397,-1.3089737,-1.4027208,-0.0937471
5,-0.09693493,-0.15064844,"('distant', 'outgoing')",1.1846838,1.1583731,0.32092825,0.257546,-0.17321269,-0.24379635,0.3088661,0.2553686,-0.0534975
6,0.36001354,0.39681762,"('distant', 'open')",1.2684314,1.2647027,0.012681976,-0.06111985,0.39538258,0.3008575,0.5091274,0.4753145,-0.0338129
7,-0.20644315,-0.14833361,"('insensitive', 'sensitive')",0.03718947,0.03891254,0.037890106,0.11814883,0.6093357,0.61257404,0.119493,0.1553254,0.0358324
8,-1.492681,-1.4693192,"('unaffectionate', 'affectionate')",0.1494114,0.1378564,-0.029238014,-0.11350229,0.41222957,0.28202847,-0.2400695,-0.2907342,-0.0506647
9,-1.1863894,-1.1578363,"('unaffectionate', 'caring')",0.4931039,0.44937193,0.6843587,0.6297959,0.90964985,0.8440423,0.2251807,0.1913435,-0.0338372
10,-1.8422244,-1.7412784,"('unsympathetic', 'sympathetic')",-0.97991484,-0.90711683,-0.5079072,-0.41678447,-0.37494642,-0.37560546,-0.9262482,-0.8601964,0.0660518
11,-0.3863126,-0.36854488,"('unhelpful', 'helpful')",-0.61289006,-0.61199105,1.070279,1.1323184,1.8032314,1.9018059,0.4685769,0.5133971,0.0448202
12,-0.50565493,-0.49160552,"('unsupportive', 'supportive')",0.84540886,0.9005493,0.35966364,0.42309773,-1.4707879,-1.4972731,-0.1928426,-0.1663079,0.0265347
13,0.508933,0.3205614,"('impolite', 'polite')",-0.4946767,-0.569283,0.41490522,0.49429953,-0.11337523,-0.12210293,0.0789466,0.0308688,-0.0480778
14,-1.1439421,-1.1616782,"('antisocial', 'social')",-1.4770528,-1.3698463,0.034378797,0.13213977,-0.8480705,-0.8214326,-0.8586717,-0.8052044,0.0534673
15,1.1250498,1.0217924,"('boring', 'funny')",0.85291624,0.7598021,1.1879686,1.124621,0.26900047,0.2576205,0.8587338,0.7909591,-0.0677747
16,-0.8460525,-0.9230874,"('unpopular', 'popular')",-0.9854305,-0.98439807,-0.4092646,-0.49174845,0.5072305,0.4504299,-0.4333793,-0.487201,-0.0538217
17,-0.34457427,-0.27220136,"('nasty', 'nice')",-0.028180014,0.025567159,-0.60585713,-0.5546613,-0.42837015,-0.36472365,-0.3517454,-0.2915048,0.0602406
18,-0.13886383,-0.102557525,"('disagreeable', 'welcoming')",0.15316221,0.17696328,-0.913203,-0.89734054,-0.67454165,-0.76194185,-0.3933616,-0.3962191,-0.0028575
19,-0.28234333,-0.25463885,"('inhospitable', 'hospitable')",1.7854346,1.7923805,0.24311131,0.23574567,-0.070843965,-0.02170983,0.4188397,0.4379444,0.0191047
20,-0.39686745,-0.31168705,"('rough', 'thoughtful')",-0.16447121,-0.10922602,-0.19722627,-0.14223444,1.254558,1.2320703,0.1239983,0.1672307,0.0432324
21,-0.027200822,-0.0049708053,"('immoral', 'moral')",-0.82633656,-0.8297337,1.07908,1.1474105,-0.5920732,-0.5456283,-0.0916326,-0.0582306,0.033402
22,0.02321738,0.0443286,"('untrustworthy', 'trustworthy')",-1.2597085,-1.2057208,-0.46813583,-0.46030274,-0.8882814,-0.91848534,-0.6482271,-0.6350451,0.013182
23,-0.44031262,-0.45156336,"('insincere', 'sincere')",-0.6372947,-0.65358084,0.5845318,0.64226705,5.5341344,5.501982,1.2602646,1.2597762,-0.0004884
24,-1.0499208,-1.04125,"('dishonest', 'honest')",-0.42135793,-0.40286067,0.89371425,0.90751135,0.5447692,0.4965547,-0.0081988,-0.0100111,-0.0018123
25,-0.49805805,-0.48266158,"('egoistic', 'altruistic')",1.0316125,0.96776557,0.46167883,0.38245946,1.5205446,1.4295264,0.6289445,0.5742725,-0.054672
26,-0.9157788,-0.92274684,"('hardhearted', 'benevolent')",0.24848616,0.18037118,-0.059020393,-0.038930252,1.3632469,1.3173326,0.1592335,0.1340067,-0.0252268
