,currant_male,currant_female,tuple,average_male,average_female,female-male
0,0.22246267,0.16878344,"('unsociable', 'sociable')",0.2224627,0.1687834,-0.0536793
1,0.63306755,0.48615217,"('unfriendly', 'friendly')",0.6330675,0.4861522,-0.1469153
2,-0.40304285,-0.42907536,"('unlikable', 'likable')",-0.4030429,-0.4290754,-0.0260325
3,-0.6281004,-0.51281786,"('repellent', 'pleasant')",-0.6281004,-0.5128179,0.1152825
4,-2.4516668,-2.4486628,"('disliked', 'liked')",-2.4516668,-2.4486628,0.003004
5,-0.10930664,-0.19358657,"('distant', 'outgoing')",-0.1093066,-0.1935866,-0.08428
6,-0.20713642,-0.30251297,"('distant', 'open')",-0.2071364,-0.302513,-0.0953766
7,-0.17886795,-0.0935981,"('insensitive', 'sensitive')",-0.178868,-0.0935981,0.0852699
8,0.46613637,0.36584723,"('unaffectionate', 'affectionate')",0.4661364,0.3658472,-0.1002892
9,0.4536675,0.3876611,"('unaffectionate', 'caring')",0.4536675,0.3876611,-0.0660064
10,0.04372739,0.087584145,"('unsympathetic', 'sympathetic')",0.0437274,0.0875841,0.0438567
11,0.31276572,0.38221732,"('unhelpful', 'helpful')",0.3127657,0.3822173,0.0694516
12,-1.0622761,-1.0516887,"('unsupportive', 'supportive')",-1.0622761,-1.0516887,0.0105874
13,-0.649311,-0.65560216,"('impolite', 'polite')",-0.649311,-0.6556022,-0.0062912
14,0.21635099,0.26298577,"('antisocial', 'social')",0.216351,0.2629858,0.0466348
15,0.74731314,0.712839,"('boring', 'funny')",0.7473131,0.712839,-0.0344741
16,-0.29015332,-0.36941206,"('unpopular', 'popular')",-0.2901533,-0.3694121,-0.0792588
17,0.07882302,0.079657055,"('nasty', 'nice')",0.078823,0.0796571,0.0008341
18,-1.8419415,-1.8740611,"('disagreeable', 'welcoming')",-1.8419415,-1.8740611,-0.0321196
19,-0.70636123,-0.7129884,"('inhospitable', 'hospitable')",-0.7063612,-0.7129884,-0.0066272
20,0.40305662,0.43164054,"('rough', 'thoughtful')",0.4030566,0.4316405,0.0285839
21,-0.3924075,-0.26047736,"('immoral', 'moral')",-0.3924075,-0.2604774,0.1319301
22,-0.625672,-0.67431885,"('untrustworthy', 'trustworthy')",-0.625672,-0.6743189,-0.0486469
23,2.0392132,2.0324059,"('insincere', 'sincere')",2.0392132,2.0324059,-0.0068073
24,0.56315184,0.52495533,"('dishonest', 'honest')",0.5631518,0.5249553,-0.0381965
25,0.50514746,0.3696441,"('egoistic', 'altruistic')",0.5051475,0.3696441,-0.1355034
26,0.6552931,0.5766716,"('hardhearted', 'benevolent')",0.6552931,0.5766716,-0.0786215
27,0.51121825,0.3532618,"('hardhearted', 'softhearted')",0.5112182,0.3532618,-0.1579564
28,0.8402997,0.7621807,"('disloyal', 'loyal')",0.8402997,0.7621807,-0.078119
29,-0.45823193,-0.57247144,"('unfair', 'fair')",-0.4582319,-0.5724714,-0.1142395
30,-0.5018676,-0.4005923,"('intolerant', 'tolerant')",-0.5018676,-0.4005923,0.1012753
31,-1.0719591,-1.0680312,"('evil', 'good')",-1.0719591,-1.0680312,0.0039279
32,0.23722187,0.17690086,"('unkind', 'kind')",0.2372219,0.1769009,-0.060321
33,0.21981278,0.09393142,"('wrong', 'right')",0.2198128,0.0939314,-0.1258814
34,2.0277452,2.1747358,"('mean', 'honorable')",2.0277452,2.1747358,0.1469906
35,0.031492867,-0.14406918,"('corrupt', 'incorrupt')",0.0314929,-0.1440692,-0.1755621
