,plagiarism_male,plagiarism_female,tuple,average_male,average_female,female-male
0,-1.0429022,-1.0723749,"('unsociable', 'sociable')",-1.0429022,-1.0723749,-0.0294727
1,-0.41663587,-0.6304308,"('unfriendly', 'friendly')",-0.4166359,-0.6304308,-0.2137949
2,-0.8520147,-0.8017449,"('unlikable', 'likable')",-0.8520147,-0.8017449,0.0502698
3,-0.98654467,-0.8749201,"('repellent', 'pleasant')",-0.9865447,-0.8749201,0.1116246
4,-1.4466435,-1.4761488,"('disliked', 'liked')",-1.4466435,-1.4761488,-0.0295053
5,-0.002163291,-0.11728647,"('distant', 'outgoing')",-0.0021633,-0.1172865,-0.1151232
6,0.31629348,0.17743537,"('distant', 'open')",0.3162935,0.1774354,-0.1388581
7,-1.7287784,-1.6754434,"('insensitive', 'sensitive')",-1.7287784,-1.6754434,0.053335
8,-0.99406534,-1.1683364,"('unaffectionate', 'affectionate')",-0.9940653,-1.1683364,-0.1742711
9,-1.2887279,-1.4257644,"('unaffectionate', 'caring')",-1.2887279,-1.4257644,-0.1370365
10,-1.3778479,-1.4142221,"('unsympathetic', 'sympathetic')",-1.3778479,-1.4142221,-0.0363742
11,-1.2079502,-1.132776,"('unhelpful', 'helpful')",-1.2079502,-1.132776,0.0751742
12,-2.0560293,-2.0329483,"('unsupportive', 'supportive')",-2.0560293,-2.0329483,0.023081
13,-1.0115062,-1.0008618,"('impolite', 'polite')",-1.0115062,-1.0008618,0.0106444
14,-1.4223462,-1.4076813,"('antisocial', 'social')",-1.4223462,-1.4076813,0.0146649
15,0.41687566,0.34109366,"('boring', 'funny')",0.4168757,0.3410937,-0.075782
16,-1.5688759,-1.502385,"('unpopular', 'popular')",-1.5688759,-1.502385,0.0664909
17,-0.28519142,-0.2555302,"('nasty', 'nice')",-0.2851914,-0.2555302,0.0296612
18,-1.6290945,-1.6132815,"('disagreeable', 'welcoming')",-1.6290945,-1.6132815,0.015813
19,-0.56208456,-0.5904368,"('inhospitable', 'hospitable')",-0.5620846,-0.5904368,-0.0283522
20,-0.065868735,-0.10802361,"('rough', 'thoughtful')",-0.0658687,-0.1080236,-0.0421549
21,-2.010297,-1.8676242,"('immoral', 'moral')",-2.0102971,-1.8676242,0.1426729
22,-0.50377154,-0.51476216,"('untrustworthy', 'trustworthy')",-0.5037715,-0.5147622,-0.0109907
23,-0.014702167,-0.040732503,"('insincere', 'sincere')",-0.0147022,-0.0407325,-0.0260303
24,-1.7784814,-1.8519018,"('dishonest', 'honest')",-1.7784814,-1.8519018,-0.0734204
25,0.235059,0.14150831,"('egoistic', 'altruistic')",0.235059,0.1415083,-0.0935507
26,0.80582476,0.5267696,"('hardhearted', 'benevolent')",0.8058248,0.5267696,-0.2790552
27,-0.11859724,-0.27538848,"('hardhearted', 'softhearted')",-0.1185972,-0.2753885,-0.1567913
28,-1.0077327,-1.1768069,"('disloyal', 'loyal')",-1.0077327,-1.1768069,-0.1690742
29,-1.3217158,-1.3399283,"('unfair', 'fair')",-1.3217158,-1.3399283,-0.0182125
30,-0.7466088,-0.71169424,"('intolerant', 'tolerant')",-0.7466088,-0.7116942,0.0349146
31,-1.3334687,-1.3765837,"('evil', 'good')",-1.3334687,-1.3765837,-0.043115
32,-1.4248512,-1.4445928,"('unkind', 'kind')",-1.4248512,-1.4445928,-0.0197416
33,0.4345861,0.32072076,"('wrong', 'right')",0.4345861,0.3207208,-0.1138653
34,0.9496289,1.1032392,"('mean', 'honorable')",0.9496289,1.1032392,0.1536103
35,-0.10361178,-0.23115636,"('corrupt', 'incorrupt')",-0.1036118,-0.2311564,-0.1275446
36,0.06661783,-0.026511662,"('hostile', 'amicable')",0.0666178,-0.0265117,-0.0931295
37,-1.9069469,-1.9145583,"('fake', 'genuine')",-1.9069469,-1.9145583,-0.0076114
38,-1.0259463,-1.0130973,"('untruthful', 'truthful')",-1.0259463,-1.0130973,0.012849
39,-1.331448,-1.2612317,"('exploitative', 'cooperative')",-1.331448,-1.2612317,0.0702163
40,-1.4289993,-1.514315,"('stingy', 'generous')",-1.4289993,-1.514315,-0.0853157
41,-1.3378649,-1.4279075,"('unforgiving', 'forgiving')",-1.3378649,-1.4279075,-0.0900426
42,0.289623,0.33505052,"('unreliable', 'reliable')",0.289623,0.3350505,0.0454275
43,-1.581403,-1.5537449,"('irresponsible', 'responsible')",-1.581403,-1.5537449,0.0276581
44,-0.25540334,-0.11756215,"('prejudiced', 'unprejudiced')",-0.2554033,-0.1175622,0.1378411
45,-2.0294755,-2.0146444,"('incompetent', 'competent')",-2.0294755,-2.0146444,0.0148311
46,-2.09391,-2.07961,"('uncompetitive', 'competitive')",-2.09391,-2.0796101,0.0142999
47,0.4747489,0.4967761,"('stupid', 'smart')",0.4747489,0.4967761,0.0220272
48,-1.7793972,-1.7225604,"('unintelligent', 'intelligent')",-1.7793972,-1.7225604,0.0568368
49,-1.2510575,-1.0912881,"('unable', 'able')",-1.2510575,-1.0912881,0.1597694
50,-1.056447,-1.0315404,"('clumsy', 'skillful')",-1.056447,-1.0315404,0.0249066
51,-0.6781554,-0.6805562,"('uneducated', 'educated')",-0.6781554,-0.6805562,-0.0024008
52,-0.8106873,-0.9601912,"('irrational', 'rational')",-0.8106873,-0.9601912,-0.1495039
53,-1.2016635,-1.3116317,"('uncreative', 'creative')",-1.2016635,-1.3116317,-0.1099682
54,-0.429068,-0.53759414,"('incapable', 'capable')",-0.429068,-0.5375941,-0.1085261
55,-1.643602,-1.5730828,"('incompetent', 'clever')",-1.643602,-1.5730828,0.0705192
56,-0.4029145,-0.35725754,"('impractical', 'practical')",-0.4029145,-0.3572575,0.045657
57,-1.3573008,-1.4227117,"('unimaginative', 'imaginative')",-1.3573008,-1.4227117,-0.0654109
58,1.3122795,1.1593169,"('undiscriminating', 'discriminating')",1.3122795,1.1593169,-0.1529626
59,-1.0374268,-1.0557889,"('foolish', 'wise')",-1.0374268,-1.0557889,-0.0183621
60,-1.6698061,-1.4450213,"('inefficient', 'efficient')",-1.6698061,-1.4450213,0.2247848
61,-0.9523525,-1.0526882,"('illogical', 'logical')",-0.9523525,-1.0526882,-0.1003357
62,-1.6479546,-1.5155902,"('incompetent', 'brilliant')",-1.6479546,-1.5155902,0.1323644
63,-1.2857845,-1.251836,"('unperceptive', 'insightful')",-1.2857845,-1.2518359,0.0339486
64,-1.7441227,-1.668429,"('shy', 'confident')",-1.7441227,-1.668429,0.0756937
65,-1.2719027,-1.216496,"('insecure', 'secure')",-1.2719027,-1.216496,0.0554067
66,-0.018644752,-0.17555453,"('inactive', 'active')",-0.0186448,-0.1755545,-0.1569097
67,-0.039464712,0.038820453,"('doubtful', 'determined')",-0.0394647,0.0388205,0.0782852
68,-0.5932616,-0.53179795,"('dependent', 'independent')",-0.5932616,-0.5317979,0.0614637
69,-0.3443683,-0.3324222,"('lazy', 'industrious')",-0.3443683,-0.3324222,0.0119461
70,-0.46696073,-0.5079159,"('lethargic', 'energetic')",-0.4669607,-0.5079159,-0.0409552
71,-1.0038992,-0.96581644,"('diffident', 'self-confident')",-1.0038992,-0.9658164,0.0380828
72,-1.4839816,-1.4856563,"('unambitious', 'ambitious')",-1.4839816,-1.4856563,-0.0016747
73,0.06322457,0.10560451,"('helpless', 'self-reliant')",0.0632246,0.1056045,0.0423799
74,-0.74879634,-0.79379636,"('undedicated', 'dedicated')",-0.7487963,-0.7937964,-0.0450001
75,0.24387977,0.31435785,"('meek', 'impulsive')",0.2438798,0.3143578,0.070478
76,0.21129586,0.30435586,"('anxious', 'daring')",0.2112959,0.3043559,0.09306
77,-1.0232466,-0.8809966,"('unmotivated', 'motivated')",-1.0232466,-0.8809966,0.14225
78,-0.8774604,-0.87842745,"('nonresilient', 'resilient')",-0.8774604,-0.8784274,-0.000967
79,0.4113049,0.29067206,"('wavering', 'unwavering')",0.4113049,0.2906721,-0.1206328
80,-0.2435633,-0.2135422,"('dominated', 'dominating')",-0.2435633,-0.2135422,0.0300211
81,0.10510722,0.1706288,"('submissive', 'aggressive')",0.1051072,0.1706288,0.0655216
82,0.58384246,0.55958396,"('poor', 'rich')",0.5838425,0.559584,-0.0242585
83,-0.23991415,-0.2532593,"('powerless', 'powerful')",-0.2399141,-0.2532593,-0.0133452
84,0.65379226,0.6361849,"('inferior', 'superior')",0.6537923,0.6361849,-0.0176074
85,0.8970317,0.78946626,"('insignificant', 'prestigious')",0.8970317,0.7894663,-0.1075654
86,-1.249509,-1.4003553,"('uninfluential', 'influential')",-1.249509,-1.4003553,-0.1508463
87,-0.9481267,-0.8933629,"('unsuccessful', 'successful')",-0.9481267,-0.8933629,0.0547638
88,0.21906447,0.2067978,"('low', 'eminent')",0.2190645,0.2067978,-0.0122667
