,weyerhaeuser_male,weyerhaeuser_female,tuple,co_male,co_female,average_male,average_female,female-male
0,-1.9088502,-2.0259345,"('unsociable', 'sociable')",0.02668165,-0.10766013,-0.9410843,-1.0667973,-0.125713
1,-0.10653456,-0.2357914,"('unfriendly', 'friendly')",1.5659356,1.3929157,0.7297005,0.5785621,-0.1511384
2,0.1794421,0.17243458,"('unlikable', 'likable')",0.8180818,0.9369165,0.498762,0.5546755,0.0559135
3,-1.7782136,-1.7579483,"('repellent', 'pleasant')",0.33607492,0.36030254,-0.7210693,-0.6988229,0.0222464
4,0.7136599,0.6587188,"('disliked', 'liked')",-7.2611294,-7.3470783,-3.2737348,-3.3441796,-0.0704448
5,1.3285815,1.3120079,"('distant', 'outgoing')",-0.5651359,-0.54073477,0.3817228,0.3856366,0.0039138
6,1.4816533,1.4965105,"('distant', 'open')",-0.3641883,-0.35989684,0.5587325,0.5683068,0.0095743
7,-1.1750873,-1.1656461,"('insensitive', 'sensitive')",0.020045599,0.05325623,-0.5775208,-0.5561949,0.0213259
8,-0.06671735,-0.1909207,"('unaffectionate', 'affectionate')",0.7001166,0.5506112,0.3166996,0.1798452,-0.1368544
9,-0.079436734,-0.20761317,"('unaffectionate', 'caring')",1.1908647,1.0773584,0.555714,0.4348726,-0.1208414
10,-2.5344958,-2.5930235,"('unsympathetic', 'sympathetic')",0.010276891,-0.07517287,-1.2621095,-1.3340982,-0.0719887
11,-1.4623792,-1.5202736,"('unhelpful', 'helpful')",1.8868796,1.881826,0.2122502,0.1807762,-0.031474
12,-0.77945477,-0.84998125,"('unsupportive', 'supportive')",-2.103018,-2.0571501,-1.4412364,-1.4535657,-0.0123293
13,-1.1405618,-1.1634483,"('impolite', 'polite')",-0.05117318,-0.012890909,-0.5958675,-0.5881696,0.0076979
14,-1.7994194,-1.8786926,"('antisocial', 'social')",-0.068772346,-0.10595685,-0.9340959,-0.9923247,-0.0582288
15,0.37354797,0.3172153,"('boring', 'funny')",0.57259274,0.5721507,0.4730704,0.444683,-0.0283874
16,0.088097215,0.093140215,"('unpopular', 'popular')",-0.26833907,-0.32804587,-0.0901209,-0.1174528,-0.0273319
17,-0.40189815,-0.3056452,"('nasty', 'nice')",-0.49244633,-0.4755613,-0.4471722,-0.3906032,0.056569
18,-0.055566274,-0.040162485,"('disagreeable', 'welcoming')",-0.97586,-0.98655856,-0.5157132,-0.5133605,0.0023527
19,0.6733405,0.6769455,"('inhospitable', 'hospitable')",-0.34707594,-0.32953754,0.1631323,0.173704,0.0105717
20,-0.40314117,-0.4022168,"('rough', 'thoughtful')",0.79305303,0.8078544,0.1949559,0.2028188,0.0078629
21,-1.8306376,-1.8719687,"('immoral', 'moral')",-0.77463186,-0.7241377,-1.3026347,-1.2980533,0.0045814
22,-1.66647,-1.7210956,"('untrustworthy', 'trustworthy')",-0.96919996,-0.9288731,-1.317835,-1.3249843,-0.0071493
23,-1.3709047,-1.4469291,"('insincere', 'sincere')",6.013623,5.9470053,2.3213592,2.2500381,-0.0713211
24,-1.2413263,-1.313699,"('dishonest', 'honest')",1.0121093,0.9868491,-0.1146085,-0.1634249,-0.0488164
25,1.1942807,1.1929525,"('egoistic', 'altruistic')",1.1088743,1.0423845,1.1515775,1.1176685,-0.033909
26,-0.035558943,-0.13617544,"('hardhearted', 'benevolent')",1.9563187,1.7875289,0.9603799,0.8256767,-0.1347032
27,-0.3749822,-0.3539624,"('hardhearted', 'softhearted')",0.7178197,0.6447458,0.1714187,0.1453917,-0.026027
28,-0.78140116,-0.9590693,"('disloyal', 'loyal')",1.0561162,0.8664706,0.1373575,-0.0462994,-0.1836569
29,-0.16974953,-0.18716617,"('unfair', 'fair')",-0.99922943,-1.0515456,-0.5844895,-0.6193559,-0.0348664
30,-1.2179744,-1.2492565,"('intolerant', 'tolerant')",0.78382653,0.7968885,-0.2170739,-0.226184,-0.0091101
31,1.0530238,1.134952,"('evil', 'good')",-1.2890923,-1.3308116,-0.1180342,-0.0979298,0.0201044
32,-0.77365434,-0.8178642,"('unkind', 'kind')",0.90454954,0.6951456,0.0654476,-0.0613593,-0.1268069
