,northrop_male,northrop_female,tuple,grumman_male,grumman_female,corp_male,corp_female,average_male,average_female,female-male
0,-1.5588388,-1.6510886,"('unsociable', 'sociable')",-2.003079,-2.1119463,-0.47165337,-0.687633,-1.3445237,-1.483556,-0.1390323
1,-0.039543707,-0.21948755,"('unfriendly', 'friendly')",-0.8110628,-0.9946314,1.4985447,1.2496636,0.2159794,0.0118482,-0.2041312
2,0.23511225,0.30698586,"('unlikable', 'likable')",-0.085295364,-0.06042543,0.7269481,0.82455677,0.292255,0.3570391,0.0647841
3,-1.3425254,-1.3379617,"('repellent', 'pleasant')",-1.5004637,-1.4312613,0.9079837,0.9387135,-0.6450017,-0.6101698,0.0348319
4,0.025724243,-0.032240886,"('disliked', 'liked')",0.78517234,0.7298562,-7.223169,-7.1186004,-2.1374242,-2.1403284,-0.0029042
5,0.283472,0.2909219,"('distant', 'outgoing')",0.72804815,0.6996577,-0.5249674,-0.50616944,0.1621843,0.1614701,-0.0007142
6,0.33626103,0.2956041,"('distant', 'open')",0.4129563,0.38823116,-0.39706588,-0.44878387,0.1173838,0.0783505,-0.0390333
7,-0.9401396,-0.9496362,"('insensitive', 'sensitive')",-1.7650464,-1.7760923,0.24172059,0.17162617,-0.8211551,-0.8513675,-0.0302124
8,0.6150358,0.4854942,"('unaffectionate', 'affectionate')",-0.5530402,-0.7350741,1.0064925,0.8978172,0.3561627,0.2160791,-0.1400836
9,0.27889955,0.1604971,"('unaffectionate', 'caring')",-0.5946972,-0.7699157,1.574843,1.4891257,0.4196818,0.2932357,-0.1264461
10,-2.2775278,-2.374956,"('unsympathetic', 'sympathetic')",-3.1947947,-3.2902076,-0.35405368,-0.52634645,-1.9421253,-2.0638367,-0.1217114
11,-0.5396728,-0.5699802,"('unhelpful', 'helpful')",-2.1274595,-2.1973493,1.7503953,1.8043873,-0.305579,-0.3209807,-0.0154017
12,-0.35490042,-0.35229602,"('unsupportive', 'supportive')",-1.4121747,-1.470485,-2.1455207,-2.1695228,-1.3041986,-1.3307679,-0.0265693
13,-1.5527729,-1.619327,"('impolite', 'polite')",-2.6273787,-2.6689825,-0.92651767,-1.006121,-1.702223,-1.7648102,-0.0625872
14,-1.4659331,-1.3604776,"('antisocial', 'social')",-1.7175195,-1.6779829,-0.34831345,-0.3764662,-1.1772553,-1.1383089,0.0389464
15,0.78132874,0.6914201,"('boring', 'funny')",0.1296597,0.07491125,-0.17190592,-0.050277594,0.2463608,0.2386846,-0.0076762
16,0.17716374,0.11713892,"('unpopular', 'popular')",-0.040608678,-0.05237615,0.2993044,0.26942965,0.1452865,0.1113975,-0.033889
17,-0.04198856,0.0036525317,"('nasty', 'nice')",-0.44606608,-0.36519116,-0.64969033,-0.50146407,-0.3792483,-0.2876676,0.0915807
18,-0.13280112,-0.13906707,"('disagreeable', 'welcoming')",-1.1136559,-1.1793506,-0.63229364,-0.7201043,-0.6262503,-0.6795073,-0.053257
19,-0.15480766,-0.19083893,"('inhospitable', 'hospitable')",-0.005118216,-0.07937206,-0.538528,-0.4760729,-0.232818,-0.2487613,-0.0159433
20,-0.7306118,-0.7092565,"('rough', 'thoughtful')",-0.41412568,-0.4409166,1.2513233,1.2442143,0.0355286,0.0313471,-0.0041815
21,-0.8577059,-0.81674665,"('immoral', 'moral')",-2.0736868,-2.1252356,-0.8188483,-0.7681035,-1.2500803,-1.2366953,0.013385
22,-1.0175223,-1.0258857,"('untrustworthy', 'trustworthy')",-1.7930825,-1.7793726,-1.0730917,-1.1288003,-1.2945655,-1.3113529,-0.0167874
23,-0.9728329,-1.0374255,"('insincere', 'sincere')",-1.7859024,-1.9075153,5.9000387,5.6981115,1.0471012,0.9177236,-0.1293776
24,-0.1468353,-0.16010925,"('dishonest', 'honest')",-2.0534637,-2.0690243,0.5848924,0.54306114,-0.5384689,-0.5620242,-0.0235553
25,1.463491,1.4550539,"('egoistic', 'altruistic')",1.2623832,1.2506824,1.0452083,1.0456969,1.2570275,1.2504776,-0.0065499
26,0.12758742,-0.049075928,"('hardhearted', 'benevolent')",0.05148752,-0.09795779,1.4306734,1.198033,0.5365828,0.3503331,-0.1862497
27,-0.4500226,-0.49618083,"('hardhearted', 'softhearted')",-1.0637115,-1.0857772,1.2161832,1.0863359,-0.0991836,-0.1652074,-0.0660238
28,-0.46079838,-0.59353155,"('disloyal', 'loyal')",-0.95514333,-1.073085,1.2568496,1.0313517,-0.0530307,-0.2117549,-0.1587242
29,-0.44969976,-0.5066982,"('unfair', 'fair')",0.026754795,-0.023390885,-0.096638225,-0.24990404,-0.1731944,-0.2599977,-0.0868033
30,-1.49723,-1.4938396,"('intolerant', 'tolerant')",-1.8450071,-1.8717442,0.35977373,0.42519638,-0.9941545,-0.9801292,0.0140253
31,0.4402961,0.4324248,"('evil', 'good')",0.7222185,0.72534037,-0.9634795,-1.0130305,0.0663451,0.0482449,-0.0181002
32,-0.51087284,-0.5086216,"('unkind', 'kind')",-1.5928643,-1.6100286,0.7504526,0.4250997,-0.4510949,-0.5645168,-0.1134219
33,1.7175577,1.6121261,"('wrong', 'right')",2.0029485,1.9041167,-0.55901265,-0.57999325,1.0538312,0.9787499,-0.0750813
34,-0.39759368,-0.26227534,"('mean', 'honorable')",-1.140369,-1.0698438,5.4305015,5.61571,1.2975129,1.4278636,0.1303507
35,1.3229723,1.2989695,"('corrupt', 'incorrupt')",2.9478695,2.9469419,-0.34860048,-0.35026887,1.3074137,1.2985476,-0.0088661
36,0.561581,0.39208084,"('hostile', 'amicable')",0.9450894,0.8046065,0.100560986,0.025052853,0.5357438,0.4072467,-0.1284971
37,0.027286954,-0.016353168,"('fake', 'genuine')",-0.3273919,-0.31962228,0.08952545,0.09569143,-0.0701932,-0.0800947,-0.0099015
38,-0.33654934,-0.40527934,"('untruthful', 'truthful')",-0.74647236,-0.8595691,-0.07984799,-0.06628569,-0.3876232,-0.4437114,-0.0560882
39,0.050332703,0.15909578,"('exploitative', 'cooperative')",-0.5538877,-0.50752383,0.4086998,0.49544102,-0.0316184,0.0490043,0.0806227
40,-0.17551012,-0.22295545,"('stingy', 'generous')",-0.50632596,-0.51626277,-1.9941883,-2.0738754,-0.8920081,-0.9376979,-0.0456898
41,-1.0938466,-1.1646652,"('unforgiving', 'forgiving')",-1.8662428,-1.9796618,-0.0022695847,-0.038606443,-0.9874529,-1.0609779,-0.073525
42,-1.3236197,-1.2011745,"('unreliable', 'reliable')",-0.6389332,-0.54277194,-3.43567,-3.2933478,-1.7994076,-1.6790981,0.1203095
43,-1.8167609,-1.7617985,"('irresponsible', 'responsible')",-3.104356,-3.1214879,0.24665546,0.23267516,-1.5581538,-1.5502038,0.00795
44,0.038131967,0.18736838,"('prejudiced', 'unprejudiced')",0.5387867,0.6297657,-1.6872119,-1.6181735,-0.3700977,-0.2670131,0.1030846
45,-1.7607139,-1.8297224,"('incompetent', 'competent')",-2.4599507,-2.5370514,-0.31125534,-0.36553407,-1.51064,-1.5774358,-0.0667958
