,schlumberger_male,schlumberger_female,tuple,ltd_male,ltd_female,average_male,average_female,female-male
0,-2.0600445,-2.0588603,"('unsociable', 'sociable')",-0.24013099,-0.2502662,-1.1500877,-1.1545632,-0.0044755
1,-1.1380433,-1.2299527,"('unfriendly', 'friendly')",1.8427699,1.6920623,0.3523633,0.2310548,-0.1213085
2,0.37835732,0.4159268,"('unlikable', 'likable')",0.19356489,0.21691509,0.2859611,0.3164209,0.0304598
3,-1.1118405,-1.004798,"('repellent', 'pleasant')",0.2575001,0.37692213,-0.4271702,-0.313938,0.1132322
4,0.7347645,0.6409958,"('disliked', 'liked')",-3.730524,-3.9143205,-1.4978797,-1.6366624,-0.1387827
5,0.46050292,0.37964872,"('distant', 'outgoing')",-0.15608868,-0.33063474,0.1522071,0.024507,-0.1277001
6,0.3050485,0.242993,"('distant', 'open')",0.34717047,0.1541189,0.3261095,0.1985559,-0.1275536
7,-1.321397,-1.2505901,"('insensitive', 'sensitive')",0.2784383,0.35809246,-0.5214793,-0.4462488,0.0752305
8,-0.24286899,-0.36597908,"('unaffectionate', 'affectionate')",1.2769872,1.0682704,0.5170591,0.3511457,-0.1659134
9,-0.85096866,-0.95726144,"('unaffectionate', 'caring')",1.0309494,0.88894993,0.0899903,-0.0341558,-0.1241461
10,-2.9043894,-2.8441715,"('unsympathetic', 'sympathetic')",-0.27338088,-0.17476231,-1.5888851,-1.5094669,0.0794182
11,-2.4520423,-2.4262083,"('unhelpful', 'helpful')",0.90813893,1.01994,-0.7719517,-0.7031341,0.0688176
12,-2.1817853,-2.1465535,"('unsupportive', 'supportive')",-1.3696706,-1.4246775,-1.775728,-1.7856154,-0.0098874
13,-1.9535056,-1.8475133,"('impolite', 'polite')",-1.085016,-0.9685343,-1.5192609,-1.4080238,0.1112371
14,-0.93037254,-0.8203527,"('antisocial', 'social')",0.08518286,0.1885943,-0.4225948,-0.3158792,0.1067156
15,0.5170806,0.47925472,"('boring', 'funny')",0.5078628,0.43411127,0.5124717,0.456683,-0.0557887
16,0.15652223,0.14397192,"('unpopular', 'popular')",0.12046653,0.08555099,0.1384944,0.1147615,-0.0237329
17,-1.0051851,-0.95873666,"('nasty', 'nice')",-0.66494274,-0.7018099,-0.8350639,-0.8302733,0.0047906
18,-0.48201162,-0.43732727,"('disagreeable', 'welcoming')",-1.0002913,-1.0722756,-0.7411515,-0.7548015,-0.01365
19,-0.34147322,-0.3736523,"('inhospitable', 'hospitable')",-0.5081749,-0.5698075,-0.4248241,-0.4717299,-0.0469058
20,0.054937787,0.100771256,"('rough', 'thoughtful')",1.5188229,1.5150516,0.7868804,0.8079115,0.0210311
21,-1.7070985,-1.6248258,"('immoral', 'moral')",-1.2309129,-1.1465554,-1.4690057,-1.3856907,0.083315
22,-0.8970792,-0.8779579,"('untrustworthy', 'trustworthy')",-0.70410776,-0.71821517,-0.8005935,-0.7980865,0.002507
23,-1.7152947,-1.7281638,"('insincere', 'sincere')",3.8670018,3.8928003,1.0758536,1.0823183,0.0064647
24,-1.2581184,-1.2559642,"('dishonest', 'honest')",0.018307855,0.03510741,-0.6199053,-0.6104284,0.0094769
25,0.44093943,0.36945486,"('egoistic', 'altruistic')",0.64689904,0.5451596,0.5439192,0.4573072,-0.086612
26,0.019085497,-0.024298683,"('hardhearted', 'benevolent')",2.5169609,2.3950834,1.2680231,1.1853924,-0.0826307
27,-0.39383826,-0.4392763,"('hardhearted', 'softhearted')",0.34697336,0.09579189,-0.0234324,-0.1717422,-0.1483098
28,-1.3136449,-1.3998486,"('disloyal', 'loyal')",1.154685,1.071589,-0.0794799,-0.1641298,-0.0846499
29,-0.124594554,-0.1952319,"('unfair', 'fair')",-0.45291868,-0.55084205,-0.2887566,-0.373037,-0.0842804
30,-0.8792354,-0.7930524,"('intolerant', 'tolerant')",0.82122874,0.8960828,-0.0290033,0.0515152,0.0805185
31,0.62263525,0.6237583,"('evil', 'good')",-0.17519931,-0.3214495,0.223718,0.1511544,-0.0725636
32,-1.2702919,-1.2760482,"('unkind', 'kind')",0.21833465,0.17749643,-0.5259786,-0.5492759,-0.0232973
33,0.60151386,0.49299622,"('wrong', 'right')",-0.07418191,-0.2620011,0.263666,0.1154976,-0.1481684
34,-1.2224637,-1.1224185,"('mean', 'honorable')",3.86259,4.0490856,1.3200631,1.4633336,0.1432705
35,2.0554795,1.9105395,"('corrupt', 'incorrupt')",-0.09271904,-0.34987715,0.9813802,0.7803312,-0.201049
36,0.4940348,0.38101283,"('hostile', 'amicable')",0.4488012,0.2575304,0.471418,0.3192716,-0.1521464
37,-0.26830316,-0.24491444,"('fake', 'genuine')",0.09317155,0.1197567,-0.0875658,-0.0625789,0.0249869
38,-1.2862043,-1.3518168,"('untruthful', 'truthful')",-0.11479641,-0.10672343,-0.7005004,-0.7292701,-0.0287697
39,-0.13562948,-0.03870497,"('exploitative', 'cooperative')",0.24674597,0.27029142,0.0555582,0.1157932,0.060235
