,prologis_male,prologis_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,-0.67210174,-0.8388837,"('unsociable', 'sociable')",-0.64309907,-0.7658417,-0.6576004,-0.8023627,-0.1447623
1,-1.3699553,-1.6055602,"('unfriendly', 'friendly')",2.1554523,2.1223924,0.3927485,0.2584161,-0.1343324
2,0.09499091,0.14121065,"('unlikable', 'likable')",0.6949859,0.74929595,0.3949884,0.4452533,0.0502649
3,-0.10039835,-0.06314004,"('repellent', 'pleasant')",0.044526108,0.09616204,-0.0279361,0.016511,0.0444471
4,-0.41847065,-0.45354292,"('disliked', 'liked')",-5.8313446,-5.893154,-3.1249077,-3.1733484,-0.0484407
5,-1.023367,-0.95159966,"('distant', 'outgoing')",0.06651318,0.14141081,-0.4784269,-0.4050944,0.0733325
6,-1.3915629,-1.3247257,"('distant', 'open')",0.45445013,0.55521244,-0.4685564,-0.3847567,0.0837997
7,-0.50710845,-0.4789503,"('insensitive', 'sensitive')",0.25736234,0.43937153,-0.1248731,-0.0197894,0.1050837
8,-1.0368009,-1.145222,"('unaffectionate', 'affectionate')",1.0695549,1.0174166,0.016377,-0.0639027,-0.0802797
9,-1.2435184,-1.3205518,"('unaffectionate', 'caring')",1.2403353,1.2750227,-0.0015915,-0.0227645,-0.021173
10,-1.0222051,-1.0212923,"('unsympathetic', 'sympathetic')",-1.133946,-1.086463,-1.0780755,-1.0538776,0.0241979
11,-0.10949418,-0.13330473,"('unhelpful', 'helpful')",1.1876073,1.2898552,0.5390565,0.5782753,0.0392188
12,-0.47035304,-0.36706436,"('unsupportive', 'supportive')",-1.9214314,-1.7825503,-1.1958922,-1.0748074,0.1210848
13,-0.6749064,-0.7907039,"('impolite', 'polite')",-0.9604636,-0.9596167,-0.817685,-0.8751603,-0.0574753
14,0.6144531,0.5864094,"('antisocial', 'social')",-0.5060934,-0.62437963,0.0541798,-0.0189851,-0.0731649
15,-0.08607514,-0.15942729,"('boring', 'funny')",0.95469236,0.8670549,0.4343086,0.3538138,-0.0804948
16,-0.8896648,-0.8756558,"('unpopular', 'popular')",0.5295296,0.5960365,-0.1800676,-0.1398096,0.040258
17,-0.42083216,-0.4076628,"('nasty', 'nice')",-0.13738722,-0.100505784,-0.2791097,-0.2540843,0.0250254
18,-0.27082872,-0.27380037,"('disagreeable', 'welcoming')",-0.13630164,-0.07401661,-0.2035652,-0.1739085,0.0296567
19,-1.4506143,-1.4338951,"('inhospitable', 'hospitable')",0.30229267,0.4157467,-0.5741608,-0.5090742,0.0650866
