,cry_male,cry_female,tuple,average_male,average_female,female-male
0,-0.40993154,-0.4662789,"('unsociable', 'sociable')",-0.4099315,-0.4662789,-0.0563474
1,1.8839111,1.8672138,"('unfriendly', 'friendly')",1.8839111,1.8672138,-0.0166973
2,-0.29736882,-0.29574272,"('unlikable', 'likable')",-0.2973688,-0.2957427,0.0016261
3,0.3432889,0.39335668,"('repellent', 'pleasant')",0.3432889,0.3933567,0.0500678
4,-7.71871,-7.8184066,"('disliked', 'liked')",-7.7187099,-7.8184066,-0.0996967
5,-0.058620665,-0.09010712,"('distant', 'outgoing')",-0.0586207,-0.0901071,-0.0314864
6,0.53784937,0.46674144,"('distant', 'open')",0.5378494,0.4667414,-0.071108
7,0.5203699,0.6142311,"('insensitive', 'sensitive')",0.5203699,0.6142311,0.0938612
8,1.7943115,1.7425073,"('unaffectionate', 'affectionate')",1.7943115,1.7425073,-0.0518042
9,2.288851,2.3667026,"('unaffectionate', 'caring')",2.288851,2.3667026,0.0778516
10,0.6237565,0.71366495,"('unsympathetic', 'sympathetic')",0.6237565,0.7136649,0.0899084
11,1.736832,1.8547099,"('unhelpful', 'helpful')",1.736832,1.8547099,0.1178779
12,-1.7776936,-1.6792657,"('unsupportive', 'supportive')",-1.7776936,-1.6792657,0.0984279
13,-0.8222078,-0.9105915,"('impolite', 'polite')",-0.8222078,-0.9105915,-0.0883837
14,-0.17916723,-0.21784614,"('antisocial', 'social')",-0.1791672,-0.2178461,-0.0386789
15,-0.047183696,-0.15962663,"('boring', 'funny')",-0.0471837,-0.1596266,-0.1124429
16,-0.24492735,-0.17281282,"('unpopular', 'popular')",-0.2449273,-0.1728128,0.0721145
17,-0.34692007,-0.34596622,"('nasty', 'nice')",-0.3469201,-0.3459662,0.0009539
18,-0.24854904,-0.30175126,"('disagreeable', 'welcoming')",-0.248549,-0.3017513,-0.0532023
19,-0.53057647,-0.5344969,"('inhospitable', 'hospitable')",-0.5305765,-0.5344969,-0.0039204
20,1.0016438,0.9400092,"('rough', 'thoughtful')",1.0016438,0.9400092,-0.0616346
21,-0.7530439,-0.6258209,"('immoral', 'moral')",-0.7530439,-0.6258209,0.127223
22,-1.1190513,-1.1728752,"('untrustworthy', 'trustworthy')",-1.1190513,-1.1728752,-0.0538239
23,6.742341,6.807254,"('insincere', 'sincere')",6.742341,6.8072538,0.0649128
24,1.5965253,1.4911963,"('dishonest', 'honest')",1.5965253,1.4911963,-0.105329
25,1.0978531,0.97219247,"('egoistic', 'altruistic')",1.0978531,0.9721925,-0.1256606
26,1.1369364,1.0879352,"('hardhearted', 'benevolent')",1.1369364,1.0879352,-0.0490012
27,2.073926,1.9671869,"('hardhearted', 'softhearted')",2.073926,1.9671869,-0.1067391
28,1.5519053,1.5375113,"('disloyal', 'loyal')",1.5519053,1.5375113,-0.014394
29,-0.6723318,-0.81612414,"('unfair', 'fair')",-0.6723318,-0.8161241,-0.1437923
30,0.5143553,0.45536658,"('intolerant', 'tolerant')",0.5143553,0.4553666,-0.0589887
31,-1.010772,-1.0634435,"('evil', 'good')",-1.010772,-1.0634435,-0.0526715
32,1.3359115,1.3345703,"('unkind', 'kind')",1.3359115,1.3345703,-0.0013412
33,-0.6048616,-0.6614699,"('wrong', 'right')",-0.6048616,-0.6614699,-0.0566083
34,5.0221167,5.1429687,"('mean', 'honorable')",5.0221167,5.1429687,0.120852
35,-0.16954142,-0.4174955,"('corrupt', 'incorrupt')",-0.1695414,-0.4174955,-0.2479541
36,-0.12968057,-0.23512349,"('hostile', 'amicable')",-0.1296806,-0.2351235,-0.1054429
37,0.9711359,0.9360884,"('fake', 'genuine')",0.9711359,0.9360884,-0.0350475
38,-0.05906582,-0.002546832,"('untruthful', 'truthful')",-0.0590658,-0.0025468,0.056519
39,0.53325117,0.50617117,"('exploitative', 'cooperative')",0.5332512,0.5061712,-0.02708
40,-1.5406827,-1.6597611,"('stingy', 'generous')",-1.5406827,-1.6597611,-0.1190784
41,0.18292543,0.20815633,"('unforgiving', 'forgiving')",0.1829254,0.2081563,0.0252309
42,-3.0992107,-3.1026297,"('unreliable', 'reliable')",-3.0992107,-3.1026297,-0.003419
43,0.83651227,0.85020614,"('irresponsible', 'responsible')",0.8365123,0.8502061,0.0136938
44,-1.4362216,-1.4810338,"('prejudiced', 'unprejudiced')",-1.4362216,-1.4810338,-0.0448122
45,-0.56256986,-0.52532417,"('incompetent', 'competent')",-0.5625699,-0.5253242,0.0372457
46,-1.1692913,-1.1104227,"('uncompetitive', 'competitive')",-1.1692913,-1.1104227,0.0588686
47,5.503274,5.598081,"('stupid', 'smart')",5.503274,5.5980811,0.0948071
48,0.6933032,0.71437645,"('unintelligent', 'intelligent')",0.6933032,0.7143764,0.0210732
49,0.66802335,0.6807084,"('unable', 'able')",0.6680233,0.6807084,0.0126851
50,-0.17575553,-0.115345165,"('clumsy', 'skillful')",-0.1757555,-0.1153452,0.0604103
51,-0.025828287,-0.0729487,"('uneducated', 'educated')",-0.0258283,-0.0729487,-0.0471204
52,-0.16559403,-0.28732085,"('irrational', 'rational')",-0.165594,-0.2873209,-0.1217269
53,0.25971723,0.23447424,"('uncreative', 'creative')",0.2597172,0.2344742,-0.025243
54,1.3338784,1.3622624,"('incapable', 'capable')",1.3338784,1.3622624,0.028384
55,0.25609046,0.2722064,"('incompetent', 'clever')",0.2560905,0.2722064,0.0161159
56,0.27647275,0.28817093,"('impractical', 'practical')",0.2764727,0.2881709,0.0116982
57,-3.4054646,-3.3372755,"('unimaginative', 'imaginative')",-3.4054646,-3.3372755,0.0681891
58,-0.15460148,-0.13545203,"('undiscriminating', 'discriminating')",-0.1546015,-0.135452,0.0191495
59,0.20058358,0.23539895,"('foolish', 'wise')",0.2005836,0.2353989,0.0348153
60,0.065112375,0.13843893,"('inefficient', 'efficient')",0.0651124,0.1384389,0.0733265
61,0.62936187,0.4708318,"('illogical', 'logical')",0.6293619,0.4708318,-0.1585301
62,0.08393237,0.1628401,"('incompetent', 'brilliant')",0.0839324,0.1628401,0.0789077
63,0.016022734,0.19440928,"('unperceptive', 'insightful')",0.0160227,0.1944093,0.1783866
64,-7.4649506,-7.5058794,"('shy', 'confident')",-7.4649506,-7.5058794,-0.0409288
65,-0.23433045,-0.24525881,"('insecure', 'secure')",-0.2343304,-0.2452588,-0.0109284
66,-0.4328326,-0.48847193,"('inactive', 'active')",-0.4328326,-0.4884719,-0.0556393
67,-0.5694041,-0.5095513,"('doubtful', 'determined')",-0.5694041,-0.5095513,0.0598528
68,-0.55347353,-0.59956944,"('dependent', 'independent')",-0.5534735,-0.5995694,-0.0460959
69,-1.5192066,-1.6231521,"('lazy', 'industrious')",-1.5192066,-1.6231521,-0.1039455
70,0.058743432,0.08688147,"('lethargic', 'energetic')",0.0587434,0.0868815,0.0281381
71,0.83095723,0.8913561,"('diffident', 'self-confident')",0.8309572,0.8913561,0.0603989
72,0.42513406,0.4834451,"('unambitious', 'ambitious')",0.4251341,0.4834451,0.058311
73,-3.1548917,-3.1537383,"('helpless', 'self-reliant')",-3.1548917,-3.1537383,0.0011534
74,0.07856667,0.047242872,"('undedicated', 'dedicated')",0.0785667,0.0472429,-0.0313238
75,-1.2067802,-1.1748617,"('meek', 'impulsive')",-1.2067802,-1.1748617,0.0319185
76,0.16111463,0.20776537,"('anxious', 'daring')",0.1611146,0.2077654,0.0466508
77,-1.6088525,-1.44356,"('unmotivated', 'motivated')",-1.6088525,-1.44356,0.1652925
78,-0.2653719,-0.18247308,"('nonresilient', 'resilient')",-0.2653719,-0.1824731,0.0828988
79,0.1684534,0.1814813,"('wavering', 'unwavering')",0.1684534,0.1814813,0.0130279
80,-0.71226025,-0.76169825,"('dominated', 'dominating')",-0.7122602,-0.7616982,-0.049438
81,-0.40847033,-0.3194582,"('submissive', 'aggressive')",-0.4084703,-0.3194582,0.0890121
82,5.940217,6.0483346,"('poor', 'rich')",5.940217,6.0483346,0.1081176
83,-0.6343531,-0.617333,"('powerless', 'powerful')",-0.6343531,-0.617333,0.0170201
84,0.58450145,0.591959,"('inferior', 'superior')",0.5845014,0.591959,0.0074576
85,0.4439709,0.41487125,"('insignificant', 'prestigious')",0.4439709,0.4148712,-0.0290997
