,spatula_male,spatula_female,tuple,average_male,average_female,female-male
0,-0.15880366,-0.35420474,"('unsociable', 'sociable')",-0.1588037,-0.3542047,-0.195401
1,-0.68558824,-1.0502943,"('unfriendly', 'friendly')",-0.6855882,-1.0502943,-0.3647061
2,-0.26195082,-0.22863576,"('unlikable', 'likable')",-0.2619508,-0.2286358,0.033315
3,-1.0600578,-0.98177266,"('repellent', 'pleasant')",-1.0600578,-0.9817727,0.0782851
4,-3.15991,-2.948827,"('disliked', 'liked')",-3.15991,-2.948827,0.211083
5,-0.87968946,-0.8348892,"('distant', 'outgoing')",-0.8796895,-0.8348892,0.0448003
6,-0.9291757,-0.94598025,"('distant', 'open')",-0.9291757,-0.9459803,-0.0168046
7,-0.22458735,-0.21175939,"('insensitive', 'sensitive')",-0.2245874,-0.2117594,0.012828
8,-0.58512723,-0.82669944,"('unaffectionate', 'affectionate')",-0.5851272,-0.8266994,-0.2415722
9,-0.7836505,-1.0062442,"('unaffectionate', 'caring')",-0.7836505,-1.0062442,-0.2225937
10,-0.4709725,-0.5071977,"('unsympathetic', 'sympathetic')",-0.4709725,-0.5071977,-0.0362252
11,0.39637527,0.4111244,"('unhelpful', 'helpful')",0.3963753,0.4111244,0.0147491
12,-1.6113716,-1.5490376,"('unsupportive', 'supportive')",-1.6113716,-1.5490376,0.062334
13,-0.015046489,-0.07156779,"('impolite', 'polite')",-0.0150465,-0.0715678,-0.0565213
14,0.54537314,0.47097856,"('antisocial', 'social')",0.5453731,0.4709786,-0.0743945
15,0.32364666,0.22368437,"('boring', 'funny')",0.3236467,0.2236844,-0.0999623
16,-0.83962756,-0.8330334,"('unpopular', 'popular')",-0.8396276,-0.8330334,0.0065942
17,-0.8636167,-0.76602054,"('nasty', 'nice')",-0.8636167,-0.7660205,0.0975962
18,-0.8570752,-0.904617,"('disagreeable', 'welcoming')",-0.8570752,-0.904617,-0.0475418
19,-1.6785002,-1.6158341,"('inhospitable', 'hospitable')",-1.6785002,-1.6158341,0.0626661
20,0.7159953,0.6835416,"('rough', 'thoughtful')",0.7159953,0.6835416,-0.0324537
21,0.00841465,0.0885333,"('immoral', 'moral')",0.0084147,0.0885333,0.0801186
22,0.3939041,0.40192986,"('untrustworthy', 'trustworthy')",0.3939041,0.4019299,0.0080258
23,1.9219708,1.7301644,"('insincere', 'sincere')",1.9219708,1.7301644,-0.1918064
24,-0.2005845,-0.33014026,"('dishonest', 'honest')",-0.2005845,-0.3301403,-0.1295558
25,-0.2314894,-0.39576733,"('egoistic', 'altruistic')",-0.2314894,-0.3957673,-0.1642779
26,0.5844245,0.2569266,"('hardhearted', 'benevolent')",0.5844245,0.2569266,-0.3274979
27,-0.13253415,-0.25938836,"('hardhearted', 'softhearted')",-0.1325341,-0.2593884,-0.1268543
28,-0.056386635,-0.31088093,"('disloyal', 'loyal')",-0.0563866,-0.3108809,-0.2544943
29,-0.31370878,-0.35603446,"('unfair', 'fair')",-0.3137088,-0.3560345,-0.0423257
30,0.1591726,0.022922538,"('intolerant', 'tolerant')",0.1591726,0.0229225,-0.1362501
31,-1.1342392,-1.0064204,"('evil', 'good')",-1.1342392,-1.0064204,0.1278188
32,0.37080666,0.17600445,"('unkind', 'kind')",0.3708067,0.1760045,-0.1948022
33,-0.35269713,-0.43494284,"('wrong', 'right')",-0.3526971,-0.4349428,-0.0822457
34,1.5783844,1.6584554,"('mean', 'honorable')",1.5783844,1.6584554,0.080071
35,0.2024293,0.17581935,"('corrupt', 'incorrupt')",0.2024293,0.1758194,-0.0266099
36,-0.9236299,-0.9914045,"('hostile', 'amicable')",-0.9236299,-0.9914045,-0.0677746
37,0.28913358,0.2740882,"('fake', 'genuine')",0.2891336,0.2740882,-0.0150454
38,-0.05736921,-0.06308289,"('untruthful', 'truthful')",-0.0573692,-0.0630829,-0.0057137
39,1.0475986,0.95507956,"('exploitative', 'cooperative')",1.0475986,0.9550796,-0.092519
40,-1.8241426,-1.8673496,"('stingy', 'generous')",-1.8241426,-1.8673496,-0.043207
41,0.13199507,0.018223293,"('unforgiving', 'forgiving')",0.1319951,0.0182233,-0.1137718
42,-0.89736605,-0.6844522,"('unreliable', 'reliable')",-0.897366,-0.6844522,0.2129138
43,-0.19556662,-0.29949495,"('irresponsible', 'responsible')",-0.1955666,-0.299495,-0.1039284
44,-0.21504031,-0.047675513,"('prejudiced', 'unprejudiced')",-0.2150403,-0.0476755,0.1673648
45,-0.035860237,0.0009195842,"('incompetent', 'competent')",-0.0358602,0.0009196,0.0367798
46,-1.0302997,-0.97946626,"('uncompetitive', 'competitive')",-1.0302997,-0.9794663,0.0508334
47,2.495812,2.4022663,"('stupid', 'smart')",2.4958119,2.4022663,-0.0935456
48,-0.2895092,-0.33698103,"('unintelligent', 'intelligent')",-0.2895092,-0.336981,-0.0474718
49,-0.42585835,-0.26601744,"('unable', 'able')",-0.4258583,-0.2660174,0.1598409
50,-0.1274769,-0.14506724,"('clumsy', 'skillful')",-0.1274769,-0.1450672,-0.0175903
51,-0.22775163,-0.35857403,"('uneducated', 'educated')",-0.2277516,-0.358574,-0.1308224
52,-0.80857897,-1.054454,"('irrational', 'rational')",-0.808579,-1.054454,-0.245875
53,-1.631903,-1.7908583,"('uncreative', 'creative')",-1.6319031,-1.7908583,-0.1589552
54,-0.26706147,-0.37450463,"('incapable', 'capable')",-0.2670615,-0.3745046,-0.1074431
55,0.47097468,0.4756394,"('incompetent', 'clever')",0.4709747,0.4756394,0.0046647
56,0.8196598,0.8330374,"('impractical', 'practical')",0.8196598,0.8330374,0.0133776
57,-2.3337407,-2.3234425,"('unimaginative', 'imaginative')",-2.3337407,-2.3234425,0.0102982
58,0.1289578,0.05030372,"('undiscriminating', 'discriminating')",0.1289578,0.0503037,-0.0786541
59,-0.18288521,-0.27236137,"('foolish', 'wise')",-0.1828852,-0.2723614,-0.0894762
60,0.6722039,0.7131629,"('inefficient', 'efficient')",0.6722039,0.7131629,0.040959
61,0.016267732,-0.27786034,"('illogical', 'logical')",0.0162677,-0.2778603,-0.294128
62,0.30588195,0.38063902,"('incompetent', 'brilliant')",0.3058819,0.380639,0.0747571
63,0.19826049,0.24269356,"('unperceptive', 'insightful')",0.1982605,0.2426936,0.0444331
64,-2.572282,-2.387239,"('shy', 'confident')",-2.5722821,-2.387239,0.1850431
