,procter_male,procter_female,tuple,&_male,&_female,gamble_male,gamble_female,co_male,co_female,average_male,average_female,female-male
0,-1.8897189,-2.062699,"('unsociable', 'sociable')",-1.4704659,-1.6008487,-0.49750936,-0.76840806,-0.17718911,-0.32972646,-1.0087209,-1.1904206,-0.1816997
1,0.20065099,0.079897,"('unfriendly', 'friendly')",-0.46280718,-0.50997114,1.6242572,1.4364558,1.8881502,1.7731004,0.8125628,0.6948705,-0.1176923
2,0.91921574,0.9062132,"('unlikable', 'likable')",1.1674658,1.1654941,2.0490265,2.0240076,1.2047285,1.3457556,1.3351091,1.3603675,0.0252584
3,-1.7601537,-1.780163,"('repellent', 'pleasant')",-0.73585504,-0.72932935,-0.99726635,-1.002363,0.28747672,0.31073186,-0.8014495,-0.8002809,0.0011686
4,0.7115934,0.74987537,"('disliked', 'liked')",0.9213252,0.94782907,0.7798931,0.7127554,-6.7282724,-6.7080736,-1.0788652,-1.0744035,0.0044617
5,2.1291144,2.251849,"('distant', 'outgoing')",1.7906728,1.9863136,2.976057,3.049244,0.019562647,0.11397928,1.7288518,1.8503464,0.1214946
6,2.1011662,2.2464204,"('distant', 'open')",1.7132311,1.9543122,2.8972476,2.94351,0.37923935,0.46640387,1.7727212,1.9026617,0.1299405
7,-1.8289574,-1.8429898,"('insensitive', 'sensitive')",-2.224391,-2.220724,-1.7745641,-1.8643206,-0.0666845,-0.10321553,-1.4736494,-1.5078126,-0.0341632
8,-0.073976964,-0.13802432,"('unaffectionate', 'affectionate')",-0.18166569,-0.21556246,2.1686854,2.0315025,0.981892,0.8984833,0.7237337,0.6440997,-0.079634
9,0.033472806,-0.034131497,"('unaffectionate', 'caring')",-0.6443503,-0.66895527,2.3698475,2.2816045,1.4982936,1.4558456,0.8143159,0.7585908,-0.0557251
10,-2.9920738,-3.1558142,"('unsympathetic', 'sympathetic')",-3.184361,-3.2945144,-2.8408391,-3.0248,-0.40600824,-0.5199133,-2.3558207,-2.4987607,-0.14294
11,-1.6456119,-1.7523527,"('unhelpful', 'helpful')",-2.540946,-2.6005378,-1.0457647,-1.1092901,1.6619827,1.6284697,-0.892585,-0.9584277,-0.0658427
12,-0.6920728,-0.6188752,"('unsupportive', 'supportive')",-0.5916407,-0.47497177,0.2978067,0.28056479,-1.9528714,-1.9212657,-0.7346946,-0.683637,0.0510576
13,-2.0701456,-2.1670804,"('impolite', 'polite')",-2.7508912,-2.8439045,-1.4516133,-1.548975,-0.18719442,-0.32667863,-1.6149611,-1.7216597,-0.1066986
14,-2.096214,-2.2416584,"('antisocial', 'social')",-1.0014375,-1.1733365,-0.71632254,-1.0087762,-0.35125422,-0.52667844,-1.041307,-1.2376124,-0.1963054
15,0.35153407,0.28201172,"('boring', 'funny')",0.6883386,0.64783436,0.5429901,0.50636184,0.4158293,0.39217496,0.499673,0.4570957,-0.0425773
16,0.72757167,0.80109483,"('unpopular', 'popular')",0.5918525,0.69286454,0.17165184,0.2535363,0.20206939,0.14424594,0.4232863,0.4729354,0.0496491
17,-1.0603583,-0.9937353,"('nasty', 'nice')",-0.15800868,-0.062392153,-0.06836186,-0.030154904,-0.4511746,-0.394015,-0.4344759,-0.3700743,0.0644016
18,-0.25476757,-0.167328,"('disagreeable', 'welcoming')",0.8650017,0.96024704,0.10559517,-0.07946374,-1.0252104,-1.0556914,-0.0773453,-0.085559,-0.0082137
19,0.7548162,0.8588666,"('inhospitable', 'hospitable')",0.60589623,0.7871599,1.1605477,1.1768241,-0.18447515,-0.1189418,0.5841963,0.6759772,0.0917809
20,-0.39673364,-0.40314507,"('rough', 'thoughtful')",0.8093971,0.84067786,-0.4192234,-0.42120382,0.7382412,0.6921985,0.1829203,0.1771319,-0.0057884
21,-1.7633003,-1.8934661,"('immoral', 'moral')",-1.5994499,-1.6329232,-1.9727978,-2.133089,-1.1827936,-1.1949904,-1.6295854,-1.7136171,-0.0840317
22,-0.6427147,-0.78313595,"('untrustworthy', 'trustworthy')",-0.98850787,-1.0748901,-1.6671119,-1.8438476,-1.0541446,-1.1427284,-1.0881197,-1.2111505,-0.1230308
23,-1.5985103,-1.7977908,"('insincere', 'sincere')",-2.5627594,-2.652908,-0.7039462,-0.9119205,5.3879004,5.2006702,0.1306711,-0.0404873,-0.1711584
24,-0.8730145,-0.9339071,"('dishonest', 'honest')",-2.2691278,-2.3350575,-0.29436454,-0.44125354,0.54705507,0.4747993,-0.7223629,-0.8088546,-0.0864917
25,0.50649977,0.5595645,"('egoistic', 'altruistic')",1.3229376,1.3347024,2.1052823,2.0974765,1.5850266,1.5594605,1.3799366,1.3878009,0.0078643
26,0.280976,0.14135323,"('hardhearted', 'benevolent')",1.1240654,0.96797186,1.8558832,1.6191012,1.9425603,1.8077995,1.3008713,1.1340564,-0.1668149
27,-1.128289,-1.1597005,"('hardhearted', 'softhearted')",-1.8265241,-1.7123073,-0.72751206,-0.78019,0.7546561,0.6429141,-0.7319173,-0.7523209,-0.0204036
28,-1.4086653,-1.63057,"('disloyal', 'loyal')",-1.3343848,-1.480333,-0.79116404,-0.998971,1.0565283,0.86498934,-0.6194214,-0.8112211,-0.1917997
