,edwards_male,edwards_female,tuple,lifesciences_male,lifesciences_female,corp_male,corp_female,average_male,average_female,female-male
0,0.7391876,0.6609914,"('unsociable', 'sociable')",-1.2603991,-1.374842,-0.6005502,-0.7228966,-0.3739206,-0.4789158,-0.1049952
1,0.7115717,0.5265516,"('unfriendly', 'friendly')",-0.6068089,-0.74744624,1.8676431,1.8053871,0.6574686,0.5281641,-0.1293045
2,1.019464,1.050717,"('unlikable', 'likable')",1.0207485,1.0458325,0.6297839,0.6615459,0.8899988,0.9193651,0.0293663
3,0.282786,0.36563283,"('repellent', 'pleasant')",-0.93973017,-0.8951263,0.61972046,0.6534814,-0.0124079,0.0413293,0.0537372
4,-0.38065,-0.4760135,"('disliked', 'liked')",1.1029519,1.0430349,-6.882473,-7.08602,-2.0533903,-2.1729995,-0.1196092
5,-0.05671081,-0.055941693,"('distant', 'outgoing')",1.0961086,1.1601906,-0.2689187,-0.12573391,0.2568263,0.3261717,0.0693454
6,-0.121538565,-0.15148345,"('distant', 'open')",0.6038901,0.65135884,-0.23061645,-0.10552016,0.0839117,0.1314517,0.04754
7,0.86298406,0.92459804,"('insensitive', 'sensitive')",-1.2155634,-1.1792544,0.39607057,0.4153471,0.0144971,0.0535636,0.0390665
8,0.108775035,0.05968757,"('unaffectionate', 'affectionate')",-0.28493342,-0.32382238,1.1847478,1.1996984,0.3361965,0.3118545,-0.024342
9,1.2264756,1.2102296,"('unaffectionate', 'caring')",-0.19567338,-0.2317219,1.669997,1.7567592,0.9002664,0.9117556,0.0114892
10,1.1846933,1.2913548,"('unsympathetic', 'sympathetic')",-3.303048,-3.3356717,-0.79413307,-0.7697229,-0.9708292,-0.9380132,0.032816
11,-0.1791507,-0.1211343,"('unhelpful', 'helpful')",-0.8199556,-0.7871208,1.7008436,1.8859583,0.2339124,0.3259011,0.0919887
12,1.3471227,1.4301909,"('unsupportive', 'supportive')",-0.41228157,-0.33610067,-1.900105,-1.8862622,-0.3217546,-0.2640573,0.0576973
13,0.72690666,0.7093786,"('impolite', 'polite')",-0.8061253,-0.86127377,-1.000539,-1.0219008,-0.3599192,-0.3912653,-0.0313461
14,-0.24608901,-0.15906689,"('antisocial', 'social')",-0.63702977,-0.5582311,-0.5808286,-0.64381677,-0.4879824,-0.4537049,0.0342775
15,0.1125803,0.04296244,"('boring', 'funny')",0.8783234,0.81482637,0.2555656,0.28937045,0.4154898,0.3823864,-0.0331034
16,-1.2907801,-1.3523738,"('unpopular', 'popular')",0.9235544,0.8715141,0.44687504,0.42927727,0.0265498,-0.0171942,-0.043744
17,-0.11980107,-0.14044362,"('nasty', 'nice')",0.4000607,0.48062,-0.10105657,-0.028916571,0.0597344,0.1037533,0.0440189
18,-0.61836296,-0.74153346,"('disagreeable', 'welcoming')",0.2070032,0.29678738,-0.5161732,-0.5210713,-0.3091776,-0.3219391,-0.0127615
19,-0.4883454,-0.55136174,"('inhospitable', 'hospitable')",-0.14574009,-0.14445564,-0.02823689,0.06684314,-0.2207741,-0.2096581,0.011116
20,0.8087402,0.88199407,"('rough', 'thoughtful')",0.09877567,0.12184669,0.46705133,0.44468638,0.4581891,0.4828424,0.0246533
21,0.50481844,0.5843298,"('immoral', 'moral')",-1.1336504,-1.1650113,-1.114691,-1.0348892,-0.5811743,-0.5385236,0.0426507
22,-0.43641093,-0.40009704,"('untrustworthy', 'trustworthy')",-0.47340393,-0.43589666,-1.1099787,-1.118041,-0.6732645,-0.6513449,0.0219196
23,0.7945667,0.74992424,"('insincere', 'sincere')",-1.2051708,-1.2241131,6.0444245,6.208311,1.8779402,1.9113741,0.0334339
24,1.0478381,1.117609,"('dishonest', 'honest')",-1.0157763,-0.9900339,0.72228664,0.7951159,0.2514495,0.3075637,0.0561142
25,0.7473559,0.71728384,"('egoistic', 'altruistic')",1.5810567,1.5633904,1.421973,1.37218,1.2501285,1.2176181,-0.0325104
26,0.6090711,0.41169122,"('hardhearted', 'benevolent')",0.9992427,0.87633425,1.950071,1.7363017,1.1861283,1.0081091,-0.1780192
27,1.9181927,1.9203912,"('hardhearted', 'softhearted')",-0.43195772,-0.35575387,1.6802601,1.5891476,1.0554984,1.0512616,-0.0042368
28,0.16106743,0.03689892,"('disloyal', 'loyal')",-0.822267,-0.95644015,0.9062901,0.876503,0.0816968,-0.0143461,-0.0960429
29,-0.44788408,-0.4238598,"('unfair', 'fair')",-0.37902716,-0.33969748,-0.24799533,-0.37536544,-0.3583022,-0.3796409,-0.0213387
30,1.2605497,1.3561877,"('intolerant', 'tolerant')",-0.57061815,-0.5775427,0.46724072,0.4786749,0.3857241,0.4191066,0.0333825
31,-0.96101964,-1.1432662,"('evil', 'good')",1.3099735,1.2851686,-0.3792711,-0.4873163,-0.0101057,-0.115138,-0.1050323
32,0.7259623,0.67930156,"('unkind', 'kind')",-0.025343401,-0.11899693,0.9804274,0.8327108,0.5603487,0.4643385,-0.0960102
33,0.55056113,0.50209486,"('wrong', 'right')",1.476634,1.429465,-0.025744162,-0.078508824,0.6671503,0.6176837,-0.0494666
