,anniversary_male,anniversary_female,tuple,average_male,average_female,female-male
0,0.24204254,0.31532246,"('unsociable', 'sociable')",0.2420425,0.3153225,0.07328
1,1.3851553,1.2677166,"('unfriendly', 'friendly')",1.3851553,1.2677166,-0.1174387
2,-0.0028412063,0.063993506,"('unlikable', 'likable')",-0.0028412,0.0639935,0.0668347
3,0.52169913,0.5928497,"('repellent', 'pleasant')",0.5216991,0.5928497,0.0711506
4,-7.2723,-7.577225,"('disliked', 'liked')",-7.2722998,-7.5772252,-0.3049254
5,-0.37272647,-0.6083917,"('distant', 'outgoing')",-0.3727265,-0.6083917,-0.2356652
6,0.11870518,-0.22399622,"('distant', 'open')",0.1187052,-0.2239962,-0.3427014
7,1.3619792,1.5347328,"('insensitive', 'sensitive')",1.3619792,1.5347328,0.1727536
8,1.4738698,1.4677703,"('unaffectionate', 'affectionate')",1.4738698,1.4677703,-0.0060995
9,1.5376804,1.6425016,"('unaffectionate', 'caring')",1.5376804,1.6425016,0.1048212
10,0.9291484,1.1113893,"('unsympathetic', 'sympathetic')",0.9291484,1.1113893,0.1822409
11,1.4249953,1.6277231,"('unhelpful', 'helpful')",1.4249953,1.6277231,0.2027278
12,-1.3753455,-1.2815834,"('unsupportive', 'supportive')",-1.3753455,-1.2815834,0.0937621
13,-0.1397165,0.23224558,"('impolite', 'polite')",-0.1397165,0.2322456,0.3719621
14,-0.037136003,0.12530261,"('antisocial', 'social')",-0.037136,0.1253026,0.1624386
15,0.7016753,0.74545664,"('boring', 'funny')",0.7016753,0.7454566,0.0437813
16,-0.67341614,-0.8902276,"('unpopular', 'popular')",-0.6734161,-0.8902276,-0.2168115
17,0.22335269,0.188539,"('nasty', 'nice')",0.2233527,0.188539,-0.0348137
18,-0.6000201,-0.5698109,"('disagreeable', 'welcoming')",-0.6000201,-0.5698109,0.0302092
19,-0.35818654,-0.34701994,"('inhospitable', 'hospitable')",-0.3581865,-0.3470199,0.0111666
20,0.66794467,0.6086399,"('rough', 'thoughtful')",0.6679447,0.6086399,-0.0593048
21,-0.5905467,-0.27573377,"('immoral', 'moral')",-0.5905467,-0.2757338,0.3148129
22,-0.36988127,-0.3919026,"('untrustworthy', 'trustworthy')",-0.3698813,-0.3919026,-0.0220213
23,6.323689,6.6543884,"('insincere', 'sincere')",6.323689,6.6543884,0.3306994
24,1.2384936,1.2693032,"('dishonest', 'honest')",1.2384936,1.2693032,0.0308096
25,0.76243347,0.63936645,"('egoistic', 'altruistic')",0.7624335,0.6393664,-0.1230671
26,1.3352289,1.3067614,"('hardhearted', 'benevolent')",1.3352289,1.3067614,-0.0284675
27,2.0273924,1.7906561,"('hardhearted', 'softhearted')",2.0273924,1.7906561,-0.2367363
28,1.3029546,1.1949029,"('disloyal', 'loyal')",1.3029546,1.1949029,-0.1080517
29,-0.20330632,-0.5616176,"('unfair', 'fair')",-0.2033063,-0.5616176,-0.3583113
30,0.7596226,1.0000236,"('intolerant', 'tolerant')",0.7596226,1.0000236,0.240401
31,-0.895034,-1.3407428,"('evil', 'good')",-0.895034,-1.3407428,-0.4457088
32,1.1375722,1.0531942,"('unkind', 'kind')",1.1375722,1.0531942,-0.084378
33,-0.2558954,-0.3727813,"('wrong', 'right')",-0.2558954,-0.3727813,-0.1168859
34,4.571803,4.870423,"('mean', 'honorable')",4.5718031,4.8704228,0.2986197
35,-0.42222115,-0.8005165,"('corrupt', 'incorrupt')",-0.4222212,-0.8005165,-0.3782953
36,-0.39231938,-0.82339305,"('hostile', 'amicable')",-0.3923194,-0.823393,-0.4310736
37,1.1990111,1.159635,"('fake', 'genuine')",1.1990111,1.1596349,-0.0393762
38,-0.5555686,-0.45010918,"('untruthful', 'truthful')",-0.5555686,-0.4501092,0.1054594
39,0.323769,0.5282946,"('exploitative', 'cooperative')",0.323769,0.5282946,0.2045256
40,-1.1042497,-1.341608,"('stingy', 'generous')",-1.1042497,-1.341608,-0.2373583
41,0.49629426,0.26756322,"('unforgiving', 'forgiving')",0.4962943,0.2675632,-0.2287311
42,-2.2067819,-2.309651,"('unreliable', 'reliable')",-2.2067819,-2.3096509,-0.102869
43,0.9935729,1.2580979,"('irresponsible', 'responsible')",0.9935729,1.2580979,0.264525
44,-1.3040183,-1.393577,"('prejudiced', 'unprejudiced')",-1.3040183,-1.393577,-0.0895587
45,0.5492135,0.48056987,"('incompetent', 'competent')",0.5492135,0.4805699,-0.0686436
46,-0.8087362,-0.6966141,"('uncompetitive', 'competitive')",-0.8087362,-0.6966141,0.1121221
47,4.9161916,5.025293,"('stupid', 'smart')",4.9161916,5.0252929,0.1091013
48,0.42479715,0.67177224,"('unintelligent', 'intelligent')",0.4247971,0.6717722,0.2469751
49,-0.13742389,0.04501143,"('unable', 'able')",-0.1374239,0.0450114,0.1824353
50,-0.23464021,-0.3825357,"('clumsy', 'skillful')",-0.2346402,-0.3825357,-0.1478955
51,0.43488258,0.6245805,"('uneducated', 'educated')",0.4348826,0.6245805,0.1896979
52,0.0022430513,-0.47075358,"('irrational', 'rational')",0.0022431,-0.4707536,-0.4729967
53,0.018121086,-0.04649298,"('uncreative', 'creative')",0.0181211,-0.046493,-0.0646141
54,1.0645341,1.224169,"('incapable', 'capable')",1.0645341,1.224169,0.1596349
55,0.78820264,1.1488171,"('incompetent', 'clever')",0.7882026,1.1488171,0.3606145
56,0.23089948,0.46179652,"('impractical', 'practical')",0.2308995,0.4617965,0.230897
57,-1.8124465,-1.999741,"('unimaginative', 'imaginative')",-1.8124465,-1.999741,-0.1872945
58,0.6246341,0.6054851,"('undiscriminating', 'discriminating')",0.6246341,0.6054851,-0.019149
59,-0.12954722,-0.39748284,"('foolish', 'wise')",-0.1295472,-0.3974828,-0.2679356
60,-0.06350699,0.49773645,"('inefficient', 'efficient')",-0.063507,0.4977365,0.5612435
61,0.48577258,0.3508813,"('illogical', 'logical')",0.4857726,0.3508813,-0.1348913
62,0.40265542,0.76732904,"('incompetent', 'brilliant')",0.4026554,0.767329,0.3646736
63,0.2252672,0.4806575,"('unperceptive', 'insightful')",0.2252672,0.4806575,0.2553903
64,-6.6189513,-6.6527042,"('shy', 'confident')",-6.6189513,-6.6527042,-0.0337529
65,0.14342535,0.33081898,"('insecure', 'secure')",0.1434253,0.330819,0.1873937
66,0.19091906,-0.046176393,"('inactive', 'active')",0.1909191,-0.0461764,-0.2370955
