,shopping_male,shopping_female,tuple,average_male,average_female,female-male
0,0.42900962,0.0856246,"('unsociable', 'sociable')",0.4290096,0.0856246,-0.343385
1,1.6086539,1.6382264,"('unfriendly', 'friendly')",1.6086539,1.6382264,0.0295725
2,0.082843244,0.25262186,"('unlikable', 'likable')",0.0828432,0.2526219,0.1697787
3,0.5004298,0.44849077,"('repellent', 'pleasant')",0.5004298,0.4484908,-0.051939
4,-7.332178,-7.204909,"('disliked', 'liked')",-7.3321781,-7.2049088,0.1272693
5,0.30627328,0.52547437,"('distant', 'outgoing')",0.3062733,0.5254744,0.2192011
6,0.48336565,0.7145302,"('distant', 'open')",0.4833657,0.7145302,0.2311645
7,0.68565315,0.56656057,"('insensitive', 'sensitive')",0.6856532,0.5665606,-0.1190926
8,1.1201706,1.2213229,"('unaffectionate', 'affectionate')",1.1201706,1.2213229,0.1011523
9,2.3035629,2.3992221,"('unaffectionate', 'caring')",2.3035629,2.3992221,0.0956592
10,0.49341354,0.40353683,"('unsympathetic', 'sympathetic')",0.4934135,0.4035368,-0.0898767
11,2.6684225,2.6416607,"('unhelpful', 'helpful')",2.6684225,2.6416607,-0.0267618
12,-1.4938418,-1.5319079,"('unsupportive', 'supportive')",-1.4938418,-1.5319079,-0.0380661
13,0.48526275,0.27200562,"('impolite', 'polite')",0.4852628,0.2720056,-0.2132572
14,-0.07906019,-0.42471215,"('antisocial', 'social')",-0.0790602,-0.4247122,-0.345652
15,0.49474669,0.47413075,"('boring', 'funny')",0.4947467,0.4741307,-0.020616
16,0.29708534,0.36879224,"('unpopular', 'popular')",0.2970853,0.3687922,0.0717069
17,0.09234898,0.10369789,"('nasty', 'nice')",0.092349,0.1036979,0.0113489
18,-0.9038271,-0.9778402,"('disagreeable', 'welcoming')",-0.9038271,-0.9778402,-0.0740131
19,-0.46067634,-0.27946192,"('inhospitable', 'hospitable')",-0.4606763,-0.2794619,0.1812144
20,0.5225003,0.40431452,"('rough', 'thoughtful')",0.5225003,0.4043145,-0.1181858
