,screamer_male,screamer_female,tuple,average_male,average_female,female-male
0,0.023426412,0.0044815186,"('unsociable', 'sociable')",0.0234264,0.0044815,-0.0189449
1,0.1967593,0.25359806,"('unfriendly', 'friendly')",0.1967593,0.2535981,0.0568388
2,-0.43623158,-0.38389215,"('unlikable', 'likable')",-0.4362316,-0.3838921,0.0523395
3,-0.8644613,-0.7736141,"('repellent', 'pleasant')",-0.8644613,-0.7736141,0.0908472
4,-3.377319,-3.3251698,"('disliked', 'liked')",-3.3773191,-3.3251698,0.0521493
5,-0.087644786,-0.045605324,"('distant', 'outgoing')",-0.0876448,-0.0456053,0.0420395
6,-0.5153924,-0.47119087,"('distant', 'open')",-0.5153924,-0.4711909,0.0442015
7,-0.47308323,-0.3670824,"('insensitive', 'sensitive')",-0.4730832,-0.3670824,0.1060008
8,0.16699377,0.088532664,"('unaffectionate', 'affectionate')",0.1669938,0.0885327,-0.0784611
9,0.6191641,0.56841457,"('unaffectionate', 'caring')",0.6191641,0.5684146,-0.0507495
10,-0.49798816,-0.4376202,"('unsympathetic', 'sympathetic')",-0.4979882,-0.4376202,0.060368
11,0.6576961,0.67275155,"('unhelpful', 'helpful')",0.6576961,0.6727515,0.0150554
12,-0.8124022,-0.67446005,"('unsupportive', 'supportive')",-0.8124022,-0.6744601,0.1379421
13,-0.27193612,-0.3312322,"('impolite', 'polite')",-0.2719361,-0.3312322,-0.0592961
14,-0.24444665,-0.25205505,"('antisocial', 'social')",-0.2444467,-0.252055,-0.0076083
15,0.6943168,0.6597491,"('boring', 'funny')",0.6943168,0.6597491,-0.0345677
16,-0.6767505,-0.70910734,"('unpopular', 'popular')",-0.6767505,-0.7091073,-0.0323568
17,-1.2868432,-1.2225736,"('nasty', 'nice')",-1.2868432,-1.2225736,0.0642696
18,-0.94599825,-0.92624825,"('disagreeable', 'welcoming')",-0.9459983,-0.9262483,0.01975
19,-0.46880743,-0.31977016,"('inhospitable', 'hospitable')",-0.4688074,-0.3197702,0.1490372
20,-0.6157326,-0.6374924,"('rough', 'thoughtful')",-0.6157326,-0.6374924,-0.0217598
21,0.009988863,0.114495315,"('immoral', 'moral')",0.0099889,0.1144953,0.1045064
22,-0.735568,-0.68341935,"('untrustworthy', 'trustworthy')",-0.735568,-0.6834193,0.0521487
23,2.4358528,2.468026,"('insincere', 'sincere')",2.4358528,2.4680259,0.0321731
24,-0.019821398,-0.013308266,"('dishonest', 'honest')",-0.0198214,-0.0133083,0.0065131
25,0.16887733,0.12220783,"('egoistic', 'altruistic')",0.1688773,0.1222078,-0.0466695
26,0.507709,0.50170237,"('hardhearted', 'benevolent')",0.507709,0.5017024,-0.0060066
27,-0.02638132,-0.17979275,"('hardhearted', 'softhearted')",-0.0263813,-0.1797927,-0.1534114
28,0.31956607,0.30769265,"('disloyal', 'loyal')",0.3195661,0.3076926,-0.0118735
29,-0.8675746,-0.9057643,"('unfair', 'fair')",-0.8675746,-0.9057643,-0.0381897
30,-0.10364469,-0.13167246,"('intolerant', 'tolerant')",-0.1036447,-0.1316725,-0.0280278
31,-1.6793582,-1.5094495,"('evil', 'good')",-1.6793582,-1.5094495,0.1699087
32,1.0441008,1.000426,"('unkind', 'kind')",1.0441008,1.0004261,-0.0436747
33,-0.15494056,-0.20241748,"('wrong', 'right')",-0.1549406,-0.2024175,-0.0474769
34,1.4560984,1.6932734,"('mean', 'honorable')",1.4560984,1.6932734,0.237175
35,-0.40631306,-0.44111973,"('corrupt', 'incorrupt')",-0.4063131,-0.4411197,-0.0348066
36,-1.1105394,-1.0166049,"('hostile', 'amicable')",-1.1105394,-1.0166049,0.0939345
37,-0.26444566,-0.20853291,"('fake', 'genuine')",-0.2644457,-0.2085329,0.0559128
38,-0.040418155,0.018847506,"('untruthful', 'truthful')",-0.0404182,0.0188475,0.0592657
39,-0.4624116,-0.4766938,"('exploitative', 'cooperative')",-0.4624116,-0.4766938,-0.0142822
40,-2.580268,-2.5202835,"('stingy', 'generous')",-2.5802679,-2.5202835,0.0599844
41,-0.040337175,0.024716944,"('unforgiving', 'forgiving')",-0.0403372,0.0247169,0.0650541
42,-1.5724958,-1.5147355,"('unreliable', 'reliable')",-1.5724958,-1.5147355,0.0577603
43,0.162292,0.16886443,"('irresponsible', 'responsible')",0.162292,0.1688644,0.0065724
44,-1.5563363,-1.5662693,"('prejudiced', 'unprejudiced')",-1.5563363,-1.5662693,-0.009933
45,-0.752729,-0.5487139,"('incompetent', 'competent')",-0.752729,-0.5487139,0.2040151
46,-0.78591025,-0.7006021,"('uncompetitive', 'competitive')",-0.7859102,-0.7006021,0.0853081
47,1.830936,1.9221272,"('stupid', 'smart')",1.830936,1.9221272,0.0911912
48,0.15808056,0.16662839,"('unintelligent', 'intelligent')",0.1580806,0.1666284,0.0085478
49,-0.17670763,-0.08945399,"('unable', 'able')",-0.1767076,-0.089454,0.0872536
50,-0.27127987,-0.33677635,"('clumsy', 'skillful')",-0.2712799,-0.3367763,-0.0654964
51,0.164778,0.1388912,"('uneducated', 'educated')",0.164778,0.1388912,-0.0258868
52,-0.9606633,-1.1088029,"('irrational', 'rational')",-0.9606633,-1.1088029,-0.1481396
53,-0.6353414,-0.6826104,"('uncreative', 'creative')",-0.6353414,-0.6826104,-0.047269
54,0.239946,0.2625233,"('incapable', 'capable')",0.239946,0.2625233,0.0225773
55,0.12831724,0.22456214,"('incompetent', 'clever')",0.1283172,0.2245621,0.0962449
56,1.2079381,1.2414125,"('impractical', 'practical')",1.2079381,1.2414125,0.0334744
57,-1.5831639,-1.5626638,"('unimaginative', 'imaginative')",-1.5831639,-1.5626638,0.0205001
58,-0.41046527,-0.35735452,"('undiscriminating', 'discriminating')",-0.4104653,-0.3573545,0.0531108
59,-0.2984844,-0.33038795,"('foolish', 'wise')",-0.2984844,-0.3303879,-0.0319035
60,1.4514638,1.4944401,"('inefficient', 'efficient')",1.4514638,1.4944401,0.0429763
61,-0.26196647,-0.35109442,"('illogical', 'logical')",-0.2619665,-0.3510944,-0.0891279
62,-0.028589122,0.06446626,"('incompetent', 'brilliant')",-0.0285891,0.0644663,0.0930554
63,-0.09404331,0.03701953,"('unperceptive', 'insightful')",-0.0940433,0.0370195,0.1310628
64,-2.129446,-2.1739717,"('shy', 'confident')",-2.129446,-2.1739717,-0.0445257
65,-0.23288338,-0.3108618,"('insecure', 'secure')",-0.2328834,-0.3108618,-0.0779784
66,-1.643635,-1.674758,"('inactive', 'active')",-1.643635,-1.674758,-0.031123
67,0.7349045,0.72763646,"('doubtful', 'determined')",0.7349045,0.7276365,-0.007268
68,-0.41890714,-0.44721705,"('dependent', 'independent')",-0.4189071,-0.447217,-0.0283099
69,-0.84034383,-0.8093894,"('lazy', 'industrious')",-0.8403438,-0.8093894,0.0309544
70,-0.6172103,-0.58297473,"('lethargic', 'energetic')",-0.6172103,-0.5829747,0.0342356
71,0.2172201,0.30964714,"('diffident', 'self-confident')",0.2172201,0.3096471,0.092427
72,0.19211625,0.08939333,"('unambitious', 'ambitious')",0.1921162,0.0893933,-0.1027229
73,-1.6954871,-1.7177181,"('helpless', 'self-reliant')",-1.6954871,-1.7177181,-0.022231
74,-0.068919696,-0.059521616,"('undedicated', 'dedicated')",-0.0689197,-0.0595216,0.0093981
75,-0.81907225,-0.7535905,"('meek', 'impulsive')",-0.8190722,-0.7535905,0.0654817
76,-0.44950333,-0.42376855,"('anxious', 'daring')",-0.4495033,-0.4237686,0.0257347
77,-0.28995365,-0.14916098,"('unmotivated', 'motivated')",-0.2899536,-0.149161,0.1407926
78,0.27173498,0.3322962,"('nonresilient', 'resilient')",0.271735,0.3322962,0.0605612
79,-0.8041713,-0.71925884,"('wavering', 'unwavering')",-0.8041713,-0.7192588,0.0849125
80,-0.3015443,-0.3562754,"('dominated', 'dominating')",-0.3015443,-0.3562754,-0.0547311
81,0.22787048,0.30318132,"('submissive', 'aggressive')",0.2278705,0.3031813,0.0753108
82,1.8990116,2.0086715,"('poor', 'rich')",1.8990116,2.0086715,0.1096599
83,-0.2587405,-0.27648324,"('powerless', 'powerful')",-0.2587405,-0.2764832,-0.0177427
84,0.11579029,0.06515526,"('inferior', 'superior')",0.1157903,0.0651553,-0.050635
85,-0.23506539,-0.16349615,"('insignificant', 'prestigious')",-0.2350654,-0.1634962,0.0715692
86,0.36497584,0.32619712,"('uninfluential', 'influential')",0.3649758,0.3261971,-0.0387787
87,-0.35971057,-0.34469885,"('unsuccessful', 'successful')",-0.3597106,-0.3446988,0.0150118
88,0.061900258,0.061720777,"('low', 'eminent')",0.0619003,0.0617208,-0.0001795
