,kidney_male,kidney_female,tuple,average_male,average_female,female-male
0,0.4089683,0.313759,"('unsociable', 'sociable')",0.4089683,0.313759,-0.0952093
1,1.1464757,1.0762044,"('unfriendly', 'friendly')",1.1464757,1.0762044,-0.0702713
2,-0.12388205,-0.03360293,"('unlikable', 'likable')",-0.123882,-0.0336029,0.0902791
3,0.7704504,0.9000508,"('repellent', 'pleasant')",0.7704504,0.9000508,0.1296004
4,-7.1481223,-7.386889,"('disliked', 'liked')",-7.1481223,-7.386889,-0.2387667
5,-0.62369084,-0.6488043,"('distant', 'outgoing')",-0.6236908,-0.6488043,-0.0251135
6,-0.08135401,-0.24614199,"('distant', 'open')",-0.081354,-0.246142,-0.164788
7,1.6210068,1.584677,"('insensitive', 'sensitive')",1.6210068,1.584677,-0.0363298
8,1.0627177,0.9507132,"('unaffectionate', 'affectionate')",1.0627177,0.9507132,-0.1120045
9,1.3659118,1.3806874,"('unaffectionate', 'caring')",1.3659118,1.3806874,0.0147756
10,1.1440523,1.1822343,"('unsympathetic', 'sympathetic')",1.1440523,1.1822343,0.038182
11,1.6444051,1.7776906,"('unhelpful', 'helpful')",1.6444051,1.7776906,0.1332855
12,-1.3686835,-1.3791745,"('unsupportive', 'supportive')",-1.3686835,-1.3791745,-0.010491
13,-0.11833538,0.08240574,"('impolite', 'polite')",-0.1183354,0.0824057,0.2007411
14,0.5069613,0.5766536,"('antisocial', 'social')",0.5069613,0.5766536,0.0696923
15,0.513725,0.40788785,"('boring', 'funny')",0.513725,0.4078878,-0.1058372
16,-0.91469383,-0.9108424,"('unpopular', 'popular')",-0.9146938,-0.9108424,0.0038514
17,-0.0025680214,0.023546759,"('nasty', 'nice')",-0.002568,0.0235468,0.0261148
18,-0.58568174,-0.5304565,"('disagreeable', 'welcoming')",-0.5856817,-0.5304565,0.0552252
19,-0.6703901,-0.691432,"('inhospitable', 'hospitable')",-0.6703901,-0.691432,-0.0210419
20,0.78935796,0.68122303,"('rough', 'thoughtful')",0.789358,0.681223,-0.108135
21,-0.14234331,0.062196463,"('immoral', 'moral')",-0.1423433,0.0621965,0.2045398
22,-0.16596659,-0.1574055,"('untrustworthy', 'trustworthy')",-0.1659666,-0.1574055,0.0085611
23,6.1951184,6.407199,"('insincere', 'sincere')",6.1951184,6.4071989,0.2120805
24,1.4315622,1.4208122,"('dishonest', 'honest')",1.4315622,1.4208122,-0.01075
25,0.74542683,0.7554976,"('egoistic', 'altruistic')",0.7454268,0.7554976,0.0100708
26,1.253716,1.063506,"('hardhearted', 'benevolent')",1.253716,1.063506,-0.19021
27,1.6216177,1.4297922,"('hardhearted', 'softhearted')",1.6216177,1.4297922,-0.1918255
28,1.4756106,1.3104248,"('disloyal', 'loyal')",1.4756106,1.3104248,-0.1651858
29,-0.29838163,-0.5107717,"('unfair', 'fair')",-0.2983816,-0.5107717,-0.2123901
30,0.82575154,0.9820296,"('intolerant', 'tolerant')",0.8257515,0.9820296,0.1562781
31,-1.1312641,-1.2465534,"('evil', 'good')",-1.1312641,-1.2465534,-0.1152893
32,1.1954677,1.1274483,"('unkind', 'kind')",1.1954677,1.1274483,-0.0680194
33,-0.3752725,-0.48453742,"('wrong', 'right')",-0.3752725,-0.4845374,-0.1092649
34,4.109685,4.4268622,"('mean', 'honorable')",4.1096849,4.4268622,0.3171773
35,-1.0191647,-1.3622898,"('corrupt', 'incorrupt')",-1.0191647,-1.3622898,-0.3431251
36,-0.89823204,-1.1307687,"('hostile', 'amicable')",-0.898232,-1.1307687,-0.2325367
37,1.1023419,1.0476041,"('fake', 'genuine')",1.1023419,1.0476041,-0.0547378
38,-0.4679256,-0.32273576,"('untruthful', 'truthful')",-0.4679256,-0.3227358,0.1451898
39,0.6233664,0.64888966,"('exploitative', 'cooperative')",0.6233664,0.6488897,0.0255233
40,-0.90334326,-1.096116,"('stingy', 'generous')",-0.9033433,-1.0961159,-0.1927726
41,0.5571709,0.41612867,"('unforgiving', 'forgiving')",0.5571709,0.4161287,-0.1410422
42,-1.9319929,-2.0379493,"('unreliable', 'reliable')",-1.9319929,-2.0379493,-0.1059564
43,0.98909783,1.136429,"('irresponsible', 'responsible')",0.9890978,1.136429,0.1473312
44,-1.2491443,-1.2007103,"('prejudiced', 'unprejudiced')",-1.2491443,-1.2007103,0.048434
45,0.6065046,0.41790736,"('incompetent', 'competent')",0.6065046,0.4179074,-0.1885972
46,-0.39694834,-0.46116242,"('uncompetitive', 'competitive')",-0.3969483,-0.4611624,-0.0642141
47,4.613261,4.797807,"('stupid', 'smart')",4.6132612,4.7978072,0.184546
48,0.36901325,0.4277861,"('unintelligent', 'intelligent')",0.3690132,0.4277861,0.0587729
49,-0.43085545,-0.31294382,"('unable', 'able')",-0.4308555,-0.3129438,0.1179117
50,-0.524657,-0.5531145,"('clumsy', 'skillful')",-0.524657,-0.5531145,-0.0284575
51,0.6559392,0.6364722,"('uneducated', 'educated')",0.6559392,0.6364722,-0.019467
52,-0.15085393,-0.39903754,"('irrational', 'rational')",-0.1508539,-0.3990375,-0.2481836
53,-0.16307332,-0.29777062,"('uncreative', 'creative')",-0.1630733,-0.2977706,-0.1346973
54,0.818363,0.84046173,"('incapable', 'capable')",0.818363,0.8404617,0.0220987
55,1.1752955,1.2146434,"('incompetent', 'clever')",1.1752955,1.2146434,0.0393479
56,0.47513992,0.4852046,"('impractical', 'practical')",0.4751399,0.4852046,0.0100647
57,-1.655266,-1.9195007,"('unimaginative', 'imaginative')",-1.655266,-1.9195007,-0.2642347
58,0.62912554,0.54269534,"('undiscriminating', 'discriminating')",0.6291255,0.5426953,-0.0864302
59,-0.1284962,-0.17805992,"('foolish', 'wise')",-0.1284962,-0.1780599,-0.0495637
60,0.3123059,0.66637707,"('inefficient', 'efficient')",0.3123059,0.6663771,0.3540712
61,0.5459639,0.37201393,"('illogical', 'logical')",0.5459639,0.3720139,-0.17395
62,0.6810562,0.8695569,"('incompetent', 'brilliant')",0.6810562,0.8695569,0.1885007
63,0.23111865,0.3175952,"('unperceptive', 'insightful')",0.2311186,0.3175952,0.0864766
64,-6.063544,-6.0050945,"('shy', 'confident')",-6.0635438,-6.0050945,0.0584493
65,0.32423365,0.5043831,"('insecure', 'secure')",0.3242337,0.5043831,0.1801494
66,0.034413707,-0.1599666,"('inactive', 'active')",0.0344137,-0.1599666,-0.1943803
67,-0.71185076,-0.59554255,"('doubtful', 'determined')",-0.7118508,-0.5955426,0.1163082
