,construction_male,construction_female,tuple,average_male,average_female,female-male
0,-0.038618296,-0.047294345,"('unsociable', 'sociable')",-0.0386183,-0.0472943,-0.008676
1,1.206549,1.0287882,"('unfriendly', 'friendly')",1.206549,1.0287882,-0.1777608
2,0.5393052,0.595724,"('unlikable', 'likable')",0.5393052,0.595724,0.0564188
3,0.0052591474,0.1512555,"('repellent', 'pleasant')",0.0052591,0.1512555,0.1459964
4,-6.9857025,-7.126015,"('disliked', 'liked')",-6.9857025,-7.1260152,-0.1403127
5,-0.3328299,-0.4806743,"('distant', 'outgoing')",-0.3328299,-0.4806743,-0.1478444
6,-0.32712162,-0.41563138,"('distant', 'open')",-0.3271216,-0.4156314,-0.0885098
7,0.63301,0.73114485,"('insensitive', 'sensitive')",0.63301,0.7311448,0.0981348
8,1.0148759,0.878009,"('unaffectionate', 'affectionate')",1.0148759,0.878009,-0.1368669
9,1.6751803,1.6469127,"('unaffectionate', 'caring')",1.6751803,1.6469127,-0.0282676
10,0.3094559,0.45946765,"('unsympathetic', 'sympathetic')",0.3094559,0.4594676,0.1500117
11,2.1696525,2.2271903,"('unhelpful', 'helpful')",2.1696525,2.2271903,0.0575378
12,-1.1855298,-1.2276114,"('unsupportive', 'supportive')",-1.1855298,-1.2276114,-0.0420816
13,0.0565402,0.078002095,"('impolite', 'polite')",0.0565402,0.0780021,0.0214619
14,0.80000454,0.7948398,"('antisocial', 'social')",0.8000045,0.7948398,-0.0051647
15,-0.23950985,-0.32505488,"('boring', 'funny')",-0.2395099,-0.3250549,-0.085545
16,-0.14135543,-0.17233774,"('unpopular', 'popular')",-0.1413554,-0.1723377,-0.0309823
17,-0.28230134,-0.24651533,"('nasty', 'nice')",-0.2823013,-0.2465153,0.035786
18,-0.7119528,-0.7441957,"('disagreeable', 'welcoming')",-0.7119528,-0.7441957,-0.0322429
19,-0.8639667,-0.825702,"('inhospitable', 'hospitable')",-0.8639667,-0.825702,0.0382647
20,0.53069884,0.5792093,"('rough', 'thoughtful')",0.5306988,0.5792093,0.0485105
21,-0.2066609,-0.033665836,"('immoral', 'moral')",-0.2066609,-0.0336658,0.1729951
22,-0.72587174,-0.7174208,"('untrustworthy', 'trustworthy')",-0.7258717,-0.7174208,0.0084509
23,6.557783,6.631953,"('insincere', 'sincere')",6.5577831,6.6319528,0.0741697
24,1.2665528,1.2502126,"('dishonest', 'honest')",1.2665528,1.2502126,-0.0163402
25,0.90858114,0.7701224,"('egoistic', 'altruistic')",0.9085811,0.7701224,-0.1384587
26,1.6854877,1.4964138,"('hardhearted', 'benevolent')",1.6854877,1.4964138,-0.1890739
27,0.6781362,0.6225782,"('hardhearted', 'softhearted')",0.6781362,0.6225782,-0.055558
28,1.2118063,1.133325,"('disloyal', 'loyal')",1.2118063,1.133325,-0.0784813
29,-0.8106272,-0.9489115,"('unfair', 'fair')",-0.8106272,-0.9489115,-0.1382843
30,0.9808683,1.0747619,"('intolerant', 'tolerant')",0.9808683,1.0747619,0.0938936
31,-1.7728447,-1.8654306,"('evil', 'good')",-1.7728447,-1.8654306,-0.0925859
32,1.1631482,1.1624624,"('unkind', 'kind')",1.1631482,1.1624624,-0.0006858
33,0.2646497,0.029922867,"('wrong', 'right')",0.2646497,0.0299229,-0.2347268
34,4.7898436,4.9865017,"('mean', 'honorable')",4.7898436,4.9865017,0.1966581
35,-0.95645314,-1.2585119,"('corrupt', 'incorrupt')",-0.9564531,-1.2585119,-0.3020588
36,-0.5654389,-0.8061195,"('hostile', 'amicable')",-0.5654389,-0.8061195,-0.2406806
37,0.4878945,0.48559296,"('fake', 'genuine')",0.4878945,0.485593,-0.0023015
38,0.5483347,0.49581814,"('untruthful', 'truthful')",0.5483347,0.4958181,-0.0525166
39,-0.21183915,-0.11438116,"('exploitative', 'cooperative')",-0.2118392,-0.1143812,0.097458
40,-1.9590966,-2.0851893,"('stingy', 'generous')",-1.9590966,-2.0851893,-0.1260927
41,0.20515332,0.15493478,"('unforgiving', 'forgiving')",0.2051533,0.1549348,-0.0502185
42,-2.748463,-2.6088226,"('unreliable', 'reliable')",-2.7484629,-2.6088226,0.1396403
43,1.1770184,1.272541,"('irresponsible', 'responsible')",1.1770184,1.272541,0.0955226
44,-0.9807302,-0.9698987,"('prejudiced', 'unprejudiced')",-0.9807302,-0.9698987,0.0108315
45,0.28950614,0.321297,"('incompetent', 'competent')",0.2895061,0.321297,0.0317909
46,-1.0068765,-0.90575576,"('uncompetitive', 'competitive')",-1.0068765,-0.9057558,0.1011207
47,5.576225,5.701978,"('stupid', 'smart')",5.5762248,5.7019782,0.1257534
48,0.46940288,0.5247563,"('unintelligent', 'intelligent')",0.4694029,0.5247563,0.0553534
49,-0.85660654,-0.6229568,"('unable', 'able')",-0.8566065,-0.6229568,0.2336497
50,-0.33985364,-0.35882542,"('clumsy', 'skillful')",-0.3398536,-0.3588254,-0.0189718
51,-0.27974686,-0.24626839,"('uneducated', 'educated')",-0.2797469,-0.2462684,0.0334785
52,-0.18322694,-0.41709393,"('irrational', 'rational')",-0.1832269,-0.4170939,-0.233867
53,0.6235015,0.59602046,"('uncreative', 'creative')",0.6235015,0.5960205,-0.027481
54,0.7609194,0.84802467,"('incapable', 'capable')",0.7609194,0.8480247,0.0871053
55,0.1578815,0.34923893,"('incompetent', 'clever')",0.1578815,0.3492389,0.1913574
56,1.0405142,1.1359856,"('impractical', 'practical')",1.0405142,1.1359856,0.0954714
57,-2.5891047,-2.589329,"('unimaginative', 'imaginative')",-2.5891047,-2.589329,-0.0002243
58,-0.16322987,-0.1787576,"('undiscriminating', 'discriminating')",-0.1632299,-0.1787576,-0.0155277
59,0.40013722,0.24918784,"('foolish', 'wise')",0.4001372,0.2491878,-0.1509494
60,0.7409882,1.0180218,"('inefficient', 'efficient')",0.7409882,1.0180218,0.2770336
61,0.11961022,-0.036627833,"('illogical', 'logical')",0.1196102,-0.0366278,-0.156238
62,0.48391587,0.766222,"('incompetent', 'brilliant')",0.4839159,0.766222,0.2823061
63,0.4507792,0.5379674,"('unperceptive', 'insightful')",0.4507792,0.5379674,0.0871882
64,-5.5146494,-5.616995,"('shy', 'confident')",-5.5146494,-5.6169949,-0.1023455
65,0.0117985755,0.14608258,"('insecure', 'secure')",0.0117986,0.1460826,0.134284
66,-0.38239843,-0.50448483,"('inactive', 'active')",-0.3823984,-0.5044848,-0.1220864
67,-0.013437223,0.03543897,"('doubtful', 'determined')",-0.0134372,0.035439,0.0488762
68,-1.5221837,-1.5104332,"('dependent', 'independent')",-1.5221837,-1.5104332,0.0117505
69,-1.0483593,-1.2992322,"('lazy', 'industrious')",-1.0483593,-1.2992322,-0.2508729
70,0.38633025,0.5258408,"('lethargic', 'energetic')",0.3863302,0.5258408,0.1395106
71,0.98321176,0.98867625,"('diffident', 'self-confident')",0.9832118,0.9886762,0.0054644
72,0.87940186,0.9856716,"('unambitious', 'ambitious')",0.8794019,0.9856716,0.1062697
73,-3.4989357,-3.4667492,"('helpless', 'self-reliant')",-3.4989357,-3.4667492,0.0321865
74,-0.48565793,-0.4065495,"('undedicated', 'dedicated')",-0.4856579,-0.4065495,0.0791084
75,-1.0672334,-1.041775,"('meek', 'impulsive')",-1.0672334,-1.041775,0.0254584
76,-0.32713968,-0.11137308,"('anxious', 'daring')",-0.3271397,-0.1113731,0.2157666
77,-0.7743119,-0.6666168,"('unmotivated', 'motivated')",-0.7743119,-0.6666168,0.1076951
78,-0.21215975,-0.27468064,"('nonresilient', 'resilient')",-0.2121598,-0.2746806,-0.0625208
79,-0.3070051,-0.4306328,"('wavering', 'unwavering')",-0.3070051,-0.4306328,-0.1236277
80,-0.8142439,-0.7058015,"('dominated', 'dominating')",-0.8142439,-0.7058015,0.1084424
81,-0.26785585,-0.102038175,"('submissive', 'aggressive')",-0.2678559,-0.1020382,0.1658177
82,5.951224,6.1401777,"('poor', 'rich')",5.9512239,6.1401777,0.1889538
83,-0.2906772,-0.33927673,"('powerless', 'powerful')",-0.2906772,-0.3392767,-0.0485995
84,-0.15901797,-0.1855799,"('inferior', 'superior')",-0.159018,-0.1855799,-0.0265619
85,-0.04693681,-0.23328616,"('insignificant', 'prestigious')",-0.0469368,-0.2332862,-0.1863494
86,0.32895476,0.28505355,"('uninfluential', 'influential')",0.3289548,0.2850536,-0.0439012
87,-0.24313992,-0.15886804,"('unsuccessful', 'successful')",-0.2431399,-0.158868,0.0842719
88,-0.14623651,-0.13289917,"('low', 'eminent')",-0.1462365,-0.1328992,0.0133373
