,penney_male,penney_female,tuple,jc_male,jc_female,co_male,co_female,inc_male,inc_female,average_male,average_female,female-male
0,-0.84223795,-0.93775886,"('unsociable', 'sociable')",0.042022437,-0.04144094,0.23378257,-0.04945721,-0.5903975,-0.70227027,-0.2892076,-0.4327318,-0.1435242
1,-0.75607765,-0.7679064,"('unfriendly', 'friendly')",1.1769835,1.1243936,-0.2223231,-0.42561868,2.3376374,2.1866431,0.634055,0.5293779,-0.1046771
2,1.1255047,1.1383846,"('unlikable', 'likable')",1.5749043,1.5472723,1.8211751,1.8391579,0.9135493,0.91266346,1.3587834,1.3593696,0.0005862
3,-1.8370253,-1.7859837,"('repellent', 'pleasant')",-1.2716608,-1.1146429,0.104548454,0.13008195,-0.111318685,-0.024761226,-0.778864,-0.6988265,0.0800375
4,0.28063208,0.28663757,"('disliked', 'liked')",0.4209529,0.40510422,0.35746443,0.21330619,-6.338893,-6.4545097,-1.3199608,-1.3873655,-0.0674047
5,1.0644834,1.092703,"('distant', 'outgoing')",1.5578922,1.4948099,-0.2667827,-0.22861263,0.22753078,0.17313512,0.6457809,0.6330088,-0.0127721
6,1.0550998,1.1292479,"('distant', 'open')",1.4020938,1.4016262,-0.47691151,-0.4288958,0.9158122,0.8540005,0.7240236,0.7389948,0.0149712
7,-0.7672405,-0.7233188,"('insensitive', 'sensitive')",-0.67221296,-0.5406985,-1.2345098,-1.2703601,0.55887574,0.6057242,-0.5287719,-0.4821633,0.0466086
8,1.0196118,0.98746,"('unaffectionate', 'affectionate')",0.9802615,0.90026826,-0.84762114,-0.8904144,1.293882,1.1604707,0.6115335,0.5394461,-0.0720874
9,0.4046818,0.3668003,"('unaffectionate', 'caring')",1.3287061,1.2974366,-0.76911443,-0.8563309,1.9689554,1.8673097,0.7333072,0.6688039,-0.0645033
10,-1.9122528,-1.8842081,"('unsympathetic', 'sympathetic')",-1.5915744,-1.4290928,-1.8213936,-1.9217923,-0.5492807,-0.5325496,-1.4686253,-1.4419107,0.0267146
11,-0.956136,-1.0258638,"('unhelpful', 'helpful')",-0.72584337,-0.65610105,-0.33290878,-0.35975015,2.1569383,2.1829455,0.0355125,0.0353076,-0.0002049
12,-0.2718182,-0.19358568,"('unsupportive', 'supportive')",0.94719875,1.0762026,-1.1106921,-1.0699319,-1.9126737,-1.9350111,-0.5869963,-0.5305815,0.0564148
13,-0.029822996,-0.032170992,"('impolite', 'polite')",-0.6459393,-0.5950203,-0.34427172,-0.36465487,-0.33846754,-0.28630942,-0.3396254,-0.3195389,0.0200865
14,-0.6857803,-0.70151824,"('antisocial', 'social')",0.18680902,0.22085622,0.9592759,0.8624781,-0.93050444,-0.9846614,-0.11755,-0.1507113,-0.0331613
15,0.8831596,0.81447285,"('boring', 'funny')",1.6907743,1.5607316,1.1180489,1.1193327,0.71479905,0.68563855,1.1016954,1.0450439,-0.0566515
16,0.08022478,0.14722842,"('unpopular', 'popular')",-0.3781296,-0.32857624,0.030506775,0.023211926,1.320875,1.269201,0.2633693,0.2777663,0.014397
