,cephalon_male,cephalon_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,-1.71809,-1.917445,"('unsociable', 'sociable')",-0.2627078,-0.42600095,-0.9903989,-1.1717229,-0.181324
1,-1.3244399,-1.5862718,"('unfriendly', 'friendly')",1.2352927,1.0096802,-0.0445736,-0.2882958,-0.2437222
2,0.4271803,0.40764594,"('unlikable', 'likable')",0.6932492,0.7642494,0.5602148,0.5859476,0.0257328
3,-0.99601895,-0.9510026,"('repellent', 'pleasant')",0.30536172,0.32331252,-0.3453286,-0.313845,0.0314836
4,-0.09702806,-0.17355676,"('disliked', 'liked')",-6.390022,-6.340553,-3.243525,-3.2570548,-0.0135298
5,-1.404402,-1.3630401,"('distant', 'outgoing')",-0.53836596,-0.5842302,-0.971384,-0.9736351,-0.0022511
6,-1.3774197,-1.3325065,"('distant', 'open')",-0.2301334,-0.29341587,-0.8037766,-0.8129612,-0.0091846
7,-1.106668,-1.058958,"('insensitive', 'sensitive')",0.28237668,0.34534004,-0.4121457,-0.356809,0.0553367
8,-0.41130227,-0.5483825,"('unaffectionate', 'affectionate')",0.7200096,0.60883385,0.1543537,0.0302257,-0.124128
9,-1.1753194,-1.2872236,"('unaffectionate', 'caring')",0.9611319,0.9658114,-0.1070938,-0.1607061,-0.0536123
10,-2.2589684,-2.308558,"('unsympathetic', 'sympathetic')",-0.49899897,-0.4354552,-1.3789836,-1.3720067,0.0069769
11,-0.5007495,-0.5058724,"('unhelpful', 'helpful')",1.7918241,1.97213,0.6455373,0.7331288,0.0875915
12,-0.6606152,-0.5792437,"('unsupportive', 'supportive')",-1.7446194,-1.6180879,-1.2026173,-1.0986658,0.1039515
13,-2.0079474,-2.0662007,"('impolite', 'polite')",-0.52627677,-0.500334,-1.2671121,-1.2832674,-0.0161553
14,-0.50661874,-0.52019817,"('antisocial', 'social')",-0.38134822,-0.43877992,-0.4439835,-0.479489,-0.0355055
15,-0.076246895,-0.17026812,"('boring', 'funny')",0.40755272,0.37119517,0.1656529,0.1004635,-0.0651894
16,-0.5122299,-0.46638617,"('unpopular', 'popular')",0.4147736,0.3682539,-0.0487282,-0.0490661,-0.0003379
17,-0.2673347,-0.18037681,"('nasty', 'nice')",-0.3980139,-0.34652978,-0.3326743,-0.2634533,0.069221
18,-0.064113885,-0.03541518,"('disagreeable', 'welcoming')",-0.35975498,-0.43406725,-0.2119344,-0.2347412,-0.0228068
19,-1.8101959,-1.764508,"('inhospitable', 'hospitable')",-0.5030513,-0.42283133,-1.1566236,-1.0936697,0.0629539
20,0.27400863,0.29220113,"('rough', 'thoughtful')",1.175737,1.1116046,0.7248728,0.7019029,-0.0229699
21,-0.3905358,-0.43577164,"('immoral', 'moral')",-0.46713153,-0.34259427,-0.4288337,-0.389183,0.0396507
22,-0.57745254,-0.6293461,"('untrustworthy', 'trustworthy')",-0.8080341,-0.8380299,-0.6927433,-0.733688,-0.0409447
23,-0.6312256,-0.74455565,"('insincere', 'sincere')",5.663715,5.5697365,2.5162446,2.4125905,-0.1036541
24,-1.0573337,-1.2158173,"('dishonest', 'honest')",0.7995139,0.73307765,-0.1289099,-0.2413698,-0.1124599
25,-0.47157156,-0.5169661,"('egoistic', 'altruistic')",1.0321739,0.8768312,0.2803012,0.1799325,-0.1003687
26,-0.23717421,-0.42041552,"('hardhearted', 'benevolent')",1.3149028,1.1047195,0.5388643,0.342152,-0.1967123
27,0.023798697,0.017743668,"('hardhearted', 'softhearted')",1.50703,1.3565885,0.7654144,0.6871661,-0.0782483
28,-0.45303726,-0.5498649,"('disloyal', 'loyal')",0.8682267,0.77456564,0.2075947,0.1123504,-0.0952443
29,-0.49494982,-0.4625984,"('unfair', 'fair')",-0.35159004,-0.5853642,-0.4232699,-0.5239813,-0.1007114
30,-0.6347693,-0.7239159,"('intolerant', 'tolerant')",1.4224801,1.4538457,0.3938554,0.3649649,-0.0288905
31,-0.69193697,-0.66554946,"('evil', 'good')",-1.3194354,-1.5160842,-1.0056862,-1.0908169,-0.0851307
32,-0.44114795,-0.51747996,"('unkind', 'kind')",0.82467204,0.67886907,0.191762,0.0806946,-0.1110674
33,-0.11036161,-0.12107132,"('wrong', 'right')",-0.6516684,-0.73052824,-0.381015,-0.4257998,-0.0447848
34,-0.35159788,-0.26466745,"('mean', 'honorable')",5.782014,5.9061294,2.7152081,2.8207309,0.1055228
35,0.85874885,0.8896208,"('corrupt', 'incorrupt')",-0.5367278,-0.75819635,0.1610105,0.0657122,-0.0952983
36,-0.6598893,-0.7314912,"('hostile', 'amicable')",0.019230671,-0.2694859,-0.3203293,-0.5004885,-0.1801592
37,-0.18204539,-0.22204834,"('fake', 'genuine')",0.47828773,0.4696752,0.1481212,0.1238134,-0.0243078
38,-0.921883,-0.97378784,"('untruthful', 'truthful')",-0.3312398,-0.19966622,-0.6265614,-0.586727,0.0398344
39,0.49292606,0.50417155,"('exploitative', 'cooperative')",0.20267144,0.22857894,0.3477988,0.3663752,0.0185764
40,0.66150844,0.6268773,"('stingy', 'generous')",-1.219023,-1.369133,-0.2787573,-0.3711278,-0.0923705
41,0.033316806,0.035247445,"('unforgiving', 'forgiving')",0.2648467,0.16713884,0.1490818,0.1011931,-0.0478887
42,-0.2898462,-0.18931411,"('unreliable', 'reliable')",-3.1117094,-2.9359462,-1.7007778,-1.5626302,0.1381476
43,-1.3466531,-1.387716,"('irresponsible', 'responsible')",0.4097789,0.4133458,-0.4684371,-0.4871851,-0.018748
