,general_male,general_female,tuple,electric_male,electric_female,co_male,co_female,average_male,average_female,female-male
0,-1.2680224,-1.344432,"('unsociable', 'sociable')",-1.4231073,-1.4722698,0.0022365116,-0.21649596,-0.8962977,-1.011066,-0.1147683
1,0.08293335,0.045238853,"('unfriendly', 'friendly')",0.64985985,0.6714779,1.4283228,1.4609019,0.720372,0.7258728,0.0055008
2,0.58664924,0.5666127,"('unlikable', 'likable')",0.71639884,0.7628648,0.9477448,1.1806058,0.7502643,0.8366944,0.0864301
3,-1.0460902,-0.9494683,"('repellent', 'pleasant')",-1.2946154,-1.1873614,1.0155215,1.0712456,-0.441728,-0.3551947,0.0865333
4,-0.86723304,-0.8636408,"('disliked', 'liked')",0.7191919,0.5359686,-7.085652,-7.043549,-2.411231,-2.4570737,-0.0458427
5,-0.6791693,-0.49903983,"('distant', 'outgoing')",0.41334504,0.4302776,-1.2616857,-0.94747263,-0.50917,-0.338745,0.170425
6,-0.71266115,-0.48653468,"('distant', 'open')",0.4727259,0.5681579,-1.0371248,-0.68989515,-0.4256867,-0.2027573,0.2229294
7,-0.14944774,-0.19715194,"('insensitive', 'sensitive')",-0.8983375,-0.8129279,0.26408738,0.2961893,-0.2612326,-0.2379635,0.0232691
8,-0.11542389,0.0034688152,"('unaffectionate', 'affectionate')",0.61491585,0.59208184,0.31381938,0.38351157,0.2711038,0.3263541,0.0552503
9,0.25260028,0.22176014,"('unaffectionate', 'caring')",0.05812841,-0.02304398,0.8071038,0.810859,0.3726108,0.336525,-0.0360858
10,-0.85836315,-0.92278564,"('unsympathetic', 'sympathetic')",-2.24209,-2.3286085,0.26442266,0.07722628,-0.9453435,-1.058056,-0.1127125
11,0.16592383,-0.0023351759,"('unhelpful', 'helpful')",-0.6480603,-0.7260133,2.714153,2.596214,0.7440055,0.6226219,-0.1213836
12,0.10886207,0.3366367,"('unsupportive', 'supportive')",-0.28913677,-0.22093865,-2.0975723,-1.9962516,-0.7592824,-0.6268512,0.1324312
13,-0.07169412,-0.22067127,"('impolite', 'polite')",-1.033325,-0.9901655,0.0024859533,-0.059554666,-0.367511,-0.4234638,-0.0559528
14,-0.1470012,-0.24828102,"('antisocial', 'social')",-0.14173514,-0.23535343,0.38407978,0.15970474,0.0317811,-0.1079766,-0.1397577
15,0.008275263,-0.1980074,"('boring', 'funny')",0.7625781,0.6294131,0.49773353,0.4526904,0.4228623,0.2946987,-0.1281636
16,-0.28236407,-0.28879872,"('unpopular', 'popular')",0.057156846,0.06032622,0.38849676,0.4084947,0.0544298,0.0600074,0.0055776
17,-0.6095789,-0.5260342,"('nasty', 'nice')",-0.7144567,-0.6136039,-0.057994533,-0.081618674,-0.4606767,-0.4070856,0.0535911
18,-0.3992271,-0.05287224,"('disagreeable', 'welcoming')",-0.3591056,-0.2320525,-1.217177,-1.0406479,-0.6585033,-0.4418575,0.2166458
19,0.112615526,0.23669851,"('inhospitable', 'hospitable')",-0.00919172,0.038136512,-0.46598423,-0.27228177,-0.1208535,0.0008511,0.1217046
20,-0.2169363,-0.1355384,"('rough', 'thoughtful')",0.032174796,0.099490315,0.8065974,0.8265949,0.2072786,0.2635156,0.056237
21,-0.07218754,-0.22129187,"('immoral', 'moral')",-1.1826915,-1.2227921,-0.35850137,-0.37715366,-0.5377935,-0.6070792,-0.0692857
22,-0.7438864,-0.7962498,"('untrustworthy', 'trustworthy')",-1.3516414,-1.4582958,-0.556795,-0.61772597,-0.8841076,-0.9574238,-0.0733162
23,-0.21761742,-0.31415498,"('insincere', 'sincere')",-1.1583519,-1.0990219,6.291235,6.090188,1.6384219,1.5590037,-0.0794182
24,0.581206,0.4633756,"('dishonest', 'honest')",-0.2896524,-0.27909172,0.96067107,0.8790686,0.4174082,0.3544508,-0.0629574
25,0.013568886,0.080369994,"('egoistic', 'altruistic')",1.1596093,1.2398525,1.2078861,1.1601604,0.7936881,0.8267943,0.0331062
26,1.1635448,0.9913794,"('hardhearted', 'benevolent')",2.7464359,2.65624,1.835874,1.6797078,1.915285,1.7757756,-0.1395094
27,-0.62977904,-0.3546603,"('hardhearted', 'softhearted')",-0.39500913,-0.2889002,0.52851087,0.6895244,-0.1654258,0.0153213,0.1807471
28,-0.4843348,-0.7185864,"('disloyal', 'loyal')",-0.40363318,-0.6022696,1.5006422,1.2109814,0.2042247,-0.0366249,-0.2408496
29,-0.123772815,-0.11705218,"('unfair', 'fair')",-0.5691357,-0.48592022,-0.7277926,-0.85020036,-0.473567,-0.4843909,-0.0108239
30,-0.27268186,-0.3059042,"('intolerant', 'tolerant')",-0.214678,-0.25831896,0.685657,0.7643536,0.066099,0.0667101,0.0006111
31,-0.83571565,-0.5096499,"('evil', 'good')",0.37317392,0.48844904,-1.8021328,-1.5974884,-0.7548916,-0.5395631,0.2153285
32,1.0587962,0.8296581,"('unkind', 'kind')",-0.619642,-0.7678828,1.4015609,1.1115148,0.6135717,0.3910967,-0.222475
33,0.5504216,0.43146035,"('wrong', 'right')",0.99644005,0.9201397,-0.8731024,-0.8944086,0.2245864,0.1523972,-0.0721892
