,lkq_male,lkq_female,tuple,corp_male,corp_female,average_male,average_female,female-male
0,-0.43510088,-0.7746997,"('unsociable', 'sociable')",0.00333976,-0.24341255,-0.2158806,-0.5090561,-0.2931755
1,-1.6324009,-1.6713256,"('unfriendly', 'friendly')",1.2053698,1.0317338,-0.2135155,-0.3197959,-0.1062804
2,1.03588,0.99549705,"('unlikable', 'likable')",0.79142565,0.8353437,0.9136528,0.9154204,0.0017676
3,0.10698052,0.18659072,"('repellent', 'pleasant')",0.9280514,0.9084355,0.517516,0.5475131,0.0299971
4,-0.00759637,0.02662523,"('disliked', 'liked')",-5.9461718,-6.0329866,-2.9768841,-3.0031807,-0.0262966
5,-1.0969223,-0.9511578,"('distant', 'outgoing')",-0.74487346,-0.6238947,-0.9208978,-0.7875262,0.1333716
6,-1.4597512,-1.265145,"('distant', 'open')",-0.88313997,-0.78969306,-1.1714456,-1.027419,0.1440266
7,-0.35532075,-0.35867196,"('insensitive', 'sensitive')",0.23991959,0.19582155,-0.0577006,-0.0814252,-0.0237246
8,-1.1289967,-1.1505362,"('unaffectionate', 'affectionate')",0.32642382,0.28602603,-0.4012865,-0.4322551,-0.0309686
9,-1.1116471,-1.1623591,"('unaffectionate', 'caring')",0.82695216,0.80746186,-0.1423475,-0.1774486,-0.0351011
10,-0.44690818,-0.52439725,"('unsympathetic', 'sympathetic')",-0.8370608,-0.8932646,-0.6419845,-0.708831,-0.0668465
11,0.15312801,0.02258873,"('unhelpful', 'helpful')",1.7750494,1.8470525,0.9640887,0.9348206,-0.0292681
12,-0.382408,-0.30935907,"('unsupportive', 'supportive')",-2.206392,-2.2208385,-1.2944,-1.2650988,0.0293012
13,-0.15839352,-0.31090024,"('impolite', 'polite')",-0.7550483,-0.7272496,-0.4567209,-0.5190749,-0.062354
14,0.71524847,0.5958049,"('antisocial', 'social')",0.33432338,0.14970312,0.5247859,0.372754,-0.1520319
15,0.3713225,0.19902931,"('boring', 'funny')",0.28702304,0.20150827,0.3291728,0.2002688,-0.128904
16,-0.049832854,-0.09829228,"('unpopular', 'popular')",0.8146144,0.67051333,0.3823908,0.2861105,-0.0962803
17,-0.14872509,-0.10490595,"('nasty', 'nice')",-0.30881432,-0.29614154,-0.2287697,-0.2005237,0.028246
18,-0.4303287,-0.43487853,"('disagreeable', 'welcoming')",-0.6662628,-0.79469633,-0.5482957,-0.6147875,-0.0664918
19,-1.0426694,-0.9959419,"('inhospitable', 'hospitable')",-0.8931542,-0.8028179,-0.9679118,-0.8993798,0.068532
20,0.2410277,0.14835799,"('rough', 'thoughtful')",0.94021994,0.89273787,0.5906238,0.5205479,-0.0700759
21,0.4440242,0.3167851,"('immoral', 'moral')",-0.25703955,-0.34910414,0.0934923,-0.0161595,-0.1096518
22,0.16177619,0.07023643,"('untrustworthy', 'trustworthy')",-0.93109983,-1.0123281,-0.3846618,-0.4710459,-0.0863841
23,-0.39712387,-0.48386624,"('insincere', 'sincere')",5.512691,5.472104,2.5577836,2.4941189,-0.0636647
24,-0.5462329,-0.56569,"('dishonest', 'honest')",0.39146176,0.47274297,-0.0773856,-0.0464735,0.0309121
25,-0.82722837,-0.8606685,"('egoistic', 'altruistic')",1.1639895,1.02483,0.1683806,0.0820808,-0.0862998
26,-0.234631,-0.40059137,"('hardhearted', 'benevolent')",1.8404257,1.5983924,0.8028973,0.5989005,-0.2039968
27,-0.5659436,-0.5140718,"('hardhearted', 'softhearted')",0.6751527,0.6092327,0.0546046,0.0475805,-0.0070241
28,-0.7931534,-0.81193393,"('disloyal', 'loyal')",1.197735,1.0619755,0.2022908,0.1250208,-0.07727
29,-0.20786111,-0.2389946,"('unfair', 'fair')",-0.56026834,-0.6772359,-0.3840647,-0.4581152,-0.0740505
30,0.7296834,0.6025691,"('intolerant', 'tolerant')",1.2436465,1.1792922,0.986665,0.8909307,-0.0957343
