,spinach_male,spinach_female,tuple,average_male,average_female,female-male
0,0.4907406,0.2781109,"('unsociable', 'sociable')",0.4907406,0.2781109,-0.2126297
1,0.10983935,-0.31160048,"('unfriendly', 'friendly')",0.1098393,-0.3116005,-0.4214398
2,0.58747756,0.6108673,"('unlikable', 'likable')",0.5874776,0.6108673,0.0233897
3,-0.40409368,-0.31460494,"('repellent', 'pleasant')",-0.4040937,-0.3146049,0.0894888
4,-2.8516605,-2.660897,"('disliked', 'liked')",-2.8516605,-2.660897,0.1907635
5,-0.8532422,-1.0173504,"('distant', 'outgoing')",-0.8532422,-1.0173504,-0.1641082
6,-0.8119086,-1.0581883,"('distant', 'open')",-0.8119086,-1.0581883,-0.2462797
7,0.2615028,0.26162776,"('insensitive', 'sensitive')",0.2615028,0.2616278,0.000125
8,0.21988717,-0.0625764,"('unaffectionate', 'affectionate')",0.2198872,-0.0625764,-0.2824636
9,0.57168424,0.3097065,"('unaffectionate', 'caring')",0.5716842,0.3097065,-0.2619777
10,0.4989984,0.26411742,"('unsympathetic', 'sympathetic')",0.4989984,0.2641174,-0.234881
11,1.0026356,1.0379041,"('unhelpful', 'helpful')",1.0026356,1.0379041,0.0352685
12,-0.78555036,-0.7080608,"('unsupportive', 'supportive')",-0.7855504,-0.7080608,0.0774896
13,0.028826037,0.10200108,"('impolite', 'polite')",0.028826,0.1020011,0.0731751
14,0.8413529,0.83368385,"('antisocial', 'social')",0.8413529,0.8336838,-0.0076691
15,0.5350004,0.44960824,"('boring', 'funny')",0.5350004,0.4496082,-0.0853922
16,-0.838762,-0.6967316,"('unpopular', 'popular')",-0.838762,-0.6967316,0.1420304
17,-0.5651538,-0.43515337,"('nasty', 'nice')",-0.5651538,-0.4351534,0.1300004
18,-1.1015726,-1.012956,"('disagreeable', 'welcoming')",-1.1015726,-1.012956,0.0886166
19,-1.0728018,-1.2210968,"('inhospitable', 'hospitable')",-1.0728018,-1.2210968,-0.148295
20,0.58404005,0.57356495,"('rough', 'thoughtful')",0.58404,0.5735649,-0.0104751
21,0.06963094,0.3152802,"('immoral', 'moral')",0.0696309,0.3152802,0.2456493
