,johnson_male,johnson_female,tuple,&_male,&_female,average_male,average_female,female-male
0,-0.07108316,-0.32082126,"('unsociable', 'sociable')",0.7696769,0.65569,0.3492969,0.1674344,-0.1818625
1,0.9889373,1.0436945,"('unfriendly', 'friendly')",1.1457562,0.94133884,1.0673468,0.9925166,-0.0748302
2,0.34289515,0.5472115,"('unlikable', 'likable')",1.1312001,1.2139745,0.7370476,0.880593,0.1435454
3,-0.5667445,-0.71143425,"('repellent', 'pleasant')",-0.7890982,-0.69905645,-0.6779214,-0.7052454,-0.027324
4,0.5625952,0.493582,"('disliked', 'liked')",0.18909511,0.07433787,0.3758451,0.2839599,-0.0918852
5,1.0991403,1.2117411,"('distant', 'outgoing')",0.5942592,0.5697145,0.8466997,0.8907278,0.0440281
6,1.6690893,1.877496,"('distant', 'open')",0.4474438,0.48661232,1.0582665,1.1820542,0.1237877
7,-0.4533292,-0.44770893,"('insensitive', 'sensitive')",-0.4831004,-0.45026475,-0.4682148,-0.4489868,0.019228
8,0.5101323,0.6124376,"('unaffectionate', 'affectionate')",0.8748903,0.7997842,0.6925113,0.7061109,0.0135996
9,0.5189233,0.54279065,"('unaffectionate', 'caring')",0.788316,0.6807768,0.6536196,0.6117837,-0.0418359
10,-1.2845827,-1.48722,"('unsympathetic', 'sympathetic')",-0.16142397,-0.38273966,-0.7230033,-0.9349799,-0.2119766
11,-0.2671343,-0.32692444,"('unhelpful', 'helpful')",-0.85034734,-0.9064507,-0.5587409,-0.6166875,-0.0579466
12,0.83533823,0.8323703,"('unsupportive', 'supportive')",0.64267874,0.68185866,0.7390085,0.7571145,0.018106
13,-1.4470634,-1.4804217,"('impolite', 'polite')",-0.6263599,-0.62462103,-1.0367117,-1.0525213,-0.0158096
14,-0.9602609,-1.1974766,"('antisocial', 'social')",0.98623794,0.80557257,0.0129885,-0.195952,-0.2089405
15,0.8232967,0.9193278,"('boring', 'funny')",1.2838073,1.2525536,1.053552,1.0859407,0.0323887
16,-0.022231944,0.20674336,"('unpopular', 'popular')",-0.0744067,0.1471126,-0.0483193,0.176928,0.2252473
17,0.22282405,0.24599265,"('nasty', 'nice')",0.07977734,0.24243551,0.1513007,0.2442141,0.0929134
18,-0.7333185,-0.57678854,"('disagreeable', 'welcoming')",0.35945052,0.61573786,-0.186934,0.0194747,0.2064087
19,0.78156775,0.79182535,"('inhospitable', 'hospitable')",-0.6475602,-0.6014394,0.0670038,0.095193,0.0281892
20,-1.2088577,-1.2511854,"('rough', 'thoughtful')",-0.16018583,-0.03570012,-0.6845217,-0.6434427,0.041079
21,-1.3646961,-1.5898218,"('immoral', 'moral')",0.35053444,0.37421417,-0.5070809,-0.6078038,-0.1007229
22,-0.690444,-0.8662035,"('untrustworthy', 'trustworthy')",-0.2564339,-0.36927867,-0.4734389,-0.6177411,-0.1443022
23,-0.6238704,-0.6670508,"('insincere', 'sincere')",-0.5248964,-0.54946506,-0.5743834,-0.6082579,-0.0338745
24,-0.10147747,-0.10117506,"('dishonest', 'honest')",0.2524168,0.2866998,0.0754697,0.0927624,0.0172927
25,0.8914293,1.2671982,"('egoistic', 'altruistic')",0.5418851,0.74239534,0.7166572,1.0047967,0.2881395
26,1.2748708,1.3854431,"('hardhearted', 'benevolent')",2.971605,2.6850739,2.1232378,2.0352585,-0.0879793
27,-0.15737304,-0.028309062,"('hardhearted', 'softhearted')",-0.48949015,-0.45384556,-0.3234316,-0.2410773,0.0823543
28,-0.1395013,-0.22688328,"('disloyal', 'loyal')",0.39364162,0.17153789,0.1270702,-0.0276727,-0.1547429
29,0.7007923,0.5568244,"('unfair', 'fair')",-0.8592397,-0.8265033,-0.0792237,-0.1348394,-0.0556157
30,-0.46803522,-0.61606956,"('intolerant', 'tolerant')",-0.24529718,-0.3036002,-0.3566662,-0.4598349,-0.1031687
31,1.2318152,1.4220165,"('evil', 'good')",0.41948313,0.47799492,0.8256491,0.9500057,0.1243566
32,-0.026833268,0.0371564,"('unkind', 'kind')",0.5890254,0.5571586,0.281096,0.2971575,0.0160615
33,1.377977,1.4458164,"('wrong', 'right')",0.66121596,0.81214726,1.0195965,1.1289818,0.1093853
34,-0.65800655,-0.48200846,"('mean', 'honorable')",-0.011055149,0.17462444,-0.3345309,-0.153692,0.1808389
35,1.357401,1.446261,"('corrupt', 'incorrupt')",0.24257472,0.18553622,0.7999879,0.8158987,0.0159108
36,1.3740377,1.4354362,"('hostile', 'amicable')",0.6755162,0.50945866,1.0247769,0.9724475,-0.0523294
