,public_male,public_female,tuple,service_male,service_female,enterprise_male,enterprise_female,gp_male,gp_female,inc_male,inc_female,average_male,average_female,female-male
0,0.7968993,0.66718966,"('unsociable', 'sociable')",-0.24215022,-0.28002372,0.21193804,0.09119398,1.9244485,1.691115,-0.31118786,-0.40491396,0.4759895,0.3529122,-0.1230773
1,-1.1358314,-1.1586667,"('unfriendly', 'friendly')",-1.5298563,-1.510483,-1.7981435,-1.7621338,0.11369384,0.15224741,1.6711875,1.5227655,-0.53579,-0.5512542,-0.0154642
2,0.73586315,0.8291142,"('unlikable', 'likable')",0.7030754,0.80876374,1.1699789,1.3692783,1.1534139,1.2397625,0.46234953,0.46126038,0.8449362,0.9416358,0.0966996
3,0.29755965,0.31964743,"('repellent', 'pleasant')",0.37239474,0.54639006,0.9746945,1.0989786,1.2867486,1.332626,0.70925534,0.83505106,0.7281305,0.8265387,0.0984082
4,-0.20599198,-0.33673015,"('disliked', 'liked')",-0.20278084,-0.27356732,-0.35186052,-0.3434024,-0.57112706,-0.6834798,-6.8787584,-7.050691,-1.6421038,-1.7375742,-0.0954704
5,-0.45824486,-0.29705784,"('distant', 'outgoing')",-0.046729386,-0.0078763515,-0.93775016,-0.8122743,-1.858235,-1.696894,-0.41898006,-0.4608221,-0.7439879,-0.654985,0.0890029
6,-0.37804946,-0.20373504,"('distant', 'open')",-0.3589091,-0.21767889,-1.2688463,-1.1021231,-1.9631894,-1.7700624,0.29933965,0.26914534,-0.7339309,-0.6048909,0.12904
7,1.6450696,1.6380609,"('insensitive', 'sensitive')",0.7611286,0.8753429,1.6070448,1.8072829,1.6911682,1.7451348,1.1302766,1.1529385,1.3669376,1.443752,0.0768144
8,-1.5425808,-1.6159421,"('unaffectionate', 'affectionate')",-0.8732364,-0.9285742,-1.7644358,-1.6751072,-2.1583843,-2.1221838,0.52850074,0.46782187,-1.1620274,-1.1747971,-0.0127697
9,-0.6367568,-0.7156483,"('unaffectionate', 'caring')",0.20151666,0.22250792,-1.0227214,-0.8663555,-0.26973918,-0.21522003,0.9631262,0.9761264,-0.1529149,-0.1197179,0.033197
10,0.475298,0.46271515,"('unsympathetic', 'sympathetic')",0.18252741,0.3301077,0.6682912,0.93019855,0.94423956,0.91479456,-0.7846649,-0.69046444,0.2971383,0.3894703,0.092332
11,1.8104483,1.7913561,"('unhelpful', 'helpful')",1.3498192,1.3973778,0.81743515,1.0231354,1.1461635,1.21346,1.4007585,1.546954,1.304925,1.3944567,0.0895317
12,1.7244859,1.810672,"('unsupportive', 'supportive')",0.88261324,1.0650359,0.9119897,1.3419425,0.71411324,0.90933394,-2.402656,-2.3634946,0.3661092,0.552698,0.1865888
13,1.4615785,1.4682792,"('impolite', 'polite')",0.78962857,0.87277645,1.3342042,1.436676,1.1652122,1.1179011,-0.84814394,-0.80580556,0.7804959,0.8179654,0.0374695
14,2.9442356,2.8125272,"('antisocial', 'social')",1.6484882,1.5309511,2.2910836,2.2213361,2.1002355,1.956685,-0.50130683,-0.5340683,1.6965473,1.5974863,-0.099061
15,0.00743486,-0.03697365,"('boring', 'funny')",0.48425886,0.37904027,0.105611324,-0.016629927,0.088885754,0.1373623,0.5629036,0.45197695,0.2498189,0.1829552,-0.0668637
16,-1.9546059,-2.1029325,"('unpopular', 'popular')",-2.0329993,-1.9950919,-1.4082215,-1.4375148,-1.2124072,-1.2065545,0.20087157,0.24370444,-1.2814724,-1.2996778,-0.0182054
17,0.744653,0.8486189,"('nasty', 'nice')",1.2577025,1.3050275,-0.44568396,-0.31042272,-0.52141845,-0.43519673,-0.75477445,-0.69410473,0.0560957,0.1427845,0.0866888
18,-0.4842747,-0.40725484,"('disagreeable', 'welcoming')",0.12750244,0.2708643,-0.3661807,-0.1064084,-0.7898704,-0.665769,-0.3333421,-0.35289252,-0.3692331,-0.2522921,0.116941
19,-0.4888392,-0.43003488,"('inhospitable', 'hospitable')",0.6944464,0.7721685,-0.7033247,-0.5338859,-0.3658028,-0.16810729,-0.23692971,-0.19635041,-0.22009,-0.111242,0.108848
