,hca_male,hca_female,tuple,healthcare_male,healthcare_female,inc_male,inc_female,average_male,average_female,female-male
0,-0.61485136,-0.71704257,"('unsociable', 'sociable')",0.6185033,0.51383346,-0.2693497,-0.3785508,-0.0885659,-0.19392,-0.1053541
1,-1.7710438,-1.8097794,"('unfriendly', 'friendly')",0.4163172,0.3027081,1.5685515,1.3984301,0.071275,-0.0362137,-0.1074887
2,1.4957097,1.4552428,"('unlikable', 'likable')",1.4440016,1.4595524,0.85587466,0.91472685,1.2651952,1.2765074,0.0113122
3,0.1659668,0.37597525,"('repellent', 'pleasant')",-1.108521,-0.8848698,-0.076099195,0.023241082,-0.3395511,-0.1618845,0.1776666
4,0.0030827709,-0.048492175,"('disliked', 'liked')",0.38631645,0.4005021,-5.663292,-5.611572,-1.7579643,-1.7531873,0.004777
5,-0.95083255,-1.0014262,"('distant', 'outgoing')",0.2173912,0.20765477,-0.17278548,-0.21091813,-0.3020756,-0.3348965,-0.0328209
6,-1.0266472,-0.9980424,"('distant', 'open')",0.07517563,0.07173136,0.35934517,0.28316545,-0.1973755,-0.2143819,-0.0170064
7,0.38811022,0.50071937,"('insensitive', 'sensitive')",0.51331514,0.63317716,0.63225055,0.6968405,0.5112253,0.6102457,0.0990204
8,-1.094648,-1.0792953,"('unaffectionate', 'affectionate')",-0.1510589,-0.23651461,0.37237343,0.23207042,-0.2911112,-0.3612465,-0.0701353
9,-0.8484335,-0.82604676,"('unaffectionate', 'caring')",1.3614305,1.3126847,1.0852407,1.0226672,0.5327459,0.5031017,-0.0296442
10,-0.32690603,-0.18075156,"('unsympathetic', 'sympathetic')",0.21639691,0.355503,-0.032441035,0.0019626357,-0.04765,0.0589047,0.1065547
11,0.16336095,0.18190926,"('unhelpful', 'helpful')",0.6609649,0.69574004,1.8560879,1.8995378,0.8934712,0.925729,0.0322578
12,0.9983156,1.1597191,"('unsupportive', 'supportive')",2.0914924,2.2792451,-1.362785,-1.2656479,0.5756743,0.7244388,0.1487645
13,0.3239912,0.2667609,"('impolite', 'polite')",0.85333145,0.8439026,0.1412678,0.1567314,0.4395301,0.4224649,-0.0170652
14,0.57564557,0.5549882,"('antisocial', 'social')",0.58181113,0.6493343,-0.3117857,-0.31289378,0.2818903,0.2971429,0.0152526
15,-0.07135354,-0.33482143,"('boring', 'funny')",0.5976899,0.4457905,0.6535994,0.5832541,0.3933119,0.2314077,-0.1619042
16,-0.87207496,-0.9393802,"('unpopular', 'popular')",-0.10659095,-0.066781126,0.39535075,0.33870798,-0.1944384,-0.2224844,-0.028046
17,-0.5439221,-0.47695544,"('nasty', 'nice')",-0.42320433,-0.32997525,-0.21899936,-0.16906609,-0.3953753,-0.3253322,0.0700431
18,-0.34981143,-0.3091337,"('disagreeable', 'welcoming')",0.07249132,0.043352842,-0.1928309,-0.21298751,-0.156717,-0.1595895,-0.0028725
19,-0.5223027,-0.4679838,"('inhospitable', 'hospitable')",0.6213335,0.5664985,0.18592973,0.20147786,0.0949868,0.0999975,0.0050107
20,-0.17236236,-0.0857772,"('rough', 'thoughtful')",-0.12370418,-0.04486285,0.64009964,0.59371954,0.1146777,0.1543598,0.0396821
21,0.6871879,0.73726183,"('immoral', 'moral')",0.97428006,0.99642247,-0.63292193,-0.55387515,0.3428487,0.3932697,0.050421
22,0.453749,0.5466997,"('untrustworthy', 'trustworthy')",-0.10747966,-0.1268069,-0.9705078,-0.989235,-0.2080795,-0.1897807,0.0182988
23,-0.030493684,0.026767418,"('insincere', 'sincere')",0.94675833,0.9586801,5.472604,5.330211,2.1296228,2.1052195,-0.0244033
24,0.7033832,0.73788816,"('dishonest', 'honest')",0.5205158,0.5060016,0.8791148,0.85485345,0.7010046,0.6995811,-0.0014235
25,-1.2780977,-1.3025122,"('egoistic', 'altruistic')",-0.037971236,-0.109300844,1.5086539,1.4537613,0.064195,0.0139828,-0.0502122
26,-0.46553355,-0.50757474,"('hardhearted', 'benevolent')",1.5348237,1.5404764,1.7242439,1.6178484,0.931178,0.8835834,-0.0475946
27,-0.006058799,0.029957572,"('hardhearted', 'softhearted')",0.926992,0.96971947,1.5267432,1.4497585,0.8158921,0.8164786,0.0005865
28,-0.34238544,-0.39810723,"('disloyal', 'loyal')",-0.057987407,-0.18073218,0.85024136,0.7366766,0.1499562,0.0526124,-0.0973438
29,-0.010032028,-0.005187735,"('unfair', 'fair')",-0.59031284,-0.59331065,-0.9610507,-1.124995,-0.5204652,-0.5744978,-0.0540326
30,0.6514469,0.60441256,"('intolerant', 'tolerant')",1.4396132,1.3765557,1.6064849,1.5439762,1.232515,1.1749814,-0.0575336
31,-1.3416029,-1.2202568,"('evil', 'good')",-0.86857504,-0.8759691,-1.3310667,-1.4735572,-1.1804148,-1.1899277,-0.0095129
32,0.5484655,0.5108759,"('unkind', 'kind')",1.8280083,1.8068397,1.2371997,1.1595297,1.2045579,1.1590818,-0.0454761
33,0.37045395,0.3224091,"('wrong', 'right')",0.61528736,0.59265447,-0.38837877,-0.43674788,0.1991208,0.1594386,-0.0396822
34,0.21622178,0.42233694,"('mean', 'honorable')",0.3512315,0.44943887,5.8195868,5.857905,2.1290134,2.2432268,0.1142134
35,-0.2431306,-0.34945962,"('corrupt', 'incorrupt')",-0.7564133,-0.84906346,0.05620496,-0.13167088,-0.3144463,-0.443398,-0.1289517
36,-1.2724437,-1.2913336,"('hostile', 'amicable')",-0.77383196,-0.8701396,0.20427273,-0.023511566,-0.614001,-0.7283283,-0.1143273
37,0.23812136,0.31887218,"('fake', 'genuine')",0.33351767,0.3821087,0.35683307,0.38707843,0.3094907,0.3626864,0.0531957
38,0.023142833,0.0871673,"('untruthful', 'truthful')",0.41104978,0.4634492,0.26880214,0.32763287,0.2343316,0.2927498,0.0584182
39,1.8371178,1.8809394,"('exploitative', 'cooperative')",0.6965988,0.7106308,0.11179997,0.09478541,0.8818389,0.8954519,0.013613
40,0.54456884,0.6084348,"('stingy', 'generous')",0.57746494,0.69646066,-1.4426817,-1.4397906,-0.1068826,-0.0449651,0.0619175
41,0.40114367,0.45874825,"('unforgiving', 'forgiving')",0.8863236,0.9278137,0.3791255,0.31490865,0.5555309,0.5671569,0.011626
42,1.6086996,1.6687028,"('unreliable', 'reliable')",1.4914926,1.654162,-2.3418624,-2.1863122,0.2527765,0.3788509,0.1260744
43,0.5104798,0.5951177,"('irresponsible', 'responsible')",1.4975262,1.6210194,0.60480076,0.63669825,0.8709356,0.9509451,0.0800095
44,0.22961116,0.22450049,"('prejudiced', 'unprejudiced')",-0.87879014,-0.7833074,-1.2932658,-1.2931589,-0.6474816,-0.6173219,0.0301597
