,eastman_male,eastman_female,tuple,kodak_male,kodak_female,co_male,co_female,average_male,average_female,female-male
0,-0.5648889,-0.66706026,"('unsociable', 'sociable')",-1.1799935,-1.3114561,0.3681343,0.1951938,-0.458916,-0.5944409,-0.1355249
1,1.7002885,1.8042567,"('unfriendly', 'friendly')",0.42132652,0.40057492,1.0426601,0.96666855,1.0547584,1.0571667,0.0024083
2,1.096341,1.1561586,"('unlikable', 'likable')",0.6576202,0.73412687,1.1942972,1.3110758,0.9827528,1.0671204,0.0843676
3,-0.9995775,-0.8979881,"('repellent', 'pleasant')",-1.3240876,-1.2631838,0.63755196,0.6894987,-0.5620377,-0.4905578,0.0714799
4,0.68276834,0.64117867,"('disliked', 'liked')",0.9766442,0.94732577,-6.334232,-6.399561,-1.558273,-1.6036855,-0.0454125
5,1.2633222,1.3036119,"('distant', 'outgoing')",0.5747729,0.65570134,-1.2377976,-1.10492,0.2000992,0.2847977,0.0846985
6,1.229404,1.3161366,"('distant', 'open')",0.25203076,0.395341,-1.4013197,-1.2382942,0.026705,0.1577278,0.1310228
7,-0.5029453,-0.4562168,"('insensitive', 'sensitive')",-1.1585925,-1.1595703,0.09700823,0.18836421,-0.5215098,-0.4758077,0.0457021
8,0.5609913,0.57247573,"('unaffectionate', 'affectionate')",0.17831215,0.15113464,-0.24475075,-0.27896008,0.1648509,0.1482168,-0.0166341
9,1.0645196,1.0678644,"('unaffectionate', 'caring')",0.15424415,0.105609834,0.48568863,0.46559364,0.5681508,0.546356,-0.0217948
10,-1.5869867,-1.6018937,"('unsympathetic', 'sympathetic')",-2.725477,-2.7932537,-0.11568191,-0.14818472,-1.4760486,-1.514444,-0.0383954
11,-1.2026738,-1.2699988,"('unhelpful', 'helpful')",-1.728014,-1.7781438,2.4485507,2.4489088,-0.1607124,-0.1997445,-0.0390321
12,0.6988206,0.76004225,"('unsupportive', 'supportive')",-0.15351737,-0.16614798,-1.7061611,-1.634766,-0.3869526,-0.3469572,0.0399954
13,-1.241579,-1.3114171,"('impolite', 'polite')",-1.6033237,-1.6642727,0.4474728,0.4120795,-0.7991433,-0.8545368,-0.0553935
14,-0.265742,-0.35502347,"('antisocial', 'social')",-0.7141902,-0.82316107,0.53943866,0.463948,-0.1468312,-0.2380788,-0.0912476
15,1.3347567,1.2288696,"('boring', 'funny')",1.6374825,1.5243106,1.0993007,1.0606558,1.35718,1.2712786,-0.0859014
16,0.36898217,0.36670625,"('unpopular', 'popular')",1.0776223,1.0598712,0.10920192,0.039514355,0.5186021,0.4886973,-0.0299048
17,-0.59246576,-0.63934624,"('nasty', 'nice')",-0.15130422,-0.11881295,-0.15032837,-0.14678983,-0.2980328,-0.3016497,-0.0036169
18,0.9633185,0.96281403,"('disagreeable', 'welcoming')",0.60033363,0.5848533,-1.0114263,-1.0393243,0.1840753,0.1694477,-0.0146276
19,-0.35613105,-0.36514565,"('inhospitable', 'hospitable')",-0.21525717,-0.14008981,-0.64024454,-0.6235271,-0.4038776,-0.3762542,0.0276234
20,0.067439474,0.047219466,"('rough', 'thoughtful')",-0.46720693,-0.5083427,0.5806735,0.5717527,0.060302,0.0368765,-0.0234255
