,boat_male,boat_female,tuple,average_male,average_female,female-male
0,0.05541888,0.100321345,"('unsociable', 'sociable')",0.0554189,0.1003213,0.0449024
1,1.7702143,1.7090017,"('unfriendly', 'friendly')",1.7702143,1.7090017,-0.0612126
2,0.5929984,0.5849764,"('unlikable', 'likable')",0.5929984,0.5849764,-0.008022
3,0.20030706,0.2662841,"('repellent', 'pleasant')",0.2003071,0.2662841,0.065977
4,-6.6698174,-6.8968196,"('disliked', 'liked')",-6.6698174,-6.8968196,-0.2270022
5,0.2628328,0.11075328,"('distant', 'outgoing')",0.2628328,0.1107533,-0.1520795
6,0.9534724,0.7743395,"('distant', 'open')",0.9534724,0.7743395,-0.1791329
7,0.56546354,0.6918047,"('insensitive', 'sensitive')",0.5654635,0.6918047,0.1263412
8,1.7282122,1.5140303,"('unaffectionate', 'affectionate')",1.7282122,1.5140303,-0.2141819
9,2.3419402,2.2293427,"('unaffectionate', 'caring')",2.3419402,2.2293427,-0.1125975
10,0.3065911,0.41800374,"('unsympathetic', 'sympathetic')",0.3065911,0.4180037,0.1114126
11,1.6549298,1.8283343,"('unhelpful', 'helpful')",1.6549298,1.8283343,0.1734045
12,-1.3113112,-1.3954864,"('unsupportive', 'supportive')",-1.3113112,-1.3954864,-0.0841752
13,-0.6388124,-0.5671611,"('impolite', 'polite')",-0.6388124,-0.5671611,0.0716513
14,-0.07144427,0.043877248,"('antisocial', 'social')",-0.0714443,0.0438772,0.1153215
15,0.50662374,0.2761016,"('boring', 'funny')",0.5066237,0.2761016,-0.2305221
16,0.118020475,0.066900164,"('unpopular', 'popular')",0.1180205,0.0669002,-0.0511203
17,0.30927908,0.28670597,"('nasty', 'nice')",0.3092791,0.286706,-0.0225731
18,-0.49564812,-0.55889034,"('disagreeable', 'welcoming')",-0.4956481,-0.5588903,-0.0632422
19,-0.32090688,-0.25750569,"('inhospitable', 'hospitable')",-0.3209069,-0.2575057,0.0634012
20,0.2343925,0.27977687,"('rough', 'thoughtful')",0.2343925,0.2797769,0.0453844
21,-0.6357395,-0.41349602,"('immoral', 'moral')",-0.6357395,-0.413496,0.2222435
22,-0.9203335,-0.84961426,"('untrustworthy', 'trustworthy')",-0.9203335,-0.8496143,0.0707192
23,6.015158,6.3435473,"('insincere', 'sincere')",6.0151582,6.3435473,0.3283891
24,1.2957674,1.2097572,"('dishonest', 'honest')",1.2957674,1.2097572,-0.0860102
25,1.2184443,1.0806298,"('egoistic', 'altruistic')",1.2184443,1.0806298,-0.1378145
26,1.0321435,0.98636234,"('hardhearted', 'benevolent')",1.0321435,0.9863623,-0.0457812
27,1.1326318,0.8996854,"('hardhearted', 'softhearted')",1.1326318,0.8996854,-0.2329464
28,1.2493597,1.3171924,"('disloyal', 'loyal')",1.2493597,1.3171924,0.0678327
29,0.18282904,0.08546077,"('unfair', 'fair')",0.182829,0.0854608,-0.0973682
30,0.41767082,0.55392146,"('intolerant', 'tolerant')",0.4176708,0.5539215,0.1362507
31,-0.35733756,-0.60379833,"('evil', 'good')",-0.3573376,-0.6037983,-0.2464607
32,1.0646415,1.1087677,"('unkind', 'kind')",1.0646415,1.1087677,0.0441262
33,0.15204185,0.05734932,"('wrong', 'right')",0.1520419,0.0573493,-0.0946926
34,4.3252373,4.562753,"('mean', 'honorable')",4.3252373,4.5627532,0.2375159
35,-0.3847478,-0.661466,"('corrupt', 'incorrupt')",-0.3847478,-0.661466,-0.2767182
36,0.20231363,-0.020766504,"('hostile', 'amicable')",0.2023136,-0.0207665,-0.2230801
37,0.7926575,0.74293554,"('fake', 'genuine')",0.7926575,0.7429355,-0.049722
38,0.20998801,0.2802874,"('untruthful', 'truthful')",0.209988,0.2802874,0.0702994
39,0.23777619,0.27713066,"('exploitative', 'cooperative')",0.2377762,0.2771307,0.0393545
40,-1.7176,-1.8582301,"('stingy', 'generous')",-1.7176,-1.8582301,-0.1406301
41,0.35131705,0.4249251,"('unforgiving', 'forgiving')",0.351317,0.4249251,0.0736081
42,-2.472676,-2.4548,"('unreliable', 'reliable')",-2.472676,-2.4547999,0.0178761
