,nvent_male,nvent_female,tuple,electric_male,electric_female,plc_male,plc_female,average_male,average_female,female-male
0,-0.11039971,-0.3182127,"('unsociable', 'sociable')",-0.3855451,-0.43278623,-0.40271664,-0.54454494,-0.2995538,-0.431848,-0.1322942
1,-2.1021101,-2.0746498,"('unfriendly', 'friendly')",-0.5454927,-0.5694741,1.5412155,1.3312942,-0.3687958,-0.43761,-0.0688142
2,0.13730647,0.19973771,"('unlikable', 'likable')",0.30099612,0.35055104,0.47510985,0.5071733,0.3044708,0.3524873,0.0480165
3,0.37292543,0.3579692,"('repellent', 'pleasant')",-0.53976655,-0.50198424,-0.15823366,-0.076560564,-0.1083583,-0.0735252,0.0348331
4,-0.57934463,-0.5820349,"('disliked', 'liked')",0.45768756,0.3286642,-3.7971928,-3.876393,-1.3062833,-1.3765879,-0.0703046
5,-2.014082,-1.8799137,"('distant', 'outgoing')",-0.32844725,-0.31746083,-0.13043454,-0.25434756,-0.8243213,-0.8172407,0.0070806
6,-2.1106634,-1.9591144,"('distant', 'open')",-1.0034868,-1.0093771,-0.1899788,-0.32134944,-1.1013763,-1.0966136,0.0047627
7,0.26638073,0.09775839,"('insensitive', 'sensitive')",-0.32503256,-0.32812676,0.26926678,0.23938368,0.070205,0.0030051,-0.0671999
8,-2.0752492,-2.0217164,"('unaffectionate', 'affectionate')",-1.0411375,-1.0169039,0.2326456,0.059922997,-0.961247,-0.9928991,-0.0316521
9,-1.3800876,-1.4269198,"('unaffectionate', 'caring')",-0.8918185,-0.88416666,0.69959027,0.55891263,-0.5241053,-0.5840579,-0.0599526
10,0.60135835,0.3614264,"('unsympathetic', 'sympathetic')",-1.4292697,-1.5230633,-0.6927587,-0.67816895,-0.50689,-0.6132686,-0.1063786
11,0.57454807,0.3898277,"('unhelpful', 'helpful')",0.0783771,0.03948371,0.87224466,0.8285053,0.5083899,0.4192722,-0.0891177
12,0.060878642,0.009169295,"('unsupportive', 'supportive')",-0.45408744,-0.42095062,-1.1298593,-1.1578164,-0.5076894,-0.5231992,-0.0155098
13,0.93520266,0.7588185,"('impolite', 'polite')",0.4654057,0.50558645,-0.47067785,-0.539996,0.3099768,0.2414697,-0.0685071
14,0.9987663,0.8976825,"('antisocial', 'social')",0.580898,0.59134936,0.8140605,0.82288104,0.7979082,0.7706376,-0.0272706
15,0.8790552,0.75106865,"('boring', 'funny')",0.5255441,0.45098302,0.091970995,-0.025766425,0.4988568,0.3920951,-0.1067617
