,bowler_male,bowler_female,tuple,average_male,average_female,female-male
0,0.33034095,0.35445595,"('unsociable', 'sociable')",0.330341,0.3544559,0.0241149
1,1.3328451,1.3670686,"('unfriendly', 'friendly')",1.3328451,1.3670686,0.0342235
2,0.6429008,0.80587375,"('unlikable', 'likable')",0.6429008,0.8058738,0.162973
3,1.029995,1.2068583,"('repellent', 'pleasant')",1.029995,1.2068583,0.1768633
4,-6.9039416,-6.9452186,"('disliked', 'liked')",-6.9039416,-6.9452186,-0.041277
5,-0.3974477,-0.16792113,"('distant', 'outgoing')",-0.3974477,-0.1679211,0.2295266
6,-0.115778506,0.054962076,"('distant', 'open')",-0.1157785,0.0549621,0.1707406
7,1.5131127,1.6553613,"('insensitive', 'sensitive')",1.5131127,1.6553613,0.1422486
8,1.031803,0.93088484,"('unaffectionate', 'affectionate')",1.031803,0.9308848,-0.1009182
9,1.2914861,1.373115,"('unaffectionate', 'caring')",1.2914861,1.3731149,0.0816288
10,1.8216232,1.7764381,"('unsympathetic', 'sympathetic')",1.8216232,1.7764381,-0.0451851
11,2.1509857,2.1774266,"('unhelpful', 'helpful')",2.1509857,2.1774266,0.0264409
12,-0.8554925,-0.7555943,"('unsupportive', 'supportive')",-0.8554925,-0.7555943,0.0998982
13,0.5263082,0.50468564,"('impolite', 'polite')",0.5263082,0.5046856,-0.0216226
14,0.41693848,0.39790127,"('antisocial', 'social')",0.4169385,0.3979013,-0.0190372
15,0.37567523,0.37297732,"('boring', 'funny')",0.3756752,0.3729773,-0.0026979
16,-0.77236223,-0.5008298,"('unpopular', 'popular')",-0.7723622,-0.5008298,0.2715324
17,0.045071106,0.0073275007,"('nasty', 'nice')",0.0450711,0.0073275,-0.0377436
18,-0.18570086,-0.12028511,"('disagreeable', 'welcoming')",-0.1857009,-0.1202851,0.0654158
19,-0.22245336,-0.12538484,"('inhospitable', 'hospitable')",-0.2224534,-0.1253848,0.0970686
20,0.85499185,0.7225405,"('rough', 'thoughtful')",0.8549919,0.7225405,-0.1324514
