,adient_male,adient_female,tuple,plc_male,plc_female,average_male,average_female,female-male
0,-0.36542732,-0.4160047,"('unsociable', 'sociable')",-0.07101957,-0.21156062,-0.2182234,-0.3137827,-0.0955593
1,-2.3708415,-2.360944,"('unfriendly', 'friendly')",2.0753307,1.8631179,-0.1477554,-0.248913,-0.1011576
2,0.5275816,0.5983314,"('unlikable', 'likable')",0.5924977,0.7222832,0.5600396,0.6603073,0.1002677
3,-0.07743572,-0.026889566,"('repellent', 'pleasant')",0.051070902,0.08522456,-0.0131824,0.0291675,0.0423499
4,-1.0691726,-1.0313878,"('disliked', 'liked')",-5.842378,-6.045807,-3.4557753,-3.5385973,-0.082822
5,-1.7663124,-1.7569599,"('distant', 'outgoing')",-0.025358971,-0.13424367,-0.8958356,-0.9456018,-0.0497662
6,-2.2786734,-2.2371264,"('distant', 'open')",0.025083669,-0.06555758,-1.1267948,-1.1513419,-0.0245471
7,0.45879135,0.4339112,"('insensitive', 'sensitive')",0.5975191,0.5654635,0.5281552,0.4996873,-0.0284679
8,-1.552995,-1.4767503,"('unaffectionate', 'affectionate')",0.98743767,0.7818331,-0.2827787,-0.3474586,-0.0646799
9,-1.4801538,-1.4314129,"('unaffectionate', 'caring')",1.3866624,1.2174052,-0.0467457,-0.1070039,-0.0602582
10,0.47140172,0.41071653,"('unsympathetic', 'sympathetic')",0.04462658,-0.020136148,0.2580141,0.1952902,-0.0627239
11,0.15499628,0.18306856,"('unhelpful', 'helpful')",1.6294297,1.605452,0.892213,0.8942602,0.0020472
12,-0.3531468,-0.24852364,"('unsupportive', 'supportive')",-1.2008047,-1.2689447,-0.7769758,-0.7587342,0.0182416
13,0.39080667,0.27219543,"('impolite', 'polite')",-0.21386547,-0.22657172,0.0884706,0.0228119,-0.0656587
14,1.4228109,1.3762838,"('antisocial', 'social')",0.64208937,0.6068597,1.0324502,0.9915717,-0.0408785
15,-0.12724626,-0.1939961,"('boring', 'funny')",-0.082028225,-0.087607615,-0.1046372,-0.1408019,-0.0361647
16,-1.3944082,-1.2210503,"('unpopular', 'popular')",-0.20127939,-0.20461929,-0.7978438,-0.7128348,0.085009
17,-0.081297554,-0.037230328,"('nasty', 'nice')",-0.93365264,-0.97044,-0.5074751,-0.5038351,0.00364
18,-0.40300936,-0.15042649,"('disagreeable', 'welcoming')",-0.7441607,-0.69942707,-0.573585,-0.4249268,0.1486582
19,-2.143638,-2.1210186,"('inhospitable', 'hospitable')",-0.4292525,-0.48363456,-1.2864451,-1.3023266,-0.0158815
20,0.45344016,0.475312,"('rough', 'thoughtful')",1.1743393,1.1710223,0.8138897,0.8231671,0.0092774
21,0.6620047,0.69984716,"('immoral', 'moral')",-0.9552102,-0.80233514,-0.1466027,-0.051244,0.0953587
22,0.4257844,0.3659561,"('untrustworthy', 'trustworthy')",-0.4680419,-0.5919471,-0.0211287,-0.1129955,-0.0918668
23,0.5889156,0.51193833,"('insincere', 'sincere')",5.5358963,5.5041065,3.0624061,3.0080223,-0.0543838
24,0.268711,0.16474396,"('dishonest', 'honest')",0.91896456,0.7702212,0.5938378,0.4674826,-0.1263552
25,-1.1354748,-1.1497438,"('egoistic', 'altruistic')",1.0888256,0.9772012,-0.0233246,-0.0862713,-0.0629467
26,0.0028256793,-0.12565166,"('hardhearted', 'benevolent')",2.5123248,2.3081846,1.2575753,1.0912665,-0.1663088
27,-0.5263861,-0.52746207,"('hardhearted', 'softhearted')",0.7920177,0.56284344,0.1328158,0.0176907,-0.1151251
28,-0.3311472,-0.30548462,"('disloyal', 'loyal')",1.262529,1.0586503,0.4656909,0.3765828,-0.0891081
29,-0.9151175,-1.0255085,"('unfair', 'fair')",-0.5758182,-0.80118537,-0.7454678,-0.9133469,-0.1678791
30,1.1225345,1.1126317,"('intolerant', 'tolerant')",0.96826494,1.0725569,1.0453997,1.0925943,0.0471946
31,-2.5681615,-2.4175382,"('evil', 'good')",-0.547416,-0.63403314,-1.5577887,-1.5257857,0.032003
32,0.32291672,0.1682671,"('unkind', 'kind')",1.0346057,0.8106419,0.6787612,0.4894545,-0.1893067
33,-0.39707395,-0.38234195,"('wrong', 'right')",0.00028183684,-0.15202609,-0.1983961,-0.267184,-0.0687879
34,0.0017004292,0.12093468,"('mean', 'honorable')",4.674439,4.927998,2.3380697,2.5244663,0.1863966
35,-1.4966246,-1.5479274,"('corrupt', 'incorrupt')",-0.76477945,-0.9216675,-1.130702,-1.2347975,-0.1040955
36,-1.9445572,-1.8950803,"('hostile', 'amicable')",0.41049743,0.22013077,-0.7670299,-0.8374748,-0.0704449
37,0.7627627,0.7509443,"('fake', 'genuine')",0.70909214,0.6433548,0.7359275,0.6971495,-0.038778
