,currant_male,currant_female,tuple,average_male,average_female,female-male
0,0.24930306,0.19685423,"('unsociable', 'sociable')",0.2493031,0.1968542,-0.0524489
1,0.77656597,0.55118334,"('unfriendly', 'friendly')",0.776566,0.5511833,-0.2253827
2,-0.33123565,-0.33575022,"('unlikable', 'likable')",-0.3312356,-0.3357502,-0.0045146
3,-0.535076,-0.33503166,"('repellent', 'pleasant')",-0.535076,-0.3350317,0.2000443
4,-2.8037915,-2.9076946,"('disliked', 'liked')",-2.8037915,-2.9076946,-0.1039031
5,-0.08489512,-0.20472008,"('distant', 'outgoing')",-0.0848951,-0.2047201,-0.119825
6,-0.12876856,-0.32532445,"('distant', 'open')",-0.1287686,-0.3253244,-0.1965558
7,0.100603715,0.19243583,"('insensitive', 'sensitive')",0.1006037,0.1924358,0.0918321
8,0.6083208,0.49776077,"('unaffectionate', 'affectionate')",0.6083208,0.4977608,-0.11056
9,0.60481906,0.5396791,"('unaffectionate', 'caring')",0.6048191,0.5396791,-0.06514
10,0.1593755,0.17487341,"('unsympathetic', 'sympathetic')",0.1593755,0.1748734,0.0154979
11,0.42305663,0.53864866,"('unhelpful', 'helpful')",0.4230566,0.5386487,0.1155921
12,-0.982709,-1.0001868,"('unsupportive', 'supportive')",-0.982709,-1.0001868,-0.0174778
13,-0.68249595,-0.6209911,"('impolite', 'polite')",-0.682496,-0.6209911,0.0615049
14,0.19540443,0.33317426,"('antisocial', 'social')",0.1954044,0.3331743,0.1377699
15,0.8293014,0.7520972,"('boring', 'funny')",0.8293014,0.7520972,-0.0772042
16,-0.3183464,-0.506303,"('unpopular', 'popular')",-0.3183464,-0.506303,-0.1879566
17,-0.0064775944,0.007850036,"('nasty', 'nice')",-0.0064776,0.00785,0.0143276
18,-1.8366555,-1.8026943,"('disagreeable', 'welcoming')",-1.8366555,-1.8026943,0.0339612
19,-0.5718567,-0.6143037,"('inhospitable', 'hospitable')",-0.5718567,-0.6143037,-0.042447
20,0.18619929,0.2472878,"('rough', 'thoughtful')",0.1861993,0.2472878,0.0610885
21,-0.688681,-0.44037202,"('immoral', 'moral')",-0.688681,-0.440372,0.248309
22,-0.42105612,-0.48657793,"('untrustworthy', 'trustworthy')",-0.4210561,-0.4865779,-0.0655218
23,2.4418585,2.5405402,"('insincere', 'sincere')",2.4418585,2.5405402,0.0986817
24,0.6823823,0.6951271,"('dishonest', 'honest')",0.6823823,0.6951271,0.0127448
25,0.5864118,0.4994387,"('egoistic', 'altruistic')",0.5864118,0.4994387,-0.0869731
26,1.1811974,0.94107974,"('hardhearted', 'benevolent')",1.1811974,0.9410797,-0.2401177
27,0.5545198,0.4625105,"('hardhearted', 'softhearted')",0.5545198,0.4625105,-0.0920093
28,0.99712133,0.88190407,"('disloyal', 'loyal')",0.9971213,0.8819041,-0.1152172
29,-0.48332945,-0.5997289,"('unfair', 'fair')",-0.4833294,-0.5997289,-0.1163995
30,-0.4420017,-0.2408767,"('intolerant', 'tolerant')",-0.4420017,-0.2408767,0.201125
31,-0.91775465,-1.042438,"('evil', 'good')",-0.9177547,-1.042438,-0.1246833
32,0.3349924,0.25857309,"('unkind', 'kind')",0.3349924,0.2585731,-0.0764193
33,0.31946722,0.12649214,"('wrong', 'right')",0.3194672,0.1264921,-0.1929751
34,2.1467783,2.357362,"('mean', 'honorable')",2.1467783,2.357362,0.2105837
35,0.06774273,-0.2648209,"('corrupt', 'incorrupt')",0.0677427,-0.2648209,-0.3325636
36,-0.21258199,-0.52585876,"('hostile', 'amicable')",-0.212582,-0.5258588,-0.3132768
37,0.906829,0.9104783,"('fake', 'genuine')",0.906829,0.9104783,0.0036493
38,0.22638646,0.14217328,"('untruthful', 'truthful')",0.2263865,0.1421733,-0.0842132
39,-0.26948032,-0.17248502,"('exploitative', 'cooperative')",-0.2694803,-0.172485,0.0969953
40,-1.6404494,-1.6361141,"('stingy', 'generous')",-1.6404494,-1.6361141,0.0043353
41,-0.037520744,-0.13825612,"('unforgiving', 'forgiving')",-0.0375207,-0.1382561,-0.1007354
42,-1.4767752,-1.4219612,"('unreliable', 'reliable')",-1.4767752,-1.4219612,0.054814
43,0.0622582,0.11960698,"('irresponsible', 'responsible')",0.0622582,0.119607,0.0573488
44,-1.1593534,-1.1072606,"('prejudiced', 'unprejudiced')",-1.1593534,-1.1072606,0.0520928
45,0.7496988,0.708972,"('incompetent', 'competent')",0.7496988,0.708972,-0.0407268
46,-0.53676605,-0.543494,"('uncompetitive', 'competitive')",-0.5367661,-0.543494,-0.0067279
47,2.1455288,2.249902,"('stupid', 'smart')",2.1455288,2.249902,0.1043732
48,-0.066286296,0.08137159,"('unintelligent', 'intelligent')",-0.0662863,0.0813716,0.1476579
49,-0.6212334,-0.4873599,"('unable', 'able')",-0.6212334,-0.4873599,0.1338735
50,0.20132089,0.038775697,"('clumsy', 'skillful')",0.2013209,0.0387757,-0.1625452
51,-0.6734888,-0.5935089,"('uneducated', 'educated')",-0.6734888,-0.5935089,0.0799799
52,0.20604008,-0.054514486,"('irrational', 'rational')",0.2060401,-0.0545145,-0.2605546
53,-0.9543169,-1.1711855,"('uncreative', 'creative')",-0.9543169,-1.1711855,-0.2168686
54,0.56993407,0.33996323,"('incapable', 'capable')",0.5699341,0.3399632,-0.2299709
55,0.2078776,0.44790065,"('incompetent', 'clever')",0.2078776,0.4479007,0.2400231
56,0.077115044,0.29041433,"('impractical', 'practical')",0.077115,0.2904143,0.2132993
57,-0.81429017,-0.9443073,"('unimaginative', 'imaginative')",-0.8142902,-0.9443073,-0.1300171
58,0.35983175,0.25157547,"('undiscriminating', 'discriminating')",0.3598318,0.2515755,-0.1082563
59,-0.19565627,-0.3430942,"('foolish', 'wise')",-0.1956563,-0.3430942,-0.1474379
60,-0.06056925,0.3851818,"('inefficient', 'efficient')",-0.0605692,0.3851818,0.445751
61,0.28231156,0.118415795,"('illogical', 'logical')",0.2823116,0.1184158,-0.1638958
62,-0.061781824,0.20473939,"('incompetent', 'brilliant')",-0.0617818,0.2047394,0.2665212
63,-0.058097154,0.029062279,"('unperceptive', 'insightful')",-0.0580972,0.0290623,0.0871595
64,-3.0298405,-2.909915,"('shy', 'confident')",-3.0298405,-2.909915,0.1199255
65,-0.34041655,-0.19305712,"('insecure', 'secure')",-0.3404166,-0.1930571,0.1473595
66,-0.33639455,-0.5032878,"('inactive', 'active')",-0.3363945,-0.5032878,-0.1668933
67,-0.5568899,-0.45877635,"('doubtful', 'determined')",-0.5568899,-0.4587764,0.0981135
68,-1.3497273,-1.30475,"('dependent', 'independent')",-1.3497273,-1.30475,0.0449773
69,-0.2946993,-0.4015966,"('lazy', 'industrious')",-0.2946993,-0.4015966,-0.1068973
70,0.42678908,0.4872779,"('lethargic', 'energetic')",0.4267891,0.4872779,0.0604888
71,0.8024621,0.7300265,"('diffident', 'self-confident')",0.8024621,0.7300265,-0.0724356
72,-0.22193438,-0.14787488,"('unambitious', 'ambitious')",-0.2219344,-0.1478749,0.0740595
73,-1.1762044,-1.1642861,"('helpless', 'self-reliant')",-1.1762044,-1.1642861,0.0119183
74,0.5780189,0.55926317,"('undedicated', 'dedicated')",0.5780189,0.5592632,-0.0187557
75,-0.540852,-0.67348146,"('meek', 'impulsive')",-0.540852,-0.6734815,-0.1326295
76,0.15940222,0.3707669,"('anxious', 'daring')",0.1594022,0.3707669,0.2113647
77,-1.5276698,-1.3900254,"('unmotivated', 'motivated')",-1.5276698,-1.3900254,0.1376444
78,-0.018665787,-0.08324356,"('nonresilient', 'resilient')",-0.0186658,-0.0832436,-0.0645778
79,0.1619543,-0.04750345,"('wavering', 'unwavering')",0.1619543,-0.0475034,-0.2094577
80,-0.28290516,-0.27241316,"('dominated', 'dominating')",-0.2829052,-0.2724132,0.010492
81,-0.7284653,-0.49354935,"('submissive', 'aggressive')",-0.7284653,-0.4935493,0.234916
82,2.1356714,2.1495676,"('poor', 'rich')",2.1356714,2.1495676,0.0138962
83,-0.61866707,-0.5461954,"('powerless', 'powerful')",-0.6186671,-0.5461954,0.0724717
84,0.02532496,0.032363508,"('inferior', 'superior')",0.025325,0.0323635,0.0070385
85,-0.22197857,-0.44808954,"('insignificant', 'prestigious')",-0.2219786,-0.4480895,-0.2261109
86,0.08313578,-0.045613363,"('uninfluential', 'influential')",0.0831358,-0.0456134,-0.1287492
87,0.7807633,0.77529365,"('unsuccessful', 'successful')",0.7807633,0.7752936,-0.0054697
88,-0.5120409,-0.49676943,"('low', 'eminent')",-0.5120409,-0.4967694,0.0152715
