,prejudice_male,prejudice_female,tuple,average_male,average_female,female-male
0,-0.048624966,-0.0075968094,"('unsociable', 'sociable')",-0.048625,-0.0075968,0.0410282
1,0.3461464,0.27843544,"('unfriendly', 'friendly')",0.3461464,0.2784354,-0.067711
2,-0.2155534,-0.17398302,"('unlikable', 'likable')",-0.2155534,-0.173983,0.0415704
3,0.894336,0.9736613,"('repellent', 'pleasant')",0.894336,0.9736613,0.0793253
4,-7.368542,-7.564438,"('disliked', 'liked')",-7.3685422,-7.5644379,-0.1958957
5,-1.3045385,-1.3823187,"('distant', 'outgoing')",-1.3045385,-1.3823187,-0.0777802
6,-0.61556363,-0.7767509,"('distant', 'open')",-0.6155636,-0.7767509,-0.1611873
7,0.9462797,1.0451783,"('insensitive', 'sensitive')",0.9462797,1.0451783,0.0988986
8,0.6771131,0.54825103,"('unaffectionate', 'affectionate')",0.6771131,0.548251,-0.1288621
9,0.94435376,0.9534116,"('unaffectionate', 'caring')",0.9443538,0.9534116,0.0090578
10,1.531107,1.6385715,"('unsympathetic', 'sympathetic')",1.5311069,1.6385715,0.1074646
11,1.3818644,1.4687072,"('unhelpful', 'helpful')",1.3818644,1.4687072,0.0868428
12,-1.8852383,-1.8714439,"('unsupportive', 'supportive')",-1.8852383,-1.8714439,0.0137944
13,-0.10783666,-0.012253866,"('impolite', 'polite')",-0.1078367,-0.0122539,0.0955828
14,0.4663252,0.51932293,"('antisocial', 'social')",0.4663252,0.5193229,0.0529977
15,-0.2753029,-0.39839414,"('boring', 'funny')",-0.2753029,-0.3983941,-0.1230912
16,-0.82431865,-0.8799054,"('unpopular', 'popular')",-0.8243186,-0.8799054,-0.0555868
17,-0.40708843,-0.4021624,"('nasty', 'nice')",-0.4070884,-0.4021624,0.004926
18,-0.44074672,-0.44981357,"('disagreeable', 'welcoming')",-0.4407467,-0.4498136,-0.0090669
19,-1.1912819,-1.3004632,"('inhospitable', 'hospitable')",-1.1912819,-1.3004632,-0.1091813
20,0.99082136,0.9409428,"('rough', 'thoughtful')",0.9908214,0.9409428,-0.0498786
21,-0.1350753,0.065452784,"('immoral', 'moral')",-0.1350753,0.0654528,0.2005281
22,-0.109925136,-0.089128196,"('untrustworthy', 'trustworthy')",-0.1099251,-0.0891282,0.0207969
23,6.092722,6.208373,"('insincere', 'sincere')",6.0927219,6.2083731,0.1156512
24,1.4812951,1.4366437,"('dishonest', 'honest')",1.4812951,1.4366437,-0.0446514
25,0.30161238,0.19377655,"('egoistic', 'altruistic')",0.3016124,0.1937765,-0.1078359
26,0.7198297,0.58849823,"('hardhearted', 'benevolent')",0.7198297,0.5884982,-0.1313315
27,1.5304424,1.343385,"('hardhearted', 'softhearted')",1.5304424,1.343385,-0.1870574
28,0.8758561,0.88603127,"('disloyal', 'loyal')",0.8758561,0.8860313,0.0101752
29,-0.80846095,-0.9493211,"('unfair', 'fair')",-0.808461,-0.9493211,-0.1408601
30,1.0881854,1.1766424,"('intolerant', 'tolerant')",1.0881854,1.1766424,0.088457
31,-1.7993276,-1.9294631,"('evil', 'good')",-1.7993276,-1.9294631,-0.1301355
32,0.8766968,0.83849454,"('unkind', 'kind')",0.8766968,0.8384945,-0.0382023
33,-0.84877765,-0.9304601,"('wrong', 'right')",-0.8487777,-0.9304601,-0.0816824
34,4.4603415,4.600222,"('mean', 'honorable')",4.4603415,4.6002221,0.1398806
35,-0.8696171,-1.1868296,"('corrupt', 'incorrupt')",-0.8696171,-1.1868296,-0.3172125
36,-1.1063788,-1.2810869,"('hostile', 'amicable')",-1.1063788,-1.2810869,-0.1747081
37,0.8229554,0.82237804,"('fake', 'genuine')",0.8229554,0.822378,-0.0005774
38,-0.6578526,-0.5684531,"('untruthful', 'truthful')",-0.6578526,-0.5684531,0.0893995
39,0.633899,0.61108154,"('exploitative', 'cooperative')",0.633899,0.6110815,-0.0228175
40,-1.2628907,-1.4346101,"('stingy', 'generous')",-1.2628907,-1.4346101,-0.1717194
41,-0.0384121,-0.003998013,"('unforgiving', 'forgiving')",-0.0384121,-0.003998,0.0344141
42,-2.008221,-2.0496385,"('unreliable', 'reliable')",-2.0082209,-2.0496385,-0.0414176
43,0.87271464,0.97547877,"('irresponsible', 'responsible')",0.8727146,0.9754788,0.1027642
44,-0.696796,-0.7070425,"('prejudiced', 'unprejudiced')",-0.696796,-0.7070425,-0.0102465
45,0.20613362,0.1673741,"('incompetent', 'competent')",0.2061336,0.1673741,-0.0387595
46,-0.1579604,-0.068413794,"('uncompetitive', 'competitive')",-0.1579604,-0.0684138,0.0895466
47,5.0811696,5.240171,"('stupid', 'smart')",5.0811696,5.240171,0.1590014
48,0.24931577,0.3130077,"('unintelligent', 'intelligent')",0.2493158,0.3130077,0.0636919
49,-0.08341548,-0.04304701,"('unable', 'able')",-0.0834155,-0.043047,0.0403685
50,-0.7041446,-0.73374945,"('clumsy', 'skillful')",-0.7041446,-0.7337494,-0.0296048
51,0.59963745,0.55621976,"('uneducated', 'educated')",0.5996374,0.5562198,-0.0434176
52,-0.6637477,-0.8672701,"('irrational', 'rational')",-0.6637477,-0.8672701,-0.2035224
53,-0.4720964,-0.58075583,"('uncreative', 'creative')",-0.4720964,-0.5807558,-0.1086594
54,0.55123794,0.55548066,"('incapable', 'capable')",0.5512379,0.5554807,0.0042428
55,0.96611416,1.0825633,"('incompetent', 'clever')",0.9661142,1.0825633,0.1164491
56,0.6443914,0.7132426,"('impractical', 'practical')",0.6443914,0.7132426,0.0688512
57,-2.5076025,-2.5243928,"('unimaginative', 'imaginative')",-2.5076025,-2.5243928,-0.0167903
58,0.1032051,0.08583671,"('undiscriminating', 'discriminating')",0.1032051,0.0858367,-0.0173684
59,-0.6079924,-0.6906232,"('foolish', 'wise')",-0.6079924,-0.6906232,-0.0826308
60,0.7598844,1.0503676,"('inefficient', 'efficient')",0.7598844,1.0503676,0.2904832
61,0.08852689,-0.02446805,"('illogical', 'logical')",0.0885269,-0.024468,-0.1129949
62,0.46947747,0.6005164,"('incompetent', 'brilliant')",0.4694775,0.6005164,0.1310389
63,-0.3050582,-0.20894273,"('unperceptive', 'insightful')",-0.3050582,-0.2089427,0.0961155
64,-5.655089,-5.607952,"('shy', 'confident')",-5.6550889,-5.6079521,0.0471368
65,0.66188204,0.798798,"('insecure', 'secure')",0.661882,0.798798,0.136916
66,-0.08343698,-0.2969228,"('inactive', 'active')",-0.083437,-0.2969228,-0.2134858
67,-0.5160375,-0.43853965,"('doubtful', 'determined')",-0.5160375,-0.4385397,0.0774978
68,-0.71169907,-0.72077775,"('dependent', 'independent')",-0.7116991,-0.7207778,-0.0090787
69,-2.3279831,-2.4532225,"('lazy', 'industrious')",-2.3279831,-2.4532225,-0.1252394
70,1.6001066,1.6039809,"('lethargic', 'energetic')",1.6001066,1.6039809,0.0038743
71,0.3568294,0.31105477,"('diffident', 'self-confident')",0.3568294,0.3110548,-0.0457746
72,0.7438527,0.87111616,"('unambitious', 'ambitious')",0.7438527,0.8711162,0.1272635
73,-3.0000358,-3.0273008,"('helpless', 'self-reliant')",-3.0000358,-3.0273008,-0.027265
74,0.22290926,0.100326546,"('undedicated', 'dedicated')",0.2229093,0.1003265,-0.1225828
