,thanks_male,thanks_female,tuple,average_male,average_female,female-male
0,-0.123090245,-0.24977376,"('unsociable', 'sociable')",-0.1230902,-0.2497738,-0.1266836
1,2.0263486,1.864804,"('unfriendly', 'friendly')",2.0263486,1.864804,-0.1615446
2,0.8097716,0.9081201,"('unlikable', 'likable')",0.8097716,0.9081201,0.0983485
3,0.6311988,0.6468767,"('repellent', 'pleasant')",0.6311988,0.6468767,0.0156779
4,-6.825101,-6.762421,"('disliked', 'liked')",-6.8251009,-6.7624211,0.0626798
5,0.387909,0.43514416,"('distant', 'outgoing')",0.387909,0.4351442,0.0472352
6,0.5633624,0.5897061,"('distant', 'open')",0.5633624,0.5897061,0.0263437
7,0.38119137,0.4079587,"('insensitive', 'sensitive')",0.3811914,0.4079587,0.0267673
8,1.4271894,1.3431375,"('unaffectionate', 'affectionate')",1.4271894,1.3431375,-0.0840519
9,1.940445,1.9363636,"('unaffectionate', 'caring')",1.9404449,1.9363636,-0.0040813
10,0.86428064,0.9008551,"('unsympathetic', 'sympathetic')",0.8642806,0.9008551,0.0365745
11,2.2443826,2.241007,"('unhelpful', 'helpful')",2.2443826,2.2410071,-0.0033755
12,-1.6059947,-1.6033775,"('unsupportive', 'supportive')",-1.6059947,-1.6033775,0.0026172
13,0.3830474,0.32054657,"('impolite', 'polite')",0.3830474,0.3205466,-0.0625008
14,-0.7071485,-0.72831804,"('antisocial', 'social')",-0.7071485,-0.728318,-0.0211695
15,1.1028318,1.0107993,"('boring', 'funny')",1.1028318,1.0107993,-0.0920325
16,0.35225952,0.36587176,"('unpopular', 'popular')",0.3522595,0.3658718,0.0136123
17,0.45708498,0.4774935,"('nasty', 'nice')",0.457085,0.4774935,0.0204085
18,-0.23931175,-0.38249037,"('disagreeable', 'welcoming')",-0.2393118,-0.3824904,-0.1431786
19,0.11180529,0.23472765,"('inhospitable', 'hospitable')",0.1118053,0.2347277,0.1229224
20,0.7264547,0.5916033,"('rough', 'thoughtful')",0.7264547,0.5916033,-0.1348514
21,-0.32461908,-0.2141853,"('immoral', 'moral')",-0.3246191,-0.2141853,0.1104338
22,-0.27939853,-0.26971257,"('untrustworthy', 'trustworthy')",-0.2793985,-0.2697126,0.0096859
23,6.567634,6.48977,"('insincere', 'sincere')",6.5676341,6.4897699,-0.0778642
24,1.9639717,1.9354427,"('dishonest', 'honest')",1.9639717,1.9354427,-0.028529
25,0.82144755,0.6703196,"('egoistic', 'altruistic')",0.8214476,0.6703196,-0.151128
26,0.4484042,0.33982816,"('hardhearted', 'benevolent')",0.4484042,0.3398282,-0.108576
27,1.5209751,1.3196782,"('hardhearted', 'softhearted')",1.5209751,1.3196782,-0.2012969
