,s&p_male,s&p_female,tuple,global_male,global_female,inc_male,inc_female,average_male,average_female,female-male
0,-0.4949566,-0.7226722,"('unsociable', 'sociable')",-2.3225667,-2.6219027,-0.098680615,-0.23377344,-0.972068,-1.1927828,-0.2207148
1,-1.2913325,-1.4310687,"('unfriendly', 'friendly')",-0.71346945,-0.7365081,-0.8659753,-1.0968357,-0.9569258,-1.0881375,-0.1312117
2,1.5002754,1.5630847,"('unlikable', 'likable')",1.3593624,1.4191358,1.6465532,1.6775163,1.5020636,1.5532457,0.0511821
3,0.3255102,0.25318605,"('repellent', 'pleasant')",-1.213464,-1.2156501,-0.2601044,-0.24593408,-0.3826861,-0.4027994,-0.0201133
4,0.03894735,-0.045440443,"('disliked', 'liked')",0.44109437,0.5125444,0.67204064,0.6183211,0.3840274,0.3618084,-0.022219
5,0.089821324,0.23721257,"('distant', 'outgoing')",0.6906488,0.90190417,0.19786412,0.2623101,0.3261114,0.4671423,0.1410309
6,0.67094195,0.82828283,"('distant', 'open')",1.1221703,1.3965406,0.109580696,0.15610063,0.634231,0.7936414,0.1594104
7,-0.08792391,-0.13773534,"('insensitive', 'sensitive')",-1.3244975,-1.4993393,-0.42375937,-0.4889933,-0.6120602,-0.7086894,-0.0966292
8,-0.6675119,-0.66299677,"('unaffectionate', 'affectionate')",0.074506715,0.19169158,-0.5500082,-0.6647311,-0.3810045,-0.3786788,0.0023257
9,-0.0055492073,-0.04079622,"('unaffectionate', 'caring')",-0.34763837,-0.35448864,-0.055579588,-0.22172362,-0.1362557,-0.2056695,-0.0694138
10,-0.78434277,-0.97413117,"('unsympathetic', 'sympathetic')",-1.9747502,-2.2112794,-1.0121183,-1.1356484,-1.2570704,-1.4403529,-0.1832825
11,-0.046577923,-0.06903939,"('unhelpful', 'helpful')",-1.7894303,-2.0193243,-0.48456275,-0.56013864,-0.7735236,-0.8828341,-0.1093105
12,0.53543866,0.4798941,"('unsupportive', 'supportive')",-0.66512716,-0.7331801,0.70982105,0.6277158,0.1933775,0.1248099,-0.0685676
13,-0.19306532,-0.27304906,"('impolite', 'polite')",-1.4578359,-1.6933626,0.73813564,0.72688806,-0.3042552,-0.4131745,-0.1089193
14,0.18548921,0.044665817,"('antisocial', 'social')",-1.0831972,-1.30866,0.105086364,0.088666886,-0.2642072,-0.3917758,-0.1275686
15,0.9022893,0.9433428,"('boring', 'funny')",1.0479227,1.0436062,-0.11360478,-0.11958981,0.6122024,0.6224531,0.0102507
16,0.5109342,0.51475155,"('unpopular', 'popular')",0.81525373,0.96565825,0.28750557,0.3467474,0.5378978,0.6090524,0.0711546
17,-0.32359537,-0.22966582,"('nasty', 'nice')",-0.24553868,-0.08148743,0.52981955,0.6567442,-0.0131048,0.115197,0.1283018
18,-0.6666112,-0.5702418,"('disagreeable', 'welcoming')",0.55408543,0.66749007,-0.32301086,-0.36315447,-0.1451789,-0.0886354,0.0565435
19,0.039530013,0.1122178,"('inhospitable', 'hospitable')",0.3487713,0.5246732,-0.35948828,-0.33041427,0.0096043,0.1021589,0.0925546
20,-0.7430417,-0.76213574,"('rough', 'thoughtful')",-0.9863346,-0.9703681,-0.31088808,-0.25956997,-0.6800881,-0.6640246,0.0160635
21,0.42331776,0.33205262,"('immoral', 'moral')",-0.5710331,-0.75122005,-0.17074454,-0.19188401,-0.1061533,-0.2036838,-0.0975305
22,-0.54984736,-0.5811473,"('untrustworthy', 'trustworthy')",-0.2066967,-0.29399222,-0.8430805,-0.8385735,-0.5332082,-0.5712377,-0.0380295
23,-1.1418117,-1.1836653,"('insincere', 'sincere')",-2.038236,-2.2887776,-0.5722352,-0.72935575,-1.2507609,-1.4005995,-0.1498386
24,-0.30591327,-0.31070215,"('dishonest', 'honest')",-0.8683853,-1.0086427,-0.51507044,-0.6035854,-0.563123,-0.6409767,-0.0778537
25,-0.37899336,-0.4288378,"('egoistic', 'altruistic')",-0.014180504,0.06284952,0.3396191,0.24808872,-0.0178516,-0.0392999,-0.0214483
26,-0.5378525,-0.60419047,"('hardhearted', 'benevolent')",1.4502794,1.3889681,-0.46718863,-0.5703274,0.1484127,0.0714834,-0.0769293
27,-0.25778145,-0.16895556,"('hardhearted', 'softhearted')",-1.374875,-1.2486815,-0.44737616,-0.3796618,-0.6933442,-0.5990996,0.0942446
28,-1.0644797,-1.2519741,"('disloyal', 'loyal')",-1.1317651,-1.3195581,-1.2475767,-1.4386685,-1.1479405,-1.3367335,-0.188793
29,-0.14631477,-0.17119826,"('unfair', 'fair')",0.15011509,0.1472001,-0.89066374,-0.9505197,-0.2956211,-0.3248393,-0.0292182
30,-0.047010392,-0.10136452,"('intolerant', 'tolerant')",-1.4557232,-1.7144852,-0.27831364,-0.3718376,-0.5936824,-0.7292291,-0.1355467
31,-0.54988503,-0.4774045,"('evil', 'good')",0.9897907,1.3062019,0.29758468,0.32016164,0.2458301,0.3829864,0.1371563
32,-0.34511343,-0.39455754,"('unkind', 'kind')",-0.041678127,-0.12183164,-0.4186939,-0.5158192,-0.2684952,-0.3440695,-0.0755743
33,0.725439,0.7526951,"('wrong', 'right')",0.69247764,0.7252244,1.0996042,1.0637217,0.8391736,0.8472137,0.0080401
34,-0.20440988,-0.1407042,"('mean', 'honorable')",-0.74507666,-0.72880054,0.12501198,0.19400135,-0.2748249,-0.2251678,0.0496571
35,-0.28918642,-0.18024795,"('corrupt', 'incorrupt')",0.78059065,1.0444465,-0.115150094,-0.07370487,0.125418,0.2634979,0.1380799
36,-0.13727653,-0.16427857,"('hostile', 'amicable')",0.17848822,0.37222025,0.07609743,-0.0714659,0.039103,0.0454919,0.0063889
37,-0.064609885,-0.0060213655,"('fake', 'genuine')",-0.80338955,-0.86170864,-0.31124154,-0.27324718,-0.3930803,-0.3803257,0.0127546
38,-0.5771361,-0.5880659,"('untruthful', 'truthful')",-1.0910176,-1.1514595,0.03141851,-0.08670027,-0.5455784,-0.6087419,-0.0631635
39,0.44435114,0.52084047,"('exploitative', 'cooperative')",-0.29481763,-0.36849603,0.60101396,0.670622,0.2501825,0.2743222,0.0241397
40,-0.01952218,-0.10014175,"('stingy', 'generous')",-0.96722674,-0.9741761,0.07522092,0.036713388,-0.3038427,-0.3458682,-0.0420255
41,-0.43663916,-0.5555891,"('unforgiving', 'forgiving')",-1.510289,-1.5940839,-0.14123335,-0.27891937,-0.6960538,-0.8095308,-0.113477
42,1.1561347,1.235633,"('unreliable', 'reliable')",1.2144538,1.211346,0.8605016,0.8664244,1.07703,1.1044678,0.0274378
43,0.093272954,0.11465186,"('irresponsible', 'responsible')",-1.7832854,-1.9838083,0.023007825,-0.01976367,-0.5556682,-0.62964,-0.0739718
44,0.21908739,0.35331866,"('prejudiced', 'unprejudiced')",0.07099048,0.22014554,0.1689838,0.35371712,0.1530206,0.3090605,0.1560399
45,0.48413324,0.3549972,"('incompetent', 'competent')",-1.8130789,-1.9770064,-0.19813773,-0.21983182,-0.5090278,-0.613947,-0.1049192
46,0.100719824,-0.11061618,"('uncompetitive', 'competitive')",-1.1934282,-1.4341723,-0.087479904,-0.092099935,-0.3933961,-0.5456295,-0.1522334
47,-0.80534196,-0.7339041,"('stupid', 'smart')",-0.9847337,-1.0471855,-0.33342937,-0.2760402,-0.707835,-0.68571,0.022125
48,-0.14368458,-0.32690817,"('unintelligent', 'intelligent')",-1.7204767,-1.9587293,-1.1199503,-1.2520442,-0.9947039,-1.1792272,-0.1845233
49,-0.59232116,-0.5457183,"('unable', 'able')",-0.66282433,-0.61380917,-0.48099536,-0.42929247,-0.5787137,-0.5296067,0.049107
50,-0.01561166,0.10534995,"('clumsy', 'skillful')",0.7415099,0.9162689,0.33360237,0.33741748,0.3531669,0.4530121,0.0998452
51,0.10226283,-0.034285508,"('uneducated', 'educated')",-0.00010318309,-0.20923774,0.096328326,-0.055561095,0.0661627,-0.0996948,-0.1658575
52,0.6579405,0.6104466,"('irrational', 'rational')",1.0799215,1.1170385,0.031047277,-0.12014058,0.5896364,0.5357815,-0.0538549
53,-0.75936747,-0.8893046,"('uncreative', 'creative')",-0.19912645,-0.2074211,-1.152036,-1.2562389,-0.70351,-0.7843215,-0.0808115
54,-0.40957174,-0.35879493,"('incapable', 'capable')",0.3663654,0.4303015,0.74406546,0.70582616,0.2336197,0.2591109,0.0254912
55,0.25591138,0.08459458,"('incompetent', 'clever')",-1.1534256,-1.338187,-0.9631971,-0.9766741,-0.6202371,-0.7434222,-0.1231851
