,pepco_male,pepco_female,tuple,holdings_male,holdings_female,inc_male,inc_female,average_male,average_female,female-male
0,-0.24947648,-0.42216688,"('unsociable', 'sociable')",0.20903789,-0.050070584,-0.21496409,-0.35745502,-0.0851342,-0.2765642,-0.19143
1,-1.0424608,-1.1034309,"('unfriendly', 'friendly')",0.10139863,-0.045885395,1.503649,1.3693303,0.1875289,0.073338,-0.1141909
2,0.97473884,1.0641173,"('unlikable', 'likable')",1.7740676,1.9074925,0.904528,1.0163296,1.2177782,1.3293131,0.1115349
3,-0.08344427,-0.07057957,"('repellent', 'pleasant')",0.5545891,0.54278225,0.22048452,0.2029143,0.2305431,0.225039,-0.0055041
4,-0.09286424,-0.16543613,"('disliked', 'liked')",-0.40159336,-0.47915354,-6.0016584,-5.9995584,-2.1653721,-2.214716,-0.0493439
5,-0.7716837,-0.72148424,"('distant', 'outgoing')",-1.0747528,-1.0220172,-0.42553148,-0.39940742,-0.7573226,-0.7143029,0.0430197
6,-1.5402849,-1.4880872,"('distant', 'open')",-1.3165857,-1.2786947,0.22741047,0.17662343,-0.8764867,-0.8633862,0.0131005
7,-0.20578372,-0.2821768,"('insensitive', 'sensitive')",0.7491712,0.6501189,0.73210466,0.64942276,0.4251641,0.3391216,-0.0860425
8,-0.8802498,-0.8978902,"('unaffectionate', 'affectionate')",-0.54825866,-0.5409075,0.45391473,0.3868559,-0.3248646,-0.3506473,-0.0257827
9,-0.68920463,-0.7655881,"('unaffectionate', 'caring')",0.17716873,0.06868756,1.0066808,0.9547217,0.1648816,0.0859404,-0.0789412
10,-0.13411793,-0.27649283,"('unsympathetic', 'sympathetic')",0.32912487,0.20545378,-0.05972336,-0.1302802,0.0450945,-0.0671064,-0.1122009
11,0.39821243,0.36311606,"('unhelpful', 'helpful')",-0.17489058,-0.2898596,1.9406399,1.9798701,0.7213205,0.6843755,-0.036945
12,0.358632,0.3784503,"('unsupportive', 'supportive')",0.3612742,0.39363244,-1.4748821,-1.427855,-0.2516586,-0.2185908,0.0330678
13,0.25052145,0.1521678,"('impolite', 'polite')",0.54676867,0.43762547,0.042804822,-0.023185879,0.2800316,0.1888691,-0.0911625
14,0.41572863,0.38551396,"('antisocial', 'social')",2.1613405,2.126171,-0.3122871,-0.3633778,0.7549273,0.7161024,-0.0388249
15,0.1363697,0.08809137,"('boring', 'funny')",-1.0559677,-1.0380523,0.426927,0.40455192,-0.1642237,-0.181803,-0.0175793
16,-1.0905918,-1.053687,"('unpopular', 'popular')",-1.1620554,-1.0708376,0.25104535,0.2482878,-0.6672006,-0.6254123,0.0417883
17,0.023818083,0.07983459,"('nasty', 'nice')",-1.1544696,-1.0658222,-0.45519525,-0.39374283,-0.5286156,-0.4599102,0.0687054
18,-0.41665393,-0.43352062,"('disagreeable', 'welcoming')",0.059331387,0.05623491,-0.36892027,-0.41247427,-0.2420809,-0.2632533,-0.0211724
19,-1.1402829,-1.1233822,"('inhospitable', 'hospitable')",-1.0740432,-1.0101391,-0.2095503,-0.15791881,-0.8079588,-0.7638133,0.0441455
20,-0.12763907,-0.087313235,"('rough', 'thoughtful')",0.115433395,0.2552303,1.1147996,1.0654932,0.3675313,0.4111368,0.0436055
21,0.84128606,0.7598462,"('immoral', 'moral')",0.7456373,0.66411865,-0.34883812,-0.37002698,0.4126951,0.3513126,-0.0613825
22,0.44646373,0.38159782,"('untrustworthy', 'trustworthy')",0.101429015,0.059994645,-0.7254684,-0.809718,-0.0591919,-0.1227085,-0.0635166
