,thong_male,thong_female,tuple,average_male,average_female,female-male
0,0.4409505,0.26397914,"('unsociable', 'sociable')",0.4409505,0.2639791,-0.1769714
1,1.0708678,1.011944,"('unfriendly', 'friendly')",1.0708678,1.0119441,-0.0589237
2,0.5116017,0.67407733,"('unlikable', 'likable')",0.5116017,0.6740773,0.1624756
3,0.96519136,1.0090551,"('repellent', 'pleasant')",0.9651914,1.0090551,0.0438637
4,-6.9412203,-7.0158296,"('disliked', 'liked')",-6.9412203,-7.0158296,-0.0746093
5,-0.29033914,-0.17644131,"('distant', 'outgoing')",-0.2903391,-0.1764413,0.1138978
6,-0.16183509,-0.06684726,"('distant', 'open')",-0.1618351,-0.0668473,0.0949878
7,0.86106116,0.87964135,"('insensitive', 'sensitive')",0.8610612,0.8796414,0.0185802
8,0.587328,0.59873366,"('unaffectionate', 'affectionate')",0.587328,0.5987337,0.0114057
9,1.2972332,1.3953125,"('unaffectionate', 'caring')",1.2972332,1.3953125,0.0980793
10,1.4454088,1.4719596,"('unsympathetic', 'sympathetic')",1.4454088,1.4719596,0.0265508
11,2.2420475,2.2378592,"('unhelpful', 'helpful')",2.2420475,2.2378592,-0.0041883
12,-1.442453,-1.4314768,"('unsupportive', 'supportive')",-1.442453,-1.4314768,0.0109762
13,0.8007427,0.7706236,"('impolite', 'polite')",0.8007427,0.7706236,-0.0301191
14,0.16396503,-0.021176416,"('antisocial', 'social')",0.163965,-0.0211764,-0.1851414
15,0.6264659,0.5259845,"('boring', 'funny')",0.6264659,0.5259845,-0.1004814
16,-0.10391798,-0.041081484,"('unpopular', 'popular')",-0.103918,-0.0410815,0.0628365
17,-0.014003787,0.0123398565,"('nasty', 'nice')",-0.0140038,0.0123399,0.0263437
18,-0.47487375,-0.5924465,"('disagreeable', 'welcoming')",-0.4748738,-0.5924465,-0.1175727
19,-0.6784232,-0.52559274,"('inhospitable', 'hospitable')",-0.6784232,-0.5255927,0.1528305
20,0.77628976,0.6763315,"('rough', 'thoughtful')",0.7762898,0.6763315,-0.0999583
21,0.33465627,0.43012813,"('immoral', 'moral')",0.3346563,0.4301281,0.0954718
22,0.0022524074,-0.03028301,"('untrustworthy', 'trustworthy')",0.0022524,-0.030283,-0.0325354
23,6.383796,6.36943,"('insincere', 'sincere')",6.3837962,6.3694301,-0.0143661
24,1.7760088,1.7904335,"('dishonest', 'honest')",1.7760088,1.7904335,0.0144247
25,0.37585193,0.2867334,"('egoistic', 'altruistic')",0.3758519,0.2867334,-0.0891185
26,0.20260449,0.022193931,"('hardhearted', 'benevolent')",0.2026045,0.0221939,-0.1804106
27,1.2574321,1.1663609,"('hardhearted', 'softhearted')",1.2574321,1.1663609,-0.0910712
28,1.0403936,0.9823839,"('disloyal', 'loyal')",1.0403936,0.9823839,-0.0580097
29,-0.78173393,-0.7902533,"('unfair', 'fair')",-0.7817339,-0.7902533,-0.0085194
30,1.0729833,1.0150281,"('intolerant', 'tolerant')",1.0729833,1.0150281,-0.0579552
31,-1.7919252,-1.7639437,"('evil', 'good')",-1.7919252,-1.7639437,0.0279815
32,1.2911233,1.297113,"('unkind', 'kind')",1.2911233,1.2971129,0.0059896
33,-0.4392254,-0.37365225,"('wrong', 'right')",-0.4392254,-0.3736522,0.0655732
34,4.462327,4.643192,"('mean', 'honorable')",4.462327,4.6431918,0.1808648
35,-1.3753783,-1.4651256,"('corrupt', 'incorrupt')",-1.3753783,-1.4651256,-0.0897473
36,-1.175655,-1.1957524,"('hostile', 'amicable')",-1.175655,-1.1957524,-0.0200974
37,0.5417641,0.62473184,"('fake', 'genuine')",0.5417641,0.6247318,0.0829677
38,-0.10835864,-0.08846423,"('untruthful', 'truthful')",-0.1083586,-0.0884642,0.0198944
39,0.13727643,0.09324437,"('exploitative', 'cooperative')",0.1372764,0.0932444,-0.044032
40,-1.3363701,-1.5246432,"('stingy', 'generous')",-1.3363701,-1.5246432,-0.1882731
41,-0.15616407,-0.16433258,"('unforgiving', 'forgiving')",-0.1561641,-0.1643326,-0.0081685
42,-1.6284833,-1.6321648,"('unreliable', 'reliable')",-1.6284833,-1.6321648,-0.0036815
43,1.4798734,1.4791157,"('irresponsible', 'responsible')",1.4798734,1.4791157,-0.0007577
44,-1.1549808,-1.152803,"('prejudiced', 'unprejudiced')",-1.1549808,-1.1528029,0.0021779
45,0.44984156,0.4355179,"('incompetent', 'competent')",0.4498416,0.4355179,-0.0143237
46,-0.06818034,-0.04966875,"('uncompetitive', 'competitive')",-0.0681803,-0.0496688,0.0185115
47,5.1420674,5.3159375,"('stupid', 'smart')",5.1420674,5.3159375,0.1738701
48,0.8866771,0.73316455,"('unintelligent', 'intelligent')",0.8866771,0.7331645,-0.1535126
49,0.048195012,0.22230984,"('unable', 'able')",0.048195,0.2223098,0.1741148
50,0.058617704,0.089217,"('clumsy', 'skillful')",0.0586177,0.089217,0.0305993
51,0.5566695,0.5179009,"('uneducated', 'educated')",0.5566695,0.5179009,-0.0387686
52,-0.88679,-0.92411405,"('irrational', 'rational')",-0.88679,-0.924114,-0.037324
53,0.0801723,0.08348483,"('uncreative', 'creative')",0.0801723,0.0834848,0.0033125
54,0.8642864,1.0992931,"('incapable', 'capable')",0.8642864,1.0992931,0.2350067
55,1.1694391,1.0305817,"('incompetent', 'clever')",1.1694391,1.0305817,-0.1388574
56,1.2607168,1.2004132,"('impractical', 'practical')",1.2607168,1.2004132,-0.0603036
57,-2.1586761,-2.1968195,"('unimaginative', 'imaginative')",-2.1586761,-2.1968195,-0.0381434
58,-0.08524108,-0.124141514,"('undiscriminating', 'discriminating')",-0.0852411,-0.1241415,-0.0389004
59,-0.23486868,-0.20162593,"('foolish', 'wise')",-0.2348687,-0.2016259,0.0332428
60,1.2760254,1.2921498,"('inefficient', 'efficient')",1.2760254,1.2921498,0.0161244
61,0.18810637,0.03470651,"('illogical', 'logical')",0.1881064,0.0347065,-0.1533999
62,1.5050716,1.5733746,"('incompetent', 'brilliant')",1.5050716,1.5733746,0.068303
63,0.7772007,0.8234536,"('unperceptive', 'insightful')",0.7772007,0.8234536,0.0462529
64,-5.5772033,-5.6055455,"('shy', 'confident')",-5.5772033,-5.6055455,-0.0283422
65,1.1158499,1.072871,"('insecure', 'secure')",1.1158499,1.072871,-0.0429789
66,-0.29252476,-0.28357112,"('inactive', 'active')",-0.2925248,-0.2835711,0.0089537
67,-0.5595848,-0.480772,"('doubtful', 'determined')",-0.5595848,-0.480772,0.0788128
68,-0.34994835,-0.32456878,"('dependent', 'independent')",-0.3499483,-0.3245688,0.0253795
69,-1.8382621,-1.8056524,"('lazy', 'industrious')",-1.8382621,-1.8056524,0.0326097
70,1.7823787,1.7685499,"('lethargic', 'energetic')",1.7823787,1.7685499,-0.0138288
71,0.5347269,0.5717699,"('diffident', 'self-confident')",0.5347269,0.5717699,0.037043
72,0.97594124,1.0735109,"('unambitious', 'ambitious')",0.9759412,1.0735109,0.0975697
73,-2.9586473,-2.9380183,"('helpless', 'self-reliant')",-2.9586473,-2.9380183,0.020629
74,0.09131765,-0.058135897,"('undedicated', 'dedicated')",0.0913177,-0.0581359,-0.1494536
75,-0.847273,-0.6550924,"('meek', 'impulsive')",-0.847273,-0.6550924,0.1921806
76,1.0698261,0.98293805,"('anxious', 'daring')",1.0698261,0.9829381,-0.086888
77,-0.9320535,-0.85903466,"('unmotivated', 'motivated')",-0.9320535,-0.8590347,0.0730188
78,-0.5152534,-0.51604474,"('nonresilient', 'resilient')",-0.5152534,-0.5160447,-0.0007913
79,-0.45370656,-0.37045285,"('wavering', 'unwavering')",-0.4537066,-0.3704529,0.0832537
80,-0.0120657915,-0.071443886,"('dominated', 'dominating')",-0.0120658,-0.0714439,-0.0593781
81,0.6283035,0.6343498,"('submissive', 'aggressive')",0.6283035,0.6343498,0.0060463
82,6.723146,6.9269333,"('poor', 'rich')",6.723146,6.9269333,0.2037873
83,-0.31149855,-0.2962973,"('powerless', 'powerful')",-0.3114986,-0.2962973,0.0152013
84,-0.03960476,0.0493608,"('inferior', 'superior')",-0.0396048,0.0493608,0.0889656
85,-1.369326,-1.46665,"('insignificant', 'prestigious')",-1.369326,-1.46665,-0.097324
86,0.65738547,0.64704096,"('uninfluential', 'influential')",0.6573855,0.647041,-0.0103445
87,0.009169519,0.087984785,"('unsuccessful', 'successful')",0.0091695,0.0879848,0.0788153
88,0.27034897,0.23482503,"('low', 'eminent')",0.270349,0.234825,-0.035524
