,clorox_male,clorox_female,tuple,co_male,co_female,average_male,average_female,female-male
0,-0.9409871,-0.9709334,"('unsociable', 'sociable')",-0.028484754,-0.11078368,-0.4847359,-0.5408585,-0.0561226
1,-1.1443639,-1.2624209,"('unfriendly', 'friendly')",1.0357451,0.9584528,-0.0543094,-0.151984,-0.0976746
2,0.46033755,0.4187657,"('unlikable', 'likable')",0.90485275,1.0001787,0.6825951,0.7094722,0.0268771
3,-0.8579098,-0.76434755,"('repellent', 'pleasant')",0.41235998,0.44915062,-0.2227749,-0.1575985,0.0651764
4,0.19519752,0.17775556,"('disliked', 'liked')",-6.6116433,-6.620442,-3.2082229,-3.2213433,-0.0131204
5,-0.81274146,-0.81832063,"('distant', 'outgoing')",-0.947242,-0.86381304,-0.8799918,-0.8410668,0.038925
6,-1.1554513,-1.1377939,"('distant', 'open')",-0.7374617,-0.6739712,-0.9464565,-0.9058825,0.040574
7,-0.9155941,-0.83717406,"('insensitive', 'sensitive')",-0.27427283,-0.22674894,-0.5949335,-0.5319615,0.062972
8,-0.8741117,-0.9925404,"('unaffectionate', 'affectionate')",0.38067153,0.30232635,-0.2467201,-0.345107,-0.0983869
9,-1.3122578,-1.4008178,"('unaffectionate', 'caring')",0.7219443,0.68436897,-0.2951567,-0.3582244,-0.0630677
10,-0.7767268,-0.7186761,"('unsympathetic', 'sympathetic')",-0.3446377,-0.34350336,-0.5606822,-0.5310897,0.0295925
11,-0.5134202,-0.5133119,"('unhelpful', 'helpful')",1.6301488,1.6251163,0.5583643,0.5559022,-0.0024621
12,-0.7562638,-0.68946964,"('unsupportive', 'supportive')",-2.18027,-2.0946763,-1.4682668,-1.3920729,0.0761939
13,-0.87264425,-0.82761043,"('impolite', 'polite')",-0.45921394,-0.4404385,-0.6659291,-0.6340245,0.0319046
14,0.11582145,0.15103108,"('antisocial', 'social')",0.056143213,0.003358556,0.0859823,0.0771948,-0.0087875
15,0.010546278,-0.11723469,"('boring', 'funny')",0.55089587,0.5052663,0.2807211,0.1940158,-0.0867053
16,-0.45734027,-0.46018568,"('unpopular', 'popular')",0.05895193,-0.09712264,-0.1991942,-0.2786542,-0.07946
