,regency_male,regency_female,tuple,centers_male,centers_female,corp_male,corp_female,average_male,average_female,female-male
0,0.130403,0.09726101,"('unsociable', 'sociable')",1.8966265,1.7952243,-0.47486043,-0.43479908,0.5173897,0.4858954,-0.0314943
1,-0.23936737,-0.22045162,"('unfriendly', 'friendly')",-0.25163183,-0.34505054,1.4542391,1.3256013,0.32108,0.2533664,-0.0677136
2,0.8959517,0.8512344,"('unlikable', 'likable')",1.57895,1.6063925,0.558534,0.59555066,1.0111453,1.0177258,0.0065805
3,-0.35780597,-0.14941467,"('repellent', 'pleasant')",0.33293083,0.560532,0.6933908,0.7861543,0.2228386,0.3990905,0.1762519
4,-0.91036135,-0.82264316,"('disliked', 'liked')",-0.38454652,-0.40429682,-7.729998,-7.777393,-3.0083021,-3.0014442,0.0068579
5,-0.39549902,-0.5125681,"('distant', 'outgoing')",-0.17302579,-0.32215425,-0.07087707,-0.17904398,-0.213134,-0.3379221,-0.1247881
6,-1.1373304,-1.2069798,"('distant', 'open')",-0.6803328,-0.824667,0.04291916,-0.044131596,-0.5915813,-0.6919261,-0.1003448
7,1.0098978,1.1026206,"('insensitive', 'sensitive')",1.5098246,1.7639807,0.12006842,0.27433836,0.8799303,1.0469799,0.1670496
8,0.06823558,0.052773014,"('unaffectionate', 'affectionate')",-0.3170123,-0.47800997,0.65762746,0.5919075,0.1362836,0.0555569,-0.0807267
9,0.65149605,0.6170877,"('unaffectionate', 'caring')",1.0373406,1.02634,1.3183564,1.4115047,1.0023977,1.0183109,0.0159132
10,0.60756874,0.7610148,"('unsympathetic', 'sympathetic')",0.9850493,1.180979,-0.3690692,-0.129928,0.4078496,0.6040219,0.1961723
11,0.5626555,0.60447365,"('unhelpful', 'helpful')",1.7969993,1.9168186,1.9922935,2.0703003,1.4506494,1.5305309,0.0798815
12,1.0465567,1.2073888,"('unsupportive', 'supportive')",2.3378274,2.5102665,-2.2653153,-2.1126285,0.373023,0.5350089,0.1619859
13,0.12740281,0.03282903,"('impolite', 'polite')",0.95580137,0.9008232,-0.32313806,-0.1665077,0.2533554,0.2557148,0.0023594
14,1.4601431,1.5590329,"('antisocial', 'social')",2.4141948,2.523556,-0.42868072,-0.34039956,1.1485524,1.2473965,0.0988441
15,-0.18439081,-0.32459903,"('boring', 'funny')",0.26783,0.09317084,0.040999357,0.04417764,0.0414795,-0.0624169,-0.1038964
16,-0.9625684,-0.835445,"('unpopular', 'popular')",-0.2219494,-0.25356507,0.45967665,0.44104353,-0.2416137,-0.2159888,0.0256249
17,0.10161507,0.20077594,"('nasty', 'nice')",-0.5203201,-0.4611586,-0.23911172,-0.16479766,-0.2192723,-0.1417268,0.0775455
18,-0.013427421,-0.022653736,"('disagreeable', 'welcoming')",0.65162253,0.6089858,-0.74510676,-0.8499077,-0.0356372,-0.0878586,-0.0522214
19,-0.37305436,-0.44798806,"('inhospitable', 'hospitable')",-0.592745,-0.7569469,-0.5002789,-0.5427615,-0.4886928,-0.5825655,-0.0938727
20,0.6067801,0.6672836,"('rough', 'thoughtful')",-0.2596754,-0.13099577,0.54231346,0.5239902,0.2964727,0.353426,0.0569533
21,0.2991877,0.30777335,"('immoral', 'moral')",1.7118708,1.7974887,-0.6167333,-0.4140425,0.4647751,0.5637399,0.0989648
22,-0.17788912,-0.070049375,"('untrustworthy', 'trustworthy')",0.88412327,0.9962821,-1.2929232,-1.1152941,-0.195563,-0.0630205,0.1325425
23,0.63149005,0.6587504,"('insincere', 'sincere')",1.3661717,1.5246992,6.4463754,6.5203056,2.8146791,2.9012518,0.0865727
24,0.8345892,0.8408845,"('dishonest', 'honest')",0.98110574,1.0107232,0.8671361,0.97814316,0.894277,0.9432503,0.0489733
25,-0.57083523,-0.5770714,"('egoistic', 'altruistic')",-0.16541255,-0.22018467,0.8878856,0.7151972,0.0505459,-0.027353,-0.0778989
26,1.2540317,1.2371417,"('hardhearted', 'benevolent')",0.7415684,0.71822804,0.88832504,0.7275533,0.9613083,0.8943077,-0.0670006
27,0.89067054,0.89421505,"('hardhearted', 'softhearted')",1.3156394,1.3861847,1.3388771,1.3202415,1.181729,1.2002138,0.0184848
28,-0.6120095,-0.6730019,"('disloyal', 'loyal')",0.22977893,0.16656396,0.9413201,0.86929476,0.1863632,0.1209523,-0.0654109
29,-0.5440456,-0.57708275,"('unfair', 'fair')",-0.048744373,-0.0614758,-0.36976692,-0.5032788,-0.3208523,-0.3806125,-0.0597602
30,1.2972842,1.3042582,"('intolerant', 'tolerant')",1.8376045,1.9018061,0.67855376,0.7005376,1.2711475,1.3022006,0.0310531
31,-1.7330371,-1.6785237,"('evil', 'good')",-1.2069111,-1.3514001,-0.74761885,-0.93783283,-1.229189,-1.3225856,-0.0933966
32,0.59924287,0.45941663,"('unkind', 'kind')",1.784025,1.7836678,0.94439614,0.9654174,1.1092213,1.0695006,-0.0397207
