,affect_male,affect_female,tuple,average_male,average_female,female-male
0,-0.1252181,-0.41862786,"('unsociable', 'sociable')",-0.1252181,-0.4186279,-0.2934098
1,1.400891,1.4733288,"('unfriendly', 'friendly')",1.4008909,1.4733288,0.0724379
2,0.5082414,0.62625426,"('unlikable', 'likable')",0.5082414,0.6262543,0.1180129
3,0.7686552,0.7643109,"('repellent', 'pleasant')",0.7686552,0.7643109,-0.0043443
4,-7.2356696,-7.1810627,"('disliked', 'liked')",-7.2356696,-7.1810627,0.0546069
5,-0.30731565,-0.19344726,"('distant', 'outgoing')",-0.3073156,-0.1934473,0.1138683
6,-0.22651543,-0.0707733,"('distant', 'open')",-0.2265154,-0.0707733,0.1557421
7,1.1329325,1.0333232,"('insensitive', 'sensitive')",1.1329325,1.0333232,-0.0996093
8,1.0687916,1.1391764,"('unaffectionate', 'affectionate')",1.0687916,1.1391764,0.0703848
9,1.4877566,1.554402,"('unaffectionate', 'caring')",1.4877566,1.554402,0.0666454
10,1.2470437,1.0783744,"('unsympathetic', 'sympathetic')",1.2470437,1.0783744,-0.1686693
11,2.377473,2.2887855,"('unhelpful', 'helpful')",2.3774731,2.2887855,-0.0886876
12,-1.251444,-1.3351246,"('unsupportive', 'supportive')",-1.251444,-1.3351246,-0.0836806
13,0.24000572,0.04548043,"('impolite', 'polite')",0.2400057,0.0454804,-0.1945253
14,0.40343642,0.15800942,"('antisocial', 'social')",0.4034364,0.1580094,-0.245427
15,0.69461733,0.7537298,"('boring', 'funny')",0.6946173,0.7537298,0.0591125
16,-0.75397086,-0.7028294,"('unpopular', 'popular')",-0.7539709,-0.7028294,0.0511415
17,-0.5065404,-0.48166746,"('nasty', 'nice')",-0.5065404,-0.4816675,0.0248729
18,-0.5004899,-0.5593911,"('disagreeable', 'welcoming')",-0.5004899,-0.5593911,-0.0589012
19,-0.40219405,-0.20307001,"('inhospitable', 'hospitable')",-0.4021941,-0.20307,0.1991241
20,0.8429276,0.74107313,"('rough', 'thoughtful')",0.8429276,0.7410731,-0.1018545
21,0.32347625,0.23399292,"('immoral', 'moral')",0.3234763,0.2339929,-0.0894834
22,-0.041576494,-0.18731947,"('untrustworthy', 'trustworthy')",-0.0415765,-0.1873195,-0.145743
23,6.808145,6.7383304,"('insincere', 'sincere')",6.808145,6.7383304,-0.0698146
24,2.233322,2.174565,"('dishonest', 'honest')",2.2333219,2.1745651,-0.0587568
25,0.28997582,0.19895323,"('egoistic', 'altruistic')",0.2899758,0.1989532,-0.0910226
26,0.17631793,0.2632901,"('hardhearted', 'benevolent')",0.1763179,0.2632901,0.0869722
27,1.4519204,1.3157346,"('hardhearted', 'softhearted')",1.4519204,1.3157346,-0.1361858
28,1.092447,1.0165149,"('disloyal', 'loyal')",1.092447,1.0165149,-0.0759321
29,-0.3508215,-0.4326986,"('unfair', 'fair')",-0.3508215,-0.4326986,-0.0818771
30,1.2571583,1.0789126,"('intolerant', 'tolerant')",1.2571583,1.0789126,-0.1782457
31,-1.4373556,-1.2593338,"('evil', 'good')",-1.4373556,-1.2593338,0.1780218
32,1.2702913,1.0983729,"('unkind', 'kind')",1.2702913,1.0983729,-0.1719184
33,-0.48146105,-0.4054015,"('wrong', 'right')",-0.481461,-0.4054015,0.0760595
34,4.495626,4.609877,"('mean', 'honorable')",4.495626,4.6098771,0.1142511
35,-1.0236232,-0.96796906,"('corrupt', 'incorrupt')",-1.0236232,-0.9679691,0.0556541
36,-1.0704324,-0.90011746,"('hostile', 'amicable')",-1.0704324,-0.9001175,0.1703149
37,1.0400455,1.0140616,"('fake', 'genuine')",1.0400455,1.0140616,-0.0259839
38,0.2713774,0.18671942,"('untruthful', 'truthful')",0.2713774,0.1867194,-0.084658
39,-0.21899034,-0.26083034,"('exploitative', 'cooperative')",-0.2189903,-0.2608303,-0.04184
40,-1.6381605,-1.7681406,"('stingy', 'generous')",-1.6381605,-1.7681406,-0.1299801
41,-0.15756969,-0.25239226,"('unforgiving', 'forgiving')",-0.1575697,-0.2523923,-0.0948226
42,-1.706517,-1.7688814,"('unreliable', 'reliable')",-1.706517,-1.7688814,-0.0623644
43,1.4220692,1.2131541,"('irresponsible', 'responsible')",1.4220692,1.2131541,-0.2089151
44,-1.3722764,-1.5222095,"('prejudiced', 'unprejudiced')",-1.3722764,-1.5222095,-0.1499331
45,0.5577574,0.44256836,"('incompetent', 'competent')",0.5577574,0.4425684,-0.115189
46,-0.20737612,-0.33401707,"('uncompetitive', 'competitive')",-0.2073761,-0.3340171,-0.126641
