,graham_male,graham_female,tuple,holdings_male,holdings_female,co_male,co_female,average_male,average_female,female-male
0,0.54764664,0.33256346,"('unsociable', 'sociable')",0.0043104514,-0.15735,0.13407463,-0.09475675,0.2286772,0.0268189,-0.2018583
1,-0.4357441,-0.3482489,"('unfriendly', 'friendly')",0.71960557,0.5850902,1.097401,1.0825388,0.4604208,0.4397934,-0.0206274
2,0.6582017,0.74923825,"('unlikable', 'likable')",1.7967945,1.8775243,1.2553239,1.4271051,1.2367733,1.3512891,0.1145158
3,0.12900394,0.19449909,"('repellent', 'pleasant')",-0.08429701,-0.1011841,0.52007145,0.45710582,0.1882595,0.1834736,-0.0047859
4,-0.9135904,-0.948703,"('disliked', 'liked')",0.47407407,0.4102584,-5.6669493,-5.6520376,-2.0354884,-2.063494,-0.0280056
5,-0.71635765,-0.52270085,"('distant', 'outgoing')",-0.19736284,-0.18226244,-0.51287293,-0.30330327,-0.4755311,-0.3360889,0.1394422
6,-0.8842878,-0.6497059,"('distant', 'open')",-0.4210226,-0.43435678,-0.60591304,-0.44078767,-0.6370745,-0.5082835,0.128791
7,0.9068344,0.8376436,"('insensitive', 'sensitive')",0.4607919,0.42592323,-0.30334657,-0.35691187,0.3547599,0.3022183,-0.0525416
8,0.42951292,0.47045296,"('unaffectionate', 'affectionate')",0.48914054,0.4451331,0.39796263,0.4237926,0.438872,0.4464595,0.0075875
9,0.9815715,1.0615724,"('unaffectionate', 'caring')",0.86632985,0.75594944,1.0530175,1.0872296,0.966973,0.9682504,0.0012774
10,1.1210746,0.95786166,"('unsympathetic', 'sympathetic')",-0.08815036,-0.14337558,-0.14670414,-0.23573318,0.2954067,0.1929176,-0.1024891
11,1.143796,1.1277955,"('unhelpful', 'helpful')",0.041064862,0.025218807,2.0888252,2.1485894,1.0912286,1.1005346,0.009306
12,0.897776,0.9154992,"('unsupportive', 'supportive')",0.71813464,0.7470862,-1.7562872,-1.6799952,-0.0467922,-0.0058032,0.040989
13,0.56463057,0.4447516,"('impolite', 'polite')",-0.16132289,-0.14273058,0.1465261,0.05273941,0.1832779,0.1182535,-0.0650244
14,1.513873,1.3304956,"('antisocial', 'social')",1.7951422,1.8013014,0.23549855,0.07345327,1.1815046,1.0684167,-0.1130879
15,0.3098799,0.22909644,"('boring', 'funny')",-0.4856715,-0.53284675,0.65907216,0.6570245,0.1610935,0.1177581,-0.0433354
16,-2.163881,-2.1256223,"('unpopular', 'popular')",-1.3155626,-1.2285416,-0.09756052,-0.07184562,-1.1923347,-1.1420031,0.0503316
17,0.13963619,0.20314616,"('nasty', 'nice')",-0.88078946,-0.8005564,-0.039603513,-0.023069862,-0.2602523,-0.2068267,0.0534256
18,-0.5115708,-0.5211516,"('disagreeable', 'welcoming')",0.07199218,0.15481472,-1.1494322,-1.1201669,-0.5296703,-0.4955013,0.034169
19,-0.2588463,-0.12504569,"('inhospitable', 'hospitable')",-0.8635052,-0.79361635,-0.60208714,-0.45234212,-0.5748129,-0.4570014,0.1178115
20,0.5981578,0.6067885,"('rough', 'thoughtful')",-0.26547897,-0.13637336,0.021535337,0.021079794,0.1180714,0.1638317,0.0457603
21,0.74636734,0.6623472,"('immoral', 'moral')",0.24961317,0.23223996,-0.6173219,-0.6742099,0.1262195,0.0734591,-0.0527604
22,1.0409937,0.9388847,"('untrustworthy', 'trustworthy')",-0.23701999,-0.20191474,-0.5291166,-0.5836184,0.091619,0.0511172,-0.0405018
23,1.7000344,1.5685079,"('insincere', 'sincere')",0.21302116,0.09215943,5.2075143,5.032425,2.3735232,2.2310308,-0.1424924
24,1.890636,1.8423514,"('dishonest', 'honest')",-0.116000935,-0.08409026,0.54383916,0.56532043,0.7728248,0.7745272,0.0017024
25,-0.16852577,-0.14583586,"('egoistic', 'altruistic')",0.80573183,0.72699463,0.968261,0.918531,0.5351557,0.4998966,-0.0352591
