,monolithic_male,monolithic_female,tuple,pwr_male,pwr_female,sys_male,sys_female,inc_male,inc_female,average_male,average_female,female-male
0,-0.6818033,-0.79488015,"('unsociable', 'sociable')",-0.6837943,-0.77866805,-0.021853836,-0.15019862,-0.28438646,-0.4756568,-0.4179595,-0.5498509,-0.1318914
1,-0.57932985,-1.0635049,"('unfriendly', 'friendly')",-0.79444283,-1.0779473,-0.23560384,-0.7152792,1.7670124,1.5112119,0.039409,-0.3363799,-0.3757889
2,-0.854627,-0.9228961,"('unlikable', 'likable')",0.2107511,0.23177227,0.21175423,0.22091213,0.71660477,0.83417684,0.0711208,0.0909913,0.0198705
3,-0.5700984,-0.4924414,"('repellent', 'pleasant')",-0.20054334,-0.11655261,-0.058374394,0.11739056,0.24618562,0.29137883,-0.1457076,-0.0500562,0.0956514
4,-0.29661834,-0.45035636,"('disliked', 'liked')",0.050496966,0.00068697333,-0.5578612,-0.6671241,-6.118141,-6.197968,-1.730531,-1.8286904,-0.0981594
5,-0.3171911,-0.5948697,"('distant', 'outgoing')",-0.5325445,-0.7522945,-0.6623623,-0.895977,-0.5318874,-0.4625396,-0.5109963,-0.6764202,-0.1654239
6,-0.47302198,-0.77155834,"('distant', 'open')",-0.55111015,-0.7665701,-0.36018255,-0.6943387,0.13689525,0.17572254,-0.3118548,-0.5141861,-0.2023313
7,-0.30812842,-0.15487753,"('insensitive', 'sensitive')",-0.40089443,-0.33703834,-0.088489816,-0.034923293,0.32783568,0.3386194,-0.1174193,-0.0470549,0.0703644
8,-0.7343855,-1.1392499,"('unaffectionate', 'affectionate')",-0.6012078,-0.869066,-1.0492612,-1.3639097,0.73678315,0.61374956,-0.4120178,-0.6896191,-0.2776013
9,-0.59378326,-1.0642698,"('unaffectionate', 'caring')",-0.22359407,-0.5740219,-0.77532876,-1.1200824,1.2546656,1.1465698,-0.0845101,-0.402951,-0.3184409
10,-1.2308687,-1.2322297,"('unsympathetic', 'sympathetic')",-1.3042867,-1.3598228,-1.7771664,-1.7351013,-0.44196004,-0.5469615,-1.1885704,-1.2185287,-0.0299583
11,-0.029520802,-0.12807795,"('unhelpful', 'helpful')",-0.04808267,-0.17603967,0.41185638,0.37999988,2.1023846,2.0892162,0.6091594,0.5412746,-0.0678848
12,-0.17629936,-0.13955131,"('unsupportive', 'supportive')",-0.3654385,-0.38020918,-0.5620834,-0.5293831,-2.1089203,-2.08644,-0.8031854,-0.7838959,0.0192895
13,-0.30595434,-0.38278282,"('impolite', 'polite')",0.045295365,0.010866337,0.17288844,0.24027686,-0.3919176,-0.41757652,-0.119922,-0.137304,-0.017382
14,-0.7517445,-0.4997523,"('antisocial', 'social')",-0.054872666,0.12802683,0.3411477,0.6181048,-0.6454587,-0.5709035,-0.277732,-0.081131,0.196601
15,-0.46122983,-0.6839761,"('boring', 'funny')",0.23750731,0.069885604,0.8953859,0.7118192,0.75353456,0.6864568,0.3562995,0.1960464,-0.1602531
16,-0.334128,-0.47579944,"('unpopular', 'popular')",-0.16375321,-0.22805142,-0.32942778,-0.4031024,0.66233057,0.75731295,-0.0412446,-0.0874101,-0.0461655
