,raiment_male,raiment_female,tuple,average_male,average_female,female-male
0,0.38609704,0.14964126,"('unsociable', 'sociable')",0.386097,0.1496413,-0.2364557
1,-0.4238951,-0.50260276,"('unfriendly', 'friendly')",-0.4238951,-0.5026028,-0.0787077
2,0.87028056,0.9753838,"('unlikable', 'likable')",0.8702806,0.9753838,0.1051032
3,-0.06452287,-0.04135578,"('repellent', 'pleasant')",-0.0645229,-0.0413558,0.0231671
4,-3.57413,-3.4269195,"('disliked', 'liked')",-3.5741301,-3.4269195,0.1472106
5,-1.5145707,-1.5037059,"('distant', 'outgoing')",-1.5145707,-1.5037059,0.0108648
6,-1.5869185,-1.5860074,"('distant', 'open')",-1.5869185,-1.5860074,0.0009111
7,0.33191657,0.2168199,"('insensitive', 'sensitive')",0.3319166,0.2168199,-0.1150967
8,-0.64847296,-0.6241254,"('unaffectionate', 'affectionate')",-0.648473,-0.6241254,0.0243476
9,0.04442936,-0.032722875,"('unaffectionate', 'caring')",0.0444294,-0.0327229,-0.0771523
10,0.70754725,0.5865583,"('unsympathetic', 'sympathetic')",0.7075472,0.5865583,-0.1209889
11,1.3814005,1.3632681,"('unhelpful', 'helpful')",1.3814005,1.3632681,-0.0181324
12,-1.0058365,-0.9880087,"('unsupportive', 'supportive')",-1.0058365,-0.9880087,0.0178278
13,0.5531718,0.39962095,"('impolite', 'polite')",0.5531718,0.399621,-0.1535508
14,1.0483176,0.87356114,"('antisocial', 'social')",1.0483176,0.8735611,-0.1747565
15,0.21131778,0.15542205,"('boring', 'funny')",0.2113178,0.155422,-0.0558958
16,-0.36277938,-0.2886527,"('unpopular', 'popular')",-0.3627794,-0.2886527,0.0741267
17,-0.43892342,-0.3817454,"('nasty', 'nice')",-0.4389234,-0.3817454,0.057178
18,-0.66585,-0.7281406,"('disagreeable', 'welcoming')",-0.66585,-0.7281406,-0.0622906
19,-0.9391457,-0.8673115,"('inhospitable', 'hospitable')",-0.9391457,-0.8673115,0.0718342
20,0.11245389,0.042514294,"('rough', 'thoughtful')",0.1124539,0.0425143,-0.0699396
21,1.0666252,1.0215595,"('immoral', 'moral')",1.0666252,1.0215595,-0.0450657
22,0.38398772,0.3130088,"('untrustworthy', 'trustworthy')",0.3839877,0.3130088,-0.0709789
23,3.4852896,3.2627661,"('insincere', 'sincere')",3.4852896,3.2627661,-0.2225235
24,0.98057044,0.85096765,"('dishonest', 'honest')",0.9805704,0.8509676,-0.1296028
25,0.54526615,0.5309335,"('egoistic', 'altruistic')",0.5452662,0.5309335,-0.0143327
