,transocean_male,transocean_female,tuple,ltd_male,ltd_female,average_male,average_female,female-male
0,-1.2720073,-1.2636158,"('unsociable', 'sociable')",-0.2011366,-0.27383894,-0.736572,-0.7687274,-0.0321554
1,-1.6906927,-1.7822261,"('unfriendly', 'friendly')",1.7403959,1.6358914,0.0248516,-0.0731673,-0.0980189
2,0.3682539,0.39284313,"('unlikable', 'likable')",0.60486794,0.68974173,0.4865609,0.5412924,0.0547315
3,-0.44052768,-0.37257668,"('repellent', 'pleasant')",0.5501811,0.65382826,0.0548267,0.1406258,0.0857991
4,0.5772469,0.48968977,"('disliked', 'liked')",-3.3303785,-3.3462818,-1.3765658,-1.428296,-0.0517302
5,-0.26209754,-0.28811353,"('distant', 'outgoing')",-0.2560886,-0.30983064,-0.2590931,-0.2989721,-0.039879
6,-0.35175103,-0.40885463,"('distant', 'open')",0.16207473,0.059200894,-0.0948381,-0.1748269,-0.0799888
7,-0.5720361,-0.50999206,"('insensitive', 'sensitive')",0.12505776,0.20800196,-0.2234892,-0.150995,0.0724942
8,-0.9833709,-1.0522599,"('unaffectionate', 'affectionate')",0.48319393,0.34886992,-0.2500885,-0.351695,-0.1016065
9,-1.2366089,-1.2521048,"('unaffectionate', 'caring')",0.71808785,0.6596113,-0.2592605,-0.2962467,-0.0369862
10,-2.754918,-2.66638,"('unsympathetic', 'sympathetic')",-0.093288824,0.03271033,-1.4241035,-1.3168348,0.1072687
11,-1.0995234,-0.9840604,"('unhelpful', 'helpful')",1.0766735,1.1885793,-0.011425,0.1022595,0.1136845
12,-0.80834806,-0.69958746,"('unsupportive', 'supportive')",-1.43275,-1.3786719,-1.120549,-1.0391297,0.0814193
13,-0.95912904,-0.87418544,"('impolite', 'polite')",-0.6143152,-0.6041311,-0.7867221,-0.7391583,0.0475638
14,-0.28586978,-0.20704803,"('antisocial', 'social')",0.34205517,0.46836877,0.0280927,0.1306604,0.1025677
15,0.5611483,0.47027883,"('boring', 'funny')",0.5269672,0.46380222,0.5440577,0.4670405,-0.0770172
16,0.018661521,-0.023780007,"('unpopular', 'popular')",0.6796316,0.6457894,0.3491465,0.3110047,-0.0381418
17,-0.28941578,-0.24613729,"('nasty', 'nice')",-0.12042194,-0.12851326,-0.2049189,-0.1873253,0.0175936
18,-0.38509887,-0.38049194,"('disagreeable', 'welcoming')",-1.0697271,-1.1086519,-0.7274129,-0.7445719,-0.017159
