,wage_male,wage_female,tuple,average_male,average_female,female-male
0,0.6055777,0.36392954,"('unsociable', 'sociable')",0.6055777,0.3639295,-0.2416482
1,1.4487389,1.6913781,"('unfriendly', 'friendly')",1.4487389,1.6913781,0.2426392
2,0.03341075,0.18421087,"('unlikable', 'likable')",0.0334108,0.1842109,0.1508001
3,1.2471331,1.259556,"('repellent', 'pleasant')",1.2471331,1.2595561,0.012423
4,-7.149671,-7.145151,"('disliked', 'liked')",-7.1496711,-7.1451511,0.00452
5,-0.7627348,-0.39966658,"('distant', 'outgoing')",-0.7627348,-0.3996666,0.3630682
6,-0.3355126,0.010776557,"('distant', 'open')",-0.3355126,0.0107766,0.3462892
7,1.717181,1.6498544,"('insensitive', 'sensitive')",1.717181,1.6498544,-0.0673266
8,0.9561876,1.1075205,"('unaffectionate', 'affectionate')",0.9561876,1.1075205,0.1513329
9,1.7681662,1.9216595,"('unaffectionate', 'caring')",1.7681662,1.9216595,0.1534933
10,1.4031441,1.3930285,"('unsympathetic', 'sympathetic')",1.4031441,1.3930285,-0.0101156
11,2.0292997,2.0272648,"('unhelpful', 'helpful')",2.0292997,2.0272648,-0.0020349
12,-1.1475585,-0.99524045,"('unsupportive', 'supportive')",-1.1475585,-0.9952404,0.1523181
13,0.4110254,0.22630519,"('impolite', 'polite')",0.4110254,0.2263052,-0.1847202
14,0.19164334,0.04036885,"('antisocial', 'social')",0.1916433,0.0403689,-0.1512744
15,0.36333573,0.38507652,"('boring', 'funny')",0.3633357,0.3850765,0.0217408
16,-0.70614874,-0.55220777,"('unpopular', 'popular')",-0.7061487,-0.5522078,0.1539409
17,-0.28952152,-0.21743877,"('nasty', 'nice')",-0.2895215,-0.2174388,0.0720827
18,-0.35139102,-0.21553603,"('disagreeable', 'welcoming')",-0.351391,-0.215536,0.135855
19,-0.42703265,-0.088644005,"('inhospitable', 'hospitable')",-0.4270326,-0.088644,0.3383886
20,0.5082581,0.4229343,"('rough', 'thoughtful')",0.5082581,0.4229343,-0.0853238
21,0.48357394,0.53224534,"('immoral', 'moral')",0.4835739,0.5322453,0.0486714
22,-0.25376797,-0.20180985,"('untrustworthy', 'trustworthy')",-0.253768,-0.2018099,0.0519581
23,7.0001626,7.0944343,"('insincere', 'sincere')",7.0001626,7.0944343,0.0942717
24,2.3857894,2.4266498,"('dishonest', 'honest')",2.3857894,2.4266498,0.0408604
25,0.9930756,0.9692424,"('egoistic', 'altruistic')",0.9930756,0.9692424,-0.0238332
26,0.6270086,0.5606791,"('hardhearted', 'benevolent')",0.6270086,0.5606791,-0.0663295
27,1.9666084,1.7636698,"('hardhearted', 'softhearted')",1.9666084,1.7636698,-0.2029386
28,1.1708484,1.1565746,"('disloyal', 'loyal')",1.1708484,1.1565746,-0.0142738
29,-1.1337224,-1.1035995,"('unfair', 'fair')",-1.1337224,-1.1035995,0.0301229
30,1.09876,1.0741836,"('intolerant', 'tolerant')",1.09876,1.0741836,-0.0245764
31,-1.6961049,-1.3962353,"('evil', 'good')",-1.6961049,-1.3962353,0.2998696
32,1.3230536,1.1056983,"('unkind', 'kind')",1.3230536,1.1056983,-0.2173553
33,-0.38167068,-0.26546463,"('wrong', 'right')",-0.3816707,-0.2654646,0.1162061
34,4.998572,5.325103,"('mean', 'honorable')",4.9985719,5.3251028,0.3265309
35,-1.2158734,-1.1873521,"('corrupt', 'incorrupt')",-1.2158734,-1.1873521,0.0285213
36,-1.3438125,-1.1313668,"('hostile', 'amicable')",-1.3438125,-1.1313668,0.2124457
37,1.1013649,1.0474979,"('fake', 'genuine')",1.1013649,1.0474979,-0.053867
38,0.1705045,0.30946174,"('untruthful', 'truthful')",0.1705045,0.3094617,0.1389572
39,0.33054474,0.28057212,"('exploitative', 'cooperative')",0.3305447,0.2805721,-0.0499726
40,-0.7338506,-0.88312954,"('stingy', 'generous')",-0.7338506,-0.8831295,-0.1492789
41,0.1582632,0.0069287196,"('unforgiving', 'forgiving')",0.1582632,0.0069287,-0.1513345
42,-2.5025945,-2.467144,"('unreliable', 'reliable')",-2.5025945,-2.467144,0.0354505
43,1.0878735,1.1098281,"('irresponsible', 'responsible')",1.0878735,1.1098281,0.0219546
44,-1.8215536,-2.0356045,"('prejudiced', 'unprejudiced')",-1.8215536,-2.0356045,-0.2140509
45,0.3616709,0.30801934,"('incompetent', 'competent')",0.3616709,0.3080193,-0.0536516
46,-0.47698742,-0.53369045,"('uncompetitive', 'competitive')",-0.4769874,-0.5336905,-0.0567031
47,5.2670355,5.4657884,"('stupid', 'smart')",5.2670355,5.4657884,0.1987529
48,0.9803142,0.9754688,"('unintelligent', 'intelligent')",0.9803142,0.9754688,-0.0048454
49,0.1431904,0.3337888,"('unable', 'able')",0.1431904,0.3337888,0.1905984
50,-0.45222926,-0.34536996,"('clumsy', 'skillful')",-0.4522293,-0.34537,0.1068593
51,1.0723529,0.96765447,"('uneducated', 'educated')",1.0723529,0.9676545,-0.1046984
52,-0.63306785,-0.47202167,"('irrational', 'rational')",-0.6330678,-0.4720217,0.1610461
53,-0.13873821,-0.016594894,"('uncreative', 'creative')",-0.1387382,-0.0165949,0.1221433
54,0.7950716,1.2133757,"('incapable', 'capable')",0.7950716,1.2133757,0.4183041
55,1.3558552,1.2677946,"('incompetent', 'clever')",1.3558552,1.2677946,-0.0880606
56,0.8347266,0.8093396,"('impractical', 'practical')",0.8347266,0.8093396,-0.025387
57,-2.4309957,-2.4572132,"('unimaginative', 'imaginative')",-2.4309957,-2.4572132,-0.0262175
58,0.10674645,0.11589241,"('undiscriminating', 'discriminating')",0.1067465,0.1158924,0.0091459
59,-0.46945617,-0.265069,"('foolish', 'wise')",-0.4694562,-0.265069,0.2043872
60,1.0116622,0.8559545,"('inefficient', 'efficient')",1.0116622,0.8559545,-0.1557077
61,0.602684,0.4530778,"('illogical', 'logical')",0.602684,0.4530778,-0.1496062
62,1.5723542,1.5927616,"('incompetent', 'brilliant')",1.5723542,1.5927616,0.0204074
63,0.6515709,0.76271284,"('unperceptive', 'insightful')",0.6515709,0.7627128,0.1111419
64,-6.5259433,-6.5010953,"('shy', 'confident')",-6.5259433,-6.5010953,0.024848
65,0.48595664,0.4748709,"('insecure', 'secure')",0.4859566,0.4748709,-0.0110857
66,-0.8241626,-0.7328323,"('inactive', 'active')",-0.8241626,-0.7328323,0.0913303
67,-0.7350498,-0.8854357,"('doubtful', 'determined')",-0.7350498,-0.8854357,-0.1503859
68,-0.458478,-0.30775768,"('dependent', 'independent')",-0.458478,-0.3077577,0.1507203
69,-2.3487012,-2.1959226,"('lazy', 'industrious')",-2.3487012,-2.1959226,0.1527786
70,1.6828983,1.596938,"('lethargic', 'energetic')",1.6828983,1.596938,-0.0859603
71,0.36283958,0.60962963,"('diffident', 'self-confident')",0.3628396,0.6096296,0.24679
72,1.2609181,1.2663968,"('unambitious', 'ambitious')",1.2609181,1.2663968,0.0054787
73,-2.5506663,-2.4500754,"('helpless', 'self-reliant')",-2.5506663,-2.4500754,0.1005909
74,0.51749086,0.36717916,"('undedicated', 'dedicated')",0.5174909,0.3671792,-0.1503117
75,-1.5217811,-1.3169026,"('meek', 'impulsive')",-1.5217811,-1.3169026,0.2048785
76,0.40661544,0.25818798,"('anxious', 'daring')",0.4066154,0.258188,-0.1484274
77,-1.2368174,-1.0869594,"('unmotivated', 'motivated')",-1.2368174,-1.0869594,0.149858
78,-0.81399566,-0.66852546,"('nonresilient', 'resilient')",-0.8139957,-0.6685255,0.1454702
79,-0.75172687,-0.5585042,"('wavering', 'unwavering')",-0.7517269,-0.5585042,0.1932227
80,0.6468377,0.39054206,"('dominated', 'dominating')",0.6468377,0.3905421,-0.2562956
81,0.33977076,0.14032656,"('submissive', 'aggressive')",0.3397708,0.1403266,-0.1994442
82,6.2366095,6.574447,"('poor', 'rich')",6.2366095,6.5744472,0.3378377
83,-0.39465308,-0.4162057,"('powerless', 'powerful')",-0.3946531,-0.4162057,-0.0215526
84,0.046223365,0.057475477,"('inferior', 'superior')",0.0462234,0.0574755,0.0112521
85,-1.6645452,-1.5058868,"('insignificant', 'prestigious')",-1.6645452,-1.5058868,0.1586584
86,1.2165666,1.0950159,"('uninfluential', 'influential')",1.2165666,1.0950159,-0.1215507
87,0.6494377,0.7892554,"('unsuccessful', 'successful')",0.6494377,0.7892554,0.1398177
88,0.30587834,0.34505275,"('low', 'eminent')",0.3058783,0.3450527,0.0391744
