,fossil_male,fossil_female,tuple,group_male,group_female,inc_male,inc_female,average_male,average_female,female-male
0,0.017185686,-0.061533,"('unsociable', 'sociable')",0.9113606,0.7625837,-0.4649372,-0.6257705,0.1545364,0.0250934,-0.129443
1,0.7789482,0.50445616,"('unfriendly', 'friendly')",-0.44850686,-0.55023086,1.6387129,1.5612069,0.6563847,0.5051441,-0.1512406
2,0.3046574,0.26182938,"('unlikable', 'likable')",1.4464114,1.4331524,0.69301486,0.7877937,0.8146946,0.8275918,0.0128972
3,0.09038737,0.30202776,"('repellent', 'pleasant')",1.1739473,1.2588698,0.45307875,0.5098872,0.5724711,0.6902616,0.1177905
4,-0.4156324,-0.6333325,"('disliked', 'liked')",-0.4280065,-0.563519,-6.9322762,-6.9658403,-2.5919717,-2.7208974,-0.1289257
5,-1.1552792,-1.2740908,"('distant', 'outgoing')",-1.9992173,-1.8985951,-0.28654167,-0.19329943,-1.1470127,-1.1219951,0.0250176
6,-1.2036228,-1.3624494,"('distant', 'open')",-2.4938793,-2.384545,0.14548473,0.22561659,-1.1840058,-1.1737926,0.0102132
7,1.0735321,1.1826923,"('insensitive', 'sensitive')",0.35972196,0.46877155,0.70046425,0.66436696,0.7112394,0.7719436,0.0607042
8,0.50335246,0.27230775,"('unaffectionate', 'affectionate')",-0.5179518,-0.48667616,0.6922555,0.6954663,0.2258854,0.160366,-0.0655194
9,0.88411427,0.76886016,"('unaffectionate', 'caring')",-0.7270395,-0.7053385,1.1006693,1.1847801,0.419248,0.4161006,-0.0031474
10,0.6454623,0.77802306,"('unsympathetic', 'sympathetic')",0.6988175,0.73932695,-0.04320641,-0.10054451,0.4336911,0.4722685,0.0385774
11,-0.030664181,0.13079073,"('unhelpful', 'helpful')",0.26767236,0.28425312,2.143977,2.2028983,0.7936617,0.8726474,0.0789857
12,0.6936787,0.7629043,"('unsupportive', 'supportive')",0.39157796,0.6203133,-1.8441398,-1.7885364,-0.2529611,-0.1351063,0.1178548
13,-0.24739712,-0.18253708,"('impolite', 'polite')",0.074581675,0.041825444,-0.45568085,-0.5156941,-0.2094988,-0.2188019,-0.0093031
14,0.9826304,1.0482278,"('antisocial', 'social')",2.1905093,2.1997266,-0.32145867,-0.4488653,0.9505603,0.9330297,-0.0175306
15,-0.21726194,-0.3572637,"('boring', 'funny')",-1.072985,-1.1470206,0.3439907,0.2610457,-0.3154188,-0.4144129,-0.0989941
16,-0.9884603,-1.2497939,"('unpopular', 'popular')",-0.49049482,-0.56384295,0.4955173,0.46656546,-0.3278126,-0.4490238,-0.1212112
17,-0.7906327,-0.7669712,"('nasty', 'nice')",-0.74777055,-0.6718506,-0.20704152,-0.18041556,-0.5818149,-0.5397458,0.0420691
18,-1.0005329,-1.0101354,"('disagreeable', 'welcoming')",-1.1017184,-0.9204021,-0.5384102,-0.5103352,-0.8802205,-0.8136242,0.0665963
19,-1.9893379,-1.8917645,"('inhospitable', 'hospitable')",-2.127803,-2.1025286,-0.17901212,-0.048107523,-1.432051,-1.3474669,0.0845841
20,-0.03164379,0.1680752,"('rough', 'thoughtful')",1.3296793,1.4364824,1.1161433,1.0777056,0.8047263,0.8940878,0.0893615
21,0.893088,1.0064733,"('immoral', 'moral')",1.2303469,1.2382581,-0.65221745,-0.6192309,0.4904059,0.5418335,0.0514276
22,0.6601185,0.6118207,"('untrustworthy', 'trustworthy')",1.0910436,1.0485499,-0.9283242,-1.0251455,0.2742793,0.2117417,-0.0625376
23,0.59027714,0.6823455,"('insincere', 'sincere')",0.6298209,0.6804033,6.403921,6.3044505,2.5413397,2.555733,0.0143933
24,1.4930534,1.5114261,"('dishonest', 'honest')",0.12331942,0.16112873,0.9054652,0.81955713,0.8406126,0.830704,-0.0099086
25,0.24020545,0.09184104,"('egoistic', 'altruistic')",-0.63415015,-0.6228731,1.3295416,1.278737,0.3118656,0.249235,-0.0626306
26,0.85728544,0.6215568,"('hardhearted', 'benevolent')",1.0738448,1.0729015,1.3583976,1.2475774,1.0965093,0.9806786,-0.1158307
27,-0.09081684,0.037718643,"('hardhearted', 'softhearted')",-0.8114665,-0.618021,1.3968246,1.3619733,0.1648471,0.260557,0.0957099
28,1.0891078,0.88035214,"('disloyal', 'loyal')",0.51714766,0.38715574,1.034966,0.930395,0.8804072,0.7326343,-0.1477729
29,0.23784058,0.29032525,"('unfair', 'fair')",-0.62290883,-0.5573576,-0.4422606,-0.60067123,-0.2757763,-0.2892345,-0.0134582
30,0.53620803,0.6718053,"('intolerant', 'tolerant')",0.85417086,0.7957564,1.0718,1.0648144,0.8207263,0.8441254,0.0233991
31,-1.2454206,-1.3555855,"('evil', 'good')",-2.0396898,-1.9906961,-1.1884037,-1.232987,-1.4911714,-1.5264228,-0.0352514
32,0.3798113,0.3305537,"('unkind', 'kind')",1.1791657,1.1677804,1.1330922,0.97281176,0.8973564,0.8237153,-0.0736411
33,0.4606466,0.2418601,"('wrong', 'right')",-0.88761336,-0.94800633,-0.5380392,-0.6176421,-0.3216687,-0.4412628,-0.1195941
