,pagan_male,pagan_female,tuple,average_male,average_female,female-male
0,0.26351413,0.22535992,"('unsociable', 'sociable')",0.2635141,0.2253599,-0.0381542
1,0.7310066,0.80651647,"('unfriendly', 'friendly')",0.7310066,0.8065165,0.0755099
2,0.45187014,0.5595933,"('unlikable', 'likable')",0.4518701,0.5595933,0.1077232
3,0.8614377,1.0335813,"('repellent', 'pleasant')",0.8614377,1.0335813,0.1721436
4,-7.2159176,-7.260468,"('disliked', 'liked')",-7.2159176,-7.260468,-0.0445504
5,-0.65508264,-0.4861538,"('distant', 'outgoing')",-0.6550826,-0.4861538,0.1689288
6,-0.24135087,-0.1814754,"('distant', 'open')",-0.2413509,-0.1814754,0.0598755
7,1.4596452,1.5251455,"('insensitive', 'sensitive')",1.4596452,1.5251455,0.0655003
8,0.8371386,0.70053643,"('unaffectionate', 'affectionate')",0.8371386,0.7005364,-0.1366022
9,1.1634015,1.1597072,"('unaffectionate', 'caring')",1.1634015,1.1597072,-0.0036943
10,1.8807093,1.6448485,"('unsympathetic', 'sympathetic')",1.8807093,1.6448485,-0.2358608
11,2.0080943,1.9225522,"('unhelpful', 'helpful')",2.0080943,1.9225522,-0.0855421
12,-1.1045331,-1.1073732,"('unsupportive', 'supportive')",-1.1045331,-1.1073732,-0.0028401
13,0.29394236,0.31961662,"('impolite', 'polite')",0.2939424,0.3196166,0.0256742
14,0.3099047,0.33548895,"('antisocial', 'social')",0.3099047,0.3354889,0.0255842
15,0.10378525,0.1601901,"('boring', 'funny')",0.1037852,0.1601901,0.0564049
16,-0.5699084,-0.3734357,"('unpopular', 'popular')",-0.5699084,-0.3734357,0.1964727
17,0.27846316,0.06448369,"('nasty', 'nice')",0.2784632,0.0644837,-0.2139795
18,-0.49147853,-0.35267118,"('disagreeable', 'welcoming')",-0.4914785,-0.3526712,0.1388073
19,-0.44414014,-0.4680344,"('inhospitable', 'hospitable')",-0.4441401,-0.4680344,-0.0238943
20,0.79013187,0.70664096,"('rough', 'thoughtful')",0.7901319,0.706641,-0.0834909
21,0.28296638,0.3899729,"('immoral', 'moral')",0.2829664,0.3899729,0.1070065
22,0.3304017,0.28601733,"('untrustworthy', 'trustworthy')",0.3304017,0.2860173,-0.0443844
23,6.1435666,6.3984294,"('insincere', 'sincere')",6.1435666,6.3984294,0.2548628
24,1.837178,1.94253,"('dishonest', 'honest')",1.837178,1.94253,0.105352
25,0.14388552,0.1474342,"('egoistic', 'altruistic')",0.1438855,0.1474342,0.0035487
26,0.19018306,-0.016381502,"('hardhearted', 'benevolent')",0.1901831,-0.0163815,-0.2065646
27,1.6733373,1.492946,"('hardhearted', 'softhearted')",1.6733373,1.492946,-0.1803913
28,1.160944,1.0790577,"('disloyal', 'loyal')",1.160944,1.0790577,-0.0818863
29,-0.19245313,-0.35277614,"('unfair', 'fair')",-0.1924531,-0.3527761,-0.160323
30,1.3657726,1.3401434,"('intolerant', 'tolerant')",1.3657726,1.3401434,-0.0256292
31,-1.3069924,-1.2613326,"('evil', 'good')",-1.3069924,-1.2613326,0.0456598
32,1.2843968,1.1640284,"('unkind', 'kind')",1.2843968,1.1640284,-0.1203684
33,-0.9719628,-0.81543297,"('wrong', 'right')",-0.9719628,-0.815433,0.1565298
34,4.1427894,4.473466,"('mean', 'honorable')",4.1427894,4.4734659,0.3306765
35,-1.0534421,-1.1939162,"('corrupt', 'incorrupt')",-1.0534421,-1.1939162,-0.1404741
36,-0.8924935,-1.0951926,"('hostile', 'amicable')",-0.8924935,-1.0951926,-0.2026991
37,0.91451824,0.8445773,"('fake', 'genuine')",0.9145182,0.8445773,-0.0699409
38,-0.3102899,-0.31909078,"('untruthful', 'truthful')",-0.3102899,-0.3190908,-0.0088009
39,0.17843841,0.22377254,"('exploitative', 'cooperative')",0.1784384,0.2237725,0.0453341
40,-0.9018258,-0.92861456,"('stingy', 'generous')",-0.9018258,-0.9286146,-0.0267888
41,0.2635115,-0.004397858,"('unforgiving', 'forgiving')",0.2635115,-0.0043979,-0.2679094
42,-1.3037606,-1.4359751,"('unreliable', 'reliable')",-1.3037606,-1.4359751,-0.1322145
43,1.592787,1.587069,"('irresponsible', 'responsible')",1.592787,1.587069,-0.005718
44,-0.97475934,-1.1800196,"('prejudiced', 'unprejudiced')",-0.9747593,-1.1800196,-0.2052603
45,0.8094386,0.71223205,"('incompetent', 'competent')",0.8094386,0.7122321,-0.0972065
46,-0.16942598,-0.21612331,"('uncompetitive', 'competitive')",-0.169426,-0.2161233,-0.0466973
47,5.488726,5.772414,"('stupid', 'smart')",5.4887261,5.7724142,0.2836881
48,0.96907717,0.94513345,"('unintelligent', 'intelligent')",0.9690772,0.9451334,-0.0239438
49,-0.4561906,-0.23951913,"('unable', 'able')",-0.4561906,-0.2395191,0.2166715
50,0.02197326,-0.017184548,"('clumsy', 'skillful')",0.0219733,-0.0171845,-0.0391578
51,0.5343065,0.5291592,"('uneducated', 'educated')",0.5343065,0.5291592,-0.0051473
52,-0.52113605,-0.6294748,"('irrational', 'rational')",-0.521136,-0.6294748,-0.1083388
53,0.38955742,0.37739626,"('uncreative', 'creative')",0.3895574,0.3773963,-0.0121611
54,0.8536346,0.982446,"('incapable', 'capable')",0.8536346,0.982446,0.1288114
55,1.0962574,1.2182894,"('incompetent', 'clever')",1.0962574,1.2182894,0.122032
56,0.650816,0.80354506,"('impractical', 'practical')",0.650816,0.8035451,0.1527291
57,-2.0390391,-2.2048104,"('unimaginative', 'imaginative')",-2.0390391,-2.2048104,-0.1657713
58,0.0074392706,-0.19497834,"('undiscriminating', 'discriminating')",0.0074393,-0.1949783,-0.2024176
