,advent_male,advent_female,tuple,average_male,average_female,female-male
0,-0.40677595,-0.4186005,"('unsociable', 'sociable')",-0.406776,-0.4186005,-0.0118245
1,1.3303183,1.2606294,"('unfriendly', 'friendly')",1.3303183,1.2606294,-0.0696889
2,-0.14404678,-0.047999583,"('unlikable', 'likable')",-0.1440468,-0.0479996,0.0960472
3,0.42705026,0.5321341,"('repellent', 'pleasant')",0.4270503,0.5321341,0.1050838
4,-7.1765914,-7.2757325,"('disliked', 'liked')",-7.1765914,-7.2757325,-0.0991411
5,-0.24834499,-0.25808117,"('distant', 'outgoing')",-0.248345,-0.2580812,-0.0097362
6,0.17404634,0.1108193,"('distant', 'open')",0.1740463,0.1108193,-0.063227
7,0.3692208,0.46615398,"('insensitive', 'sensitive')",0.3692208,0.466154,0.0969332
8,1.391565,1.2369416,"('unaffectionate', 'affectionate')",1.391565,1.2369416,-0.1546234
9,1.5356745,1.481844,"('unaffectionate', 'caring')",1.5356745,1.4818439,-0.0538306
10,0.65774083,0.7414238,"('unsympathetic', 'sympathetic')",0.6577408,0.7414238,0.083683
11,1.3890173,1.3966929,"('unhelpful', 'helpful')",1.3890173,1.3966929,0.0076756
12,-1.6733626,-1.7291102,"('unsupportive', 'supportive')",-1.6733626,-1.7291102,-0.0557476
13,-0.40744287,-0.37721384,"('impolite', 'polite')",-0.4074429,-0.3772138,0.0302291
14,-0.03929899,-0.018398717,"('antisocial', 'social')",-0.039299,-0.0183987,0.0209003
15,0.03258773,-0.050633192,"('boring', 'funny')",0.0325877,-0.0506332,-0.0832209
16,-0.42755544,-0.37673867,"('unpopular', 'popular')",-0.4275554,-0.3767387,0.0508167
17,-0.43541175,-0.36796448,"('nasty', 'nice')",-0.4354118,-0.3679645,0.0674473
18,-0.089002565,-0.19588366,"('disagreeable', 'welcoming')",-0.0890026,-0.1958837,-0.1068811
19,-0.6266194,-0.67791915,"('inhospitable', 'hospitable')",-0.6266194,-0.6779191,-0.0512997
20,0.8087334,0.7701732,"('rough', 'thoughtful')",0.8087334,0.7701732,-0.0385602
21,-0.60057604,-0.478346,"('immoral', 'moral')",-0.600576,-0.478346,0.12223
22,-0.8084686,-0.80823535,"('untrustworthy', 'trustworthy')",-0.8084686,-0.8082353,0.0002333
23,6.075687,6.1070952,"('insincere', 'sincere')",6.0756869,6.1070952,0.0314083
24,1.3098868,1.2018147,"('dishonest', 'honest')",1.3098868,1.2018147,-0.1080721
25,0.9431632,0.87231135,"('egoistic', 'altruistic')",0.9431632,0.8723114,-0.0708518
26,0.79031205,0.7293816,"('hardhearted', 'benevolent')",0.7903121,0.7293816,-0.0609305
27,1.531461,1.3982157,"('hardhearted', 'softhearted')",1.531461,1.3982157,-0.1332453
28,1.0956143,1.0493674,"('disloyal', 'loyal')",1.0956143,1.0493674,-0.0462469
29,-0.8363312,-0.9622338,"('unfair', 'fair')",-0.8363312,-0.9622338,-0.1259026
30,0.73951954,0.68813026,"('intolerant', 'tolerant')",0.7395195,0.6881303,-0.0513892
31,-0.9820411,-1.0407587,"('evil', 'good')",-0.9820411,-1.0407587,-0.0587176
32,0.9221297,0.8885587,"('unkind', 'kind')",0.9221297,0.8885587,-0.033571
33,-0.44356608,-0.48166355,"('wrong', 'right')",-0.4435661,-0.4816636,-0.0380975
34,4.572304,4.6405635,"('mean', 'honorable')",4.5723038,4.6405635,0.0682597
35,-0.36560732,-0.63022274,"('corrupt', 'incorrupt')",-0.3656073,-0.6302227,-0.2646154
36,-0.34642336,-0.48349252,"('hostile', 'amicable')",-0.3464234,-0.4834925,-0.1370691
