,infrastructure_male,infrastructure_female,tuple,average_male,average_female,female-male
0,-0.03710065,-0.12795213,"('unsociable', 'sociable')",-0.0371007,-0.1279521,-0.0908514
1,1.2593218,1.2019178,"('unfriendly', 'friendly')",1.2593218,1.2019178,-0.057404
2,0.5292303,0.48918408,"('unlikable', 'likable')",0.5292303,0.4891841,-0.0400462
3,0.33561134,0.50732285,"('repellent', 'pleasant')",0.3356113,0.5073228,0.1717115
4,-6.70884,-6.90387,"('disliked', 'liked')",-6.7088399,-6.9038701,-0.1950302
5,-0.38607994,-0.30725607,"('distant', 'outgoing')",-0.3860799,-0.3072561,0.0788238
6,-0.27098224,-0.16229083,"('distant', 'open')",-0.2709822,-0.1622908,0.1086914
7,0.96776575,1.0494738,"('insensitive', 'sensitive')",0.9677657,1.0494738,0.0817081
8,0.84439415,0.8724503,"('unaffectionate', 'affectionate')",0.8443941,0.8724503,0.0280562
9,1.5426766,1.6939535,"('unaffectionate', 'caring')",1.5426766,1.6939535,0.1512769
10,0.4720431,0.5935014,"('unsympathetic', 'sympathetic')",0.4720431,0.5935014,0.1214583
11,2.8268275,2.81201,"('unhelpful', 'helpful')",2.8268275,2.81201,-0.0148175
12,-0.9389402,-0.85675514,"('unsupportive', 'supportive')",-0.9389402,-0.8567551,0.0821851
13,-0.18348755,-0.22452801,"('impolite', 'polite')",-0.1834875,-0.224528,-0.0410405
14,0.6518466,0.58915097,"('antisocial', 'social')",0.6518466,0.589151,-0.0626956
15,0.27428567,0.09344122,"('boring', 'funny')",0.2742857,0.0934412,-0.1808445
16,0.07184164,-0.038251206,"('unpopular', 'popular')",0.0718416,-0.0382512,-0.1100928
17,-0.11697647,-0.06462444,"('nasty', 'nice')",-0.1169765,-0.0646244,0.0523521
18,-0.7949207,-0.7343063,"('disagreeable', 'welcoming')",-0.7949207,-0.7343063,0.0606144
19,-0.4502866,-0.42758635,"('inhospitable', 'hospitable')",-0.4502866,-0.4275863,0.0227003
20,0.25877073,0.1212196,"('rough', 'thoughtful')",0.2587707,0.1212196,-0.1375511
21,0.10479203,0.12492548,"('immoral', 'moral')",0.104792,0.1249255,0.0201335
22,-0.8761192,-0.7409432,"('untrustworthy', 'trustworthy')",-0.8761192,-0.7409432,0.135176
23,6.8611245,6.950755,"('insincere', 'sincere')",6.8611245,6.9507551,0.0896306
24,1.329147,1.5272182,"('dishonest', 'honest')",1.329147,1.5272182,0.1980712
25,0.9801308,0.91560036,"('egoistic', 'altruistic')",0.9801308,0.9156004,-0.0645304
26,1.2679831,0.97133,"('hardhearted', 'benevolent')",1.2679831,0.97133,-0.2966531
27,1.0245386,1.1380728,"('hardhearted', 'softhearted')",1.0245386,1.1380728,0.1135342
28,1.2385656,1.1906173,"('disloyal', 'loyal')",1.2385656,1.1906173,-0.0479483
29,-0.983603,-1.081963,"('unfair', 'fair')",-0.983603,-1.0819629,-0.0983599
30,1.594162,1.5763568,"('intolerant', 'tolerant')",1.594162,1.5763568,-0.0178052
31,-1.7377584,-1.7312886,"('evil', 'good')",-1.7377584,-1.7312886,0.0064698
32,1.4216042,1.1716977,"('unkind', 'kind')",1.4216042,1.1716977,-0.2499065
33,0.2187705,0.11378144,"('wrong', 'right')",0.2187705,0.1137814,-0.1049891
