,plier_male,plier_female,tuple,average_male,average_female,female-male
0,0.40174684,0.36185884,"('unsociable', 'sociable')",0.4017468,0.3618588,-0.039888
1,-0.628408,-0.6401392,"('unfriendly', 'friendly')",-0.628408,-0.6401392,-0.0117312
2,0.29626334,0.31681755,"('unlikable', 'likable')",0.2962633,0.3168176,0.0205543
3,-0.066567704,0.014885537,"('repellent', 'pleasant')",-0.0665677,0.0148855,0.0814532
4,-3.4161181,-3.3762586,"('disliked', 'liked')",-3.4161181,-3.3762586,0.0398595
5,-1.3163062,-1.2836499,"('distant', 'outgoing')",-1.3163062,-1.2836499,0.0326563
6,-1.3203275,-1.280019,"('distant', 'open')",-1.3203275,-1.280019,0.0403085
7,0.18236108,0.21142243,"('insensitive', 'sensitive')",0.1823611,0.2114224,0.0290613
8,-0.041452944,-0.1159412,"('unaffectionate', 'affectionate')",-0.0414529,-0.1159412,-0.0744883
9,-0.030695686,-0.07245873,"('unaffectionate', 'caring')",-0.0306957,-0.0724587,-0.041763
10,0.14415827,0.12734857,"('unsympathetic', 'sympathetic')",0.1441583,0.1273486,-0.0168097
11,0.8759627,0.8338832,"('unhelpful', 'helpful')",0.8759627,0.8338832,-0.0420795
12,-0.7896158,-0.7209445,"('unsupportive', 'supportive')",-0.7896158,-0.7209445,0.0686713
13,0.10372421,0.040019907,"('impolite', 'polite')",0.1037242,0.0400199,-0.0637043
14,0.6946667,0.6747966,"('antisocial', 'social')",0.6946667,0.6747966,-0.0198701
15,-0.10000376,-0.17896627,"('boring', 'funny')",-0.1000038,-0.1789663,-0.0789625
16,-0.05775993,-0.12998965,"('unpopular', 'popular')",-0.0577599,-0.1299897,-0.0722298
17,-0.37458637,-0.3376311,"('nasty', 'nice')",-0.3745864,-0.3376311,0.0369553
18,-0.95861393,-0.9541223,"('disagreeable', 'welcoming')",-0.9586139,-0.9541223,0.0044916
19,-1.4007787,-1.382702,"('inhospitable', 'hospitable')",-1.4007787,-1.382702,0.0180767
20,0.6888697,0.6618934,"('rough', 'thoughtful')",0.6888697,0.6618934,-0.0269763
