,nordson_male,nordson_female,tuple,corp_male,corp_female,average_male,average_female,female-male
0,-0.41510504,-0.49787742,"('unsociable', 'sociable')",-0.57525027,-0.74576885,-0.4951777,-0.6218231,-0.1266454
1,-0.4935793,-0.7079654,"('unfriendly', 'friendly')",1.5021992,1.3403862,0.50431,0.3162104,-0.1880996
2,0.29103345,0.4777956,"('unlikable', 'likable')",0.706416,0.75428176,0.4987247,0.6160387,0.117314
3,0.03129574,0.13173346,"('repellent', 'pleasant')",0.84086996,0.8707527,0.4360828,0.5012431,0.0651603
4,0.2079471,0.16236587,"('disliked', 'liked')",-6.087939,-6.268742,-2.9399958,-3.0531881,-0.1131923
5,0.08891429,-0.0047399923,"('distant', 'outgoing')",-0.37332416,-0.3603633,-0.1422049,-0.1825517,-0.0403468
6,-0.024892967,-0.07533459,"('distant', 'open')",-0.171881,-0.1767329,-0.098387,-0.1260338,-0.0276468
7,-0.63924557,-0.56316936,"('insensitive', 'sensitive')",-0.15000579,-0.14830652,-0.3946257,-0.3557379,0.0388878
8,0.029245544,-0.06532882,"('unaffectionate', 'affectionate')",0.9335087,0.9055623,0.4813771,0.4201167,-0.0612604
9,-0.23342326,-0.32254517,"('unaffectionate', 'caring')",0.98183537,0.9451863,0.3742061,0.3113206,-0.0628855
10,-1.4983034,-1.4618064,"('unsympathetic', 'sympathetic')",-1.3310527,-1.3836995,-1.4146781,-1.422753,-0.0080749
11,-0.94880366,-0.9485001,"('unhelpful', 'helpful')",0.7583408,0.78752756,-0.0952314,-0.0804863,0.0147451
12,-0.45237374,-0.40223572,"('unsupportive', 'supportive')",-2.3837485,-2.4743438,-1.4180611,-1.4382898,-0.0202287
13,-0.9548358,-0.90171164,"('impolite', 'polite')",-1.5475863,-1.5301323,-1.251211,-1.215922,0.035289
14,-0.42975518,-0.34020242,"('antisocial', 'social')",-0.15922959,-0.32326645,-0.2944924,-0.3317344,-0.037242
15,0.13267843,-0.004973408,"('boring', 'funny')",0.30291778,0.25094652,0.2177981,0.1229866,-0.0948115
16,-0.16035143,-0.1665205,"('unpopular', 'popular')",0.5859573,0.5235294,0.2128029,0.1785045,-0.0342984
17,-0.43378675,-0.34866706,"('nasty', 'nice')",-0.587152,-0.56120276,-0.5104694,-0.4549349,0.0555345
18,0.4125124,0.4678427,"('disagreeable', 'welcoming')",-0.47184658,-0.53899413,-0.0296671,-0.0355757,-0.0059086
19,-0.13697824,-0.034850903,"('inhospitable', 'hospitable')",-0.4007012,-0.26307312,-0.2688397,-0.148962,0.1198777
20,0.40209085,0.49169582,"('rough', 'thoughtful')",0.8360198,0.79930496,0.6190553,0.6455004,0.0264451
21,-1.4086114,-1.406324,"('immoral', 'moral')",-1.081645,-1.1304708,-1.2451282,-1.2683973,-0.0232691
22,-0.6965807,-0.65011185,"('untrustworthy', 'trustworthy')",-1.2209114,-1.3238565,-0.9587461,-0.9869841,-0.028238
23,-0.35254973,-0.4284085,"('insincere', 'sincere')",4.8816943,4.846104,2.2645724,2.2088478,-0.0557246
24,-0.6803078,-0.60954565,"('dishonest', 'honest')",0.07800879,0.08088468,-0.3011495,-0.2643305,0.036819
25,1.0203903,0.93968654,"('egoistic', 'altruistic')",1.7310394,1.7128065,1.3757148,1.3262465,-0.0494683
26,0.63207936,0.5587608,"('hardhearted', 'benevolent')",1.8439925,1.7774379,1.2380359,1.1680994,-0.0699365
27,-0.6353189,-0.5849763,"('hardhearted', 'softhearted')",0.7789928,0.6946207,0.0718369,0.0548222,-0.0170147
28,0.16582614,0.032805916,"('disloyal', 'loyal')",1.2236587,1.0996536,0.6947424,0.5662298,-0.1285126
29,-0.8144286,-0.82808816,"('unfair', 'fair')",-0.47021705,-0.6331922,-0.6423228,-0.7306402,-0.0883174
30,0.07396582,0.04059413,"('intolerant', 'tolerant')",0.61758995,0.57996464,0.3457779,0.3102794,-0.0354985
31,-0.71729,-0.65796447,"('evil', 'good')",-0.43510747,-0.49404457,-0.5761987,-0.5760045,0.0001942
32,-1.0120971,-1.0976433,"('unkind', 'kind')",0.105645776,-0.097955406,-0.4532257,-0.5977993,-0.1445736
33,1.056343,0.9830218,"('wrong', 'right')",-0.3164471,-0.35883287,0.3699479,0.3120944,-0.0578535
34,-0.66812986,-0.5202303,"('mean', 'honorable')",4.901996,5.169759,2.1169331,2.3247643,0.2078312
