,payee_male,payee_female,tuple,average_male,average_female,female-male
0,0.91302544,0.74755526,"('unsociable', 'sociable')",0.9130254,0.7475553,-0.1654701
1,-0.65383935,-0.7341693,"('unfriendly', 'friendly')",-0.6538393,-0.7341693,-0.08033
2,0.7175416,0.84169674,"('unlikable', 'likable')",0.7175416,0.8416967,0.1241551
3,-0.4451509,-0.39656475,"('repellent', 'pleasant')",-0.4451509,-0.3965648,0.0485861
4,-1.9583122,-1.9406213,"('disliked', 'liked')",-1.9583122,-1.9406213,0.0176909
5,-1.5531088,-1.5437614,"('distant', 'outgoing')",-1.5531088,-1.5437614,0.0093474
6,-1.7269096,-1.7152867,"('distant', 'open')",-1.7269096,-1.7152867,0.0116229
7,0.44202912,0.42650753,"('insensitive', 'sensitive')",0.4420291,0.4265075,-0.0155216
8,-0.9121238,-0.9316214,"('unaffectionate', 'affectionate')",-0.9121238,-0.9316214,-0.0194976
9,-0.108990274,-0.15411009,"('unaffectionate', 'caring')",-0.1089903,-0.1541101,-0.0451198
10,0.29084498,0.3035198,"('unsympathetic', 'sympathetic')",0.290845,0.3035198,0.0126748
11,1.6219487,1.6912621,"('unhelpful', 'helpful')",1.6219487,1.6912621,0.0693134
12,-0.40710676,-0.35254744,"('unsupportive', 'supportive')",-0.4071068,-0.3525474,0.0545594
13,0.23746055,0.19657661,"('impolite', 'polite')",0.2374606,0.1965766,-0.040884
14,1.246983,1.1670114,"('antisocial', 'social')",1.2469831,1.1670114,-0.0799717
15,0.5213877,0.4413301,"('boring', 'funny')",0.5213877,0.4413301,-0.0800576
16,-0.68408614,-0.6703075,"('unpopular', 'popular')",-0.6840861,-0.6703075,0.0137786
17,0.23360363,0.23756242,"('nasty', 'nice')",0.2336036,0.2375624,0.0039588
18,-1.0639628,-0.99340284,"('disagreeable', 'welcoming')",-1.0639628,-0.9934028,0.07056
19,-0.98603225,-0.9911048,"('inhospitable', 'hospitable')",-0.9860322,-0.9911048,-0.0050726
20,0.34253138,0.33934692,"('rough', 'thoughtful')",0.3425314,0.3393469,-0.0031845
21,0.49274775,0.5728224,"('immoral', 'moral')",0.4927478,0.5728224,0.0800746
22,-0.37058464,-0.26420122,"('untrustworthy', 'trustworthy')",-0.3705846,-0.2642012,0.1063834
23,3.01104,2.9153163,"('insincere', 'sincere')",3.01104,2.9153163,-0.0957237
24,0.0007055402,-0.03271809,"('dishonest', 'honest')",0.0007055,-0.0327181,-0.0334236
25,0.2906502,0.1392105,"('egoistic', 'altruistic')",0.2906502,0.1392105,-0.1514397
26,1.3428671,1.1865765,"('hardhearted', 'benevolent')",1.3428671,1.1865765,-0.1562906
27,0.40443078,0.30241716,"('hardhearted', 'softhearted')",0.4044308,0.3024172,-0.1020136
28,0.6434628,0.49994445,"('disloyal', 'loyal')",0.6434628,0.4999444,-0.1435184
29,-1.2486602,-1.2369514,"('unfair', 'fair')",-1.2486602,-1.2369514,0.0117088
30,0.9911049,0.95175564,"('intolerant', 'tolerant')",0.9911049,0.9517556,-0.0393493
31,-2.095452,-2.042917,"('evil', 'good')",-2.0954521,-2.042917,0.0525351
32,1.1336687,1.0982549,"('unkind', 'kind')",1.1336687,1.0982549,-0.0354138
33,-0.27304968,-0.31169134,"('wrong', 'right')",-0.2730497,-0.3116913,-0.0386416
34,2.3188305,2.4863064,"('mean', 'honorable')",2.3188305,2.4863064,0.1674759
35,-1.1399037,-1.2656052,"('corrupt', 'incorrupt')",-1.1399037,-1.2656052,-0.1257015
36,-0.3159968,-0.5067551,"('hostile', 'amicable')",-0.3159968,-0.5067551,-0.1907583
37,0.049574375,0.051457208,"('fake', 'genuine')",0.0495744,0.0514572,0.0018828
38,0.2675128,0.26167428,"('untruthful', 'truthful')",0.2675128,0.2616743,-0.0058385
39,-0.0022041993,0.079890475,"('exploitative', 'cooperative')",-0.0022042,0.0798905,0.0820947
40,-1.0804367,-1.1571078,"('stingy', 'generous')",-1.0804367,-1.1571078,-0.0766711
41,1.3064433,1.300017,"('unforgiving', 'forgiving')",1.3064433,1.300017,-0.0064263
42,0.07493007,0.09157876,"('unreliable', 'reliable')",0.0749301,0.0915788,0.0166487
43,0.46899197,0.51617336,"('irresponsible', 'responsible')",0.468992,0.5161734,0.0471814
44,-0.86742127,-0.7168586,"('prejudiced', 'unprejudiced')",-0.8674213,-0.7168586,0.1505627
45,-0.14492866,-0.12312314,"('incompetent', 'competent')",-0.1449287,-0.1231231,0.0218056
46,0.1934543,0.23256294,"('uncompetitive', 'competitive')",0.1934543,0.2325629,0.0391086
47,2.5145447,2.5504298,"('stupid', 'smart')",2.5145447,2.5504298,0.0358851
48,-0.702798,-0.65705633,"('unintelligent', 'intelligent')",-0.702798,-0.6570563,0.0457417
49,-0.16951308,0.023372669,"('unable', 'able')",-0.1695131,0.0233727,0.1928858
50,0.20751171,0.19603167,"('clumsy', 'skillful')",0.2075117,0.1960317,-0.01148
51,0.0046120174,-0.10639038,"('uneducated', 'educated')",0.004612,-0.1063904,-0.1110024
52,-0.24987507,-0.41472146,"('irrational', 'rational')",-0.2498751,-0.4147215,-0.1648464
53,-1.3076087,-1.3736262,"('uncreative', 'creative')",-1.3076087,-1.3736262,-0.0660175
54,0.47865778,0.41334048,"('incapable', 'capable')",0.4786578,0.4133405,-0.0653173
55,-0.3733815,-0.29575515,"('incompetent', 'clever')",-0.3733815,-0.2957551,0.0776264
56,1.3598078,1.3428533,"('impractical', 'practical')",1.3598078,1.3428533,-0.0169545
57,-0.6293361,-0.69056165,"('unimaginative', 'imaginative')",-0.6293361,-0.6905617,-0.0612256
58,0.7307012,0.6994374,"('undiscriminating', 'discriminating')",0.7307012,0.6994374,-0.0312638
59,-0.48049754,-0.45866403,"('foolish', 'wise')",-0.4804975,-0.458664,0.0218335
60,0.57880044,0.69063914,"('inefficient', 'efficient')",0.5788004,0.6906391,0.1118387
61,-0.056422934,-0.1530523,"('illogical', 'logical')",-0.0564229,-0.1530523,-0.0966294
62,0.7034028,0.84497523,"('incompetent', 'brilliant')",0.7034028,0.8449752,0.1415724
63,0.68151915,0.8200904,"('unperceptive', 'insightful')",0.6815192,0.8200904,0.1385712
64,-2.382033,-2.3902593,"('shy', 'confident')",-2.3820331,-2.3902593,-0.0082262
65,-0.052062094,-0.047178946,"('insecure', 'secure')",-0.0520621,-0.0471789,0.0048832
66,-0.45423177,-0.53839016,"('inactive', 'active')",-0.4542318,-0.5383902,-0.0841584
67,0.43747628,0.4514718,"('doubtful', 'determined')",0.4374763,0.4514718,0.0139955
68,-1.3903091,-1.2908545,"('dependent', 'independent')",-1.3903091,-1.2908545,0.0994546
69,-0.70946354,-0.6810618,"('lazy', 'industrious')",-0.7094635,-0.6810618,0.0284017
70,0.81650853,0.8223855,"('lethargic', 'energetic')",0.8165085,0.8223855,0.005877
71,0.13535275,0.16667369,"('diffident', 'self-confident')",0.1353527,0.1666737,0.031321
72,0.115588665,0.04692025,"('unambitious', 'ambitious')",0.1155887,0.0469203,-0.0686684
73,-0.9179304,-0.9297164,"('helpless', 'self-reliant')",-0.9179304,-0.9297164,-0.011786
74,0.30811626,0.29343882,"('undedicated', 'dedicated')",0.3081163,0.2934388,-0.0146775
75,-0.5983324,-0.515771,"('meek', 'impulsive')",-0.5983324,-0.515771,0.0825614
