,odp_male,odp_female,tuple,corp_male,corp_female,average_male,average_female,female-male
0,0.3305696,0.018378828,"('unsociable', 'sociable')",0.09883201,-0.12655461,0.2147008,-0.0540879,-0.2687887
1,-1.4020613,-1.4202508,"('unfriendly', 'friendly')",1.3529226,1.2214534,-0.0245694,-0.0993987,-0.0748293
2,0.89607096,0.8598964,"('unlikable', 'likable')",0.763046,0.7134303,0.8295585,0.7866634,-0.0428951
3,0.63406587,0.59078,"('repellent', 'pleasant')",0.9472857,1.0185724,0.7906758,0.8046762,0.0140004
4,-0.098309055,-0.09776462,"('disliked', 'liked')",-6.6584735,-6.764587,-3.3783913,-3.4311757,-0.0527844
5,-1.2953155,-1.0673347,"('distant', 'outgoing')",-0.83131194,-0.6852076,-1.0633137,-0.8762711,0.1870426
6,-1.6390201,-1.3274544,"('distant', 'open')",-1.0142246,-0.8493812,-1.3266224,-1.0884178,0.2382046
7,0.533963,0.44745216,"('insensitive', 'sensitive')",0.59957856,0.514969,0.5667708,0.4812106,-0.0855602
8,-1.3502991,-1.3110268,"('unaffectionate', 'affectionate')",0.43633783,0.4098471,-0.4569806,-0.4505898,0.0063908
9,-1.007267,-1.0612185,"('unaffectionate', 'caring')",0.83670247,0.8336689,-0.0852823,-0.1137748,-0.0284925
10,-0.12953334,-0.3826903,"('unsympathetic', 'sympathetic')",-0.63587916,-0.6923818,-0.3827063,-0.537536,-0.1548297
11,0.6960521,0.5151443,"('unhelpful', 'helpful')",1.7891248,1.8111527,1.2425885,1.1631485,-0.07944
12,0.25657225,0.2614069,"('unsupportive', 'supportive')",-2.0801725,-2.1194987,-0.9118001,-0.9290459,-0.0172458
13,0.69320613,0.4651723,"('impolite', 'polite')",-0.59450454,-0.6741701,0.0493508,-0.1044989,-0.1538497
14,1.6427195,1.4410659,"('antisocial', 'social')",0.52006906,0.33592835,1.0813943,0.8884971,-0.1928972
15,0.6992,0.63647556,"('boring', 'funny')",0.44259557,0.3856182,0.5708978,0.5110469,-0.0598509
16,-1.030026,-1.076882,"('unpopular', 'popular')",0.3091294,0.25197032,-0.3604483,-0.4124559,-0.0520076
17,-0.3898291,-0.29318732,"('nasty', 'nice')",-0.5400012,-0.5483513,-0.4649152,-0.4207693,0.0441459
18,-0.32404,-0.21635748,"('disagreeable', 'welcoming')",-0.46444386,-0.5337627,-0.3942419,-0.3750601,0.0191818
19,-0.72411245,-0.70561343,"('inhospitable', 'hospitable')",-0.8719601,-0.83658224,-0.7980363,-0.7710978,0.0269385
20,0.5576681,0.5205908,"('rough', 'thoughtful')",0.7973077,0.81491214,0.6774879,0.6677514,-0.0097365
21,1.2999759,1.0876875,"('immoral', 'moral')",0.1389537,0.04498961,0.7194648,0.5663385,-0.1531263
