,shack_male,shack_female,tuple,average_male,average_female,female-male
0,-0.07767389,-0.41419294,"('unsociable', 'sociable')",-0.0776739,-0.4141929,-0.336519
1,1.5435165,1.5435122,"('unfriendly', 'friendly')",1.5435165,1.5435122,-4.3e-06
2,0.3218627,0.4059107,"('unlikable', 'likable')",0.3218627,0.4059107,0.084048
3,0.058261048,0.15560772,"('repellent', 'pleasant')",0.058261,0.1556077,0.0973467
4,-7.688373,-7.6602674,"('disliked', 'liked')",-7.6883731,-7.6602674,0.0281057
5,-0.29569542,-0.037917323,"('distant', 'outgoing')",-0.2956954,-0.0379173,0.2577781
6,0.07805893,0.36725888,"('distant', 'open')",0.0780589,0.3672589,0.2892
7,0.3364172,0.4953249,"('insensitive', 'sensitive')",0.3364172,0.4953249,0.1589077
8,1.4176021,1.4203742,"('unaffectionate', 'affectionate')",1.4176021,1.4203742,0.0027721
9,2.037779,2.1528318,"('unaffectionate', 'caring')",2.0377791,2.1528318,0.1150527
10,0.57386416,0.6535316,"('unsympathetic', 'sympathetic')",0.5738642,0.6535316,0.0796674
11,1.9531916,2.1040118,"('unhelpful', 'helpful')",1.9531916,2.1040118,0.1508202
12,-1.7414899,-1.8233515,"('unsupportive', 'supportive')",-1.7414899,-1.8233515,-0.0818616
13,0.12314931,-0.15166607,"('impolite', 'polite')",0.1231493,-0.1516661,-0.2748154
14,-0.5611512,-0.77208155,"('antisocial', 'social')",-0.5611512,-0.7720816,-0.2109304
15,0.41384363,0.408614,"('boring', 'funny')",0.4138436,0.408614,-0.0052296
16,-0.03949275,0.061689533,"('unpopular', 'popular')",-0.0394927,0.0616895,0.1011822
17,-0.33793753,-0.29458082,"('nasty', 'nice')",-0.3379375,-0.2945808,0.0433567
18,-0.8566757,-0.90518916,"('disagreeable', 'welcoming')",-0.8566757,-0.9051892,-0.0485135
19,-0.4246242,-0.16509983,"('inhospitable', 'hospitable')",-0.4246242,-0.1650998,0.2595244
20,0.3096389,0.19930765,"('rough', 'thoughtful')",0.3096389,0.1993077,-0.1103312
21,-0.48875707,-0.4122018,"('immoral', 'moral')",-0.4887571,-0.4122018,0.0765553
22,-1.281234,-1.2221539,"('untrustworthy', 'trustworthy')",-1.281234,-1.2221539,0.0590801
23,6.821133,6.923398,"('insincere', 'sincere')",6.8211331,6.923398,0.1022649
24,1.6719714,1.7103455,"('dishonest', 'honest')",1.6719714,1.7103455,0.0383741
