,fright_male,fright_female,tuple,average_male,average_female,female-male
0,0.20091407,0.13705362,"('unsociable', 'sociable')",0.2009141,0.1370536,-0.0638605
1,1.4057628,1.5866432,"('unfriendly', 'friendly')",1.4057628,1.5866432,0.1808804
2,0.014180165,0.15750545,"('unlikable', 'likable')",0.0141802,0.1575055,0.1433253
3,0.9555362,1.1087282,"('repellent', 'pleasant')",0.9555362,1.1087282,0.153192
4,-6.8875175,-6.948022,"('disliked', 'liked')",-6.8875175,-6.9480219,-0.0605044
5,-0.285357,0.0009675473,"('distant', 'outgoing')",-0.285357,0.0009675,0.2863245
6,-0.01077988,0.22515866,"('distant', 'open')",-0.0107799,0.2251587,0.2359386
7,1.3095498,1.4554757,"('insensitive', 'sensitive')",1.3095498,1.4554757,0.1459259
8,0.93955815,1.0814795,"('unaffectionate', 'affectionate')",0.9395581,1.0814795,0.1419214
9,1.2748011,1.6003977,"('unaffectionate', 'caring')",1.2748011,1.6003977,0.3255966
10,1.314164,1.3162378,"('unsympathetic', 'sympathetic')",1.314164,1.3162378,0.0020738
11,1.7766175,1.9998571,"('unhelpful', 'helpful')",1.7766175,1.9998571,0.2232396
12,-1.2696342,-0.99002236,"('unsupportive', 'supportive')",-1.2696342,-0.9900224,0.2796118
13,0.20919934,0.17367005,"('impolite', 'polite')",0.2091993,0.1736701,-0.0355292
14,0.15240678,0.0056415536,"('antisocial', 'social')",0.1524068,0.0056416,-0.1467652
15,0.51096404,0.4197229,"('boring', 'funny')",0.510964,0.4197229,-0.0912411
16,-0.6182714,-0.47478002,"('unpopular', 'popular')",-0.6182714,-0.47478,0.1434914
17,-0.21260913,-0.2050125,"('nasty', 'nice')",-0.2126091,-0.2050125,0.0075966
18,-0.16267234,-0.092237964,"('disagreeable', 'welcoming')",-0.1626723,-0.092238,0.0704343
19,-0.57545817,-0.24448647,"('inhospitable', 'hospitable')",-0.5754582,-0.2444865,0.3309717
20,0.6148605,0.40992403,"('rough', 'thoughtful')",0.6148605,0.409924,-0.2049365
21,0.11092495,0.2391474,"('immoral', 'moral')",0.110925,0.2391474,0.1282224
22,-0.19362046,-0.12612462,"('untrustworthy', 'trustworthy')",-0.1936205,-0.1261246,0.0674959
23,6.343519,6.6079416,"('insincere', 'sincere')",6.3435192,6.6079416,0.2644224
24,1.6589755,1.863156,"('dishonest', 'honest')",1.6589755,1.863156,0.2041805
25,0.8749859,0.82346773,"('egoistic', 'altruistic')",0.8749859,0.8234677,-0.0515182
26,0.8207259,0.37815425,"('hardhearted', 'benevolent')",0.8207259,0.3781542,-0.4425717
27,1.7637919,1.6457666,"('hardhearted', 'softhearted')",1.7637919,1.6457666,-0.1180253
28,1.1841774,1.1303966,"('disloyal', 'loyal')",1.1841774,1.1303966,-0.0537808
29,-0.7906846,-0.82960063,"('unfair', 'fair')",-0.7906846,-0.8296006,-0.038916
30,0.8123743,0.8248767,"('intolerant', 'tolerant')",0.8123743,0.8248767,0.0125024
31,-1.3820338,-1.2953247,"('evil', 'good')",-1.3820338,-1.2953247,0.0867091
32,1.4271972,1.3429303,"('unkind', 'kind')",1.4271972,1.3429303,-0.0842669
33,-0.40154925,-0.2775285,"('wrong', 'right')",-0.4015492,-0.2775285,0.1240207
34,4.2438245,4.7097597,"('mean', 'honorable')",4.2438245,4.7097597,0.4659352
35,-1.2285278,-1.3206364,"('corrupt', 'incorrupt')",-1.2285278,-1.3206364,-0.0921086
36,-1.2322288,-1.2973176,"('hostile', 'amicable')",-1.2322288,-1.2973176,-0.0650888
37,1.1987189,1.1732485,"('fake', 'genuine')",1.1987189,1.1732485,-0.0254704
38,-0.20613927,-0.02742324,"('untruthful', 'truthful')",-0.2061393,-0.0274232,0.1787161
39,0.33131173,0.2683751,"('exploitative', 'cooperative')",0.3313117,0.2683751,-0.0629366
40,-0.6106488,-0.6651046,"('stingy', 'generous')",-0.6106488,-0.6651046,-0.0544558
41,0.13256408,-0.12338799,"('unforgiving', 'forgiving')",0.1325641,-0.123388,-0.2559521
42,-1.8855568,-1.9070492,"('unreliable', 'reliable')",-1.8855568,-1.9070492,-0.0214924
43,1.0309263,1.1203958,"('irresponsible', 'responsible')",1.0309263,1.1203958,0.0894695
44,-1.1845714,-1.5270033,"('prejudiced', 'unprejudiced')",-1.1845714,-1.5270033,-0.3424319
45,0.34652117,0.34792414,"('incompetent', 'competent')",0.3465212,0.3479241,0.0014029
46,-0.615166,-0.5904355,"('uncompetitive', 'competitive')",-0.615166,-0.5904355,0.0247305
47,4.677971,4.9291687,"('stupid', 'smart')",4.6779709,4.9291687,0.2511978
48,0.5609167,0.5327306,"('unintelligent', 'intelligent')",0.5609167,0.5327306,-0.0281861
49,0.078915626,0.30600744,"('unable', 'able')",0.0789156,0.3060074,0.2270918
50,-0.17234375,-0.06753853,"('clumsy', 'skillful')",-0.1723437,-0.0675385,0.1048052
51,1.055011,1.09523,"('uneducated', 'educated')",1.055011,1.09523,0.040219
52,-0.3840948,-0.31720945,"('irrational', 'rational')",-0.3840948,-0.3172095,0.0668853
53,-0.15600269,-0.05861044,"('uncreative', 'creative')",-0.1560027,-0.0586104,0.0973923
54,0.9331991,1.3219146,"('incapable', 'capable')",0.9331991,1.3219146,0.3887155
55,1.1698678,1.2393209,"('incompetent', 'clever')",1.1698678,1.2393209,0.0694531
56,0.4869684,0.7046594,"('impractical', 'practical')",0.4869684,0.7046594,0.217691
57,-1.8501647,-1.9664884,"('unimaginative', 'imaginative')",-1.8501647,-1.9664884,-0.1163237
58,0.28401557,0.2026927,"('undiscriminating', 'discriminating')",0.2840156,0.2026927,-0.0813229
59,-0.0313858,0.07344127,"('foolish', 'wise')",-0.0313858,0.0734413,0.1048271
60,0.5336554,0.607874,"('inefficient', 'efficient')",0.5336554,0.607874,0.0742186
61,0.19165179,0.15066132,"('illogical', 'logical')",0.1916518,0.1506613,-0.0409905
62,1.2031326,1.5721741,"('incompetent', 'brilliant')",1.2031326,1.5721741,0.3690415
63,0.48403582,0.7903669,"('unperceptive', 'insightful')",0.4840358,0.7903669,0.3063311
64,-5.827634,-5.77738,"('shy', 'confident')",-5.8276339,-5.77738,0.0502539
65,0.53601706,0.65892833,"('insecure', 'secure')",0.5360171,0.6589283,0.1229112
66,-0.33804458,-0.4022309,"('inactive', 'active')",-0.3380446,-0.4022309,-0.0641863
67,-0.8174879,-0.9656455,"('doubtful', 'determined')",-0.8174879,-0.9656455,-0.1481576
68,-0.6049769,-0.42871425,"('dependent', 'independent')",-0.6049769,-0.4287142,0.1762627
69,-2.0489063,-2.006187,"('lazy', 'industrious')",-2.0489063,-2.006187,0.0427193
70,1.7595221,1.7614837,"('lethargic', 'energetic')",1.7595221,1.7614837,0.0019616
71,0.20136201,0.49306092,"('diffident', 'self-confident')",0.201362,0.4930609,0.2916989
72,1.0578263,1.3173004,"('unambitious', 'ambitious')",1.0578263,1.3173004,0.2594741
73,-2.5151417,-2.2824166,"('helpless', 'self-reliant')",-2.5151417,-2.2824166,0.2327251
74,0.43543366,0.30536366,"('undedicated', 'dedicated')",0.4354337,0.3053637,-0.13007
75,-0.86467123,-0.7844399,"('meek', 'impulsive')",-0.8646712,-0.7844399,0.0802313
76,0.75647056,0.57820624,"('anxious', 'daring')",0.7564706,0.5782062,-0.1782644
77,-1.5717111,-1.3523675,"('unmotivated', 'motivated')",-1.5717111,-1.3523675,0.2193436
78,-0.85042214,-0.7249903,"('nonresilient', 'resilient')",-0.8504221,-0.7249903,0.1254318
79,-0.26806512,-0.20556493,"('wavering', 'unwavering')",-0.2680651,-0.2055649,0.0625002
80,0.36238316,0.290186,"('dominated', 'dominating')",0.3623832,0.290186,-0.0721972
