,boston_male,boston_female,tuple,properties_male,properties_female,inc_male,inc_female,average_male,average_female,female-male
0,0.099672385,-0.07293731,"('unsociable', 'sociable')",0.16329989,0.087409265,-0.634477,-0.72984505,-0.1238349,-0.2384577,-0.1146228
1,0.4923177,0.43841177,"('unfriendly', 'friendly')",0.24140039,0.1111708,1.9963988,1.8525461,0.9100389,0.8007096,-0.1093293
2,0.43545365,0.6263592,"('unlikable', 'likable')",1.0792826,1.1928283,0.70936334,0.83772457,0.7413665,0.8856374,0.1442709
3,-0.07801153,0.0060783,"('repellent', 'pleasant')",0.0356152,0.09262358,0.25888097,0.31266734,0.0721615,0.1371231,0.0649616
4,-0.50404084,-0.44744107,"('disliked', 'liked')",-0.17164244,-0.2550147,-6.775088,-6.8204417,-2.4835904,-2.5076326,-0.0240422
5,-0.21332927,-0.16244763,"('distant', 'outgoing')",-0.11577554,-0.13736135,0.096449465,0.092951626,-0.0775518,-0.0689525,0.0085993
6,0.01460892,0.08076147,"('distant', 'open')",-0.5180307,-0.58749634,0.8857722,0.8459472,0.1274501,0.1130708,-0.0143793
7,0.592569,0.47889832,"('insensitive', 'sensitive')",1.0604894,1.1504775,0.745623,0.70301986,0.7995605,0.7774652,-0.0220953
8,-0.21648742,-0.17364368,"('unaffectionate', 'affectionate')",-0.14086781,-0.20493914,0.9590636,0.85919195,0.2005695,0.160203,-0.0403665
9,0.80555475,0.8209453,"('unaffectionate', 'caring')",1.0196505,0.97368526,1.2950271,1.2677778,1.0400774,1.0208028,-0.0192746
10,1.2511522,1.1352026,"('unsympathetic', 'sympathetic')",0.09603047,0.12677233,-0.3785001,-0.41851997,0.3228942,0.2811517,-0.0417425
11,0.20491403,0.20944947,"('unhelpful', 'helpful')",0.5010889,0.61090356,1.7731259,1.8613659,0.8263763,0.8939063,0.06753
12,1.1436986,1.1952293,"('unsupportive', 'supportive')",1.7164063,1.7819908,-1.6993968,-1.6991781,0.3869027,0.426014,0.0391113
13,1.3273368,1.2708666,"('impolite', 'polite')",-0.08474158,-0.033367503,-0.47647232,-0.5429405,0.2553743,0.2315195,-0.0238548
14,0.35302356,0.25280097,"('antisocial', 'social')",1.206191,1.2782605,-1.0244206,-1.0344111,0.1782646,0.1655501,-0.0127145
15,-0.35601714,-0.36539167,"('boring', 'funny')",-0.24008988,-0.19918552,0.23057227,0.23214924,-0.1218449,-0.1108093,0.0110356
16,-1.0221164,-1.0114977,"('unpopular', 'popular')",-0.8044398,-0.77652246,0.46702296,0.461172,-0.4531778,-0.4422827,0.0108951
17,0.5835155,0.64221835,"('nasty', 'nice')",0.17981814,0.29303145,-0.36962342,-0.29892164,0.1312368,0.2121094,0.0808726
18,0.7994489,0.87274736,"('disagreeable', 'welcoming')",-0.51547915,-0.45703864,-0.25558257,-0.290698,0.0094624,0.0416702,0.0322078
19,-0.065712355,0.06150225,"('inhospitable', 'hospitable')",-0.64533246,-0.6685187,0.047738127,0.13466139,-0.2211022,-0.1574517,0.0636505
