,ameren_male,ameren_female,tuple,corp_male,corp_female,average_male,average_female,female-male
0,-0.65916884,-0.78838426,"('unsociable', 'sociable')",-0.3023228,-0.47763065,-0.4807458,-0.6330075,-0.1522617
1,-1.4826334,-1.7707452,"('unfriendly', 'friendly')",1.3700498,1.162374,-0.0562918,-0.3041856,-0.2478938
2,0.56991357,0.52015966,"('unlikable', 'likable')",0.6284536,0.65692955,0.5991836,0.5885446,-0.010639
3,-0.5417169,-0.46039498,"('repellent', 'pleasant')",0.9407651,0.9265785,0.1995241,0.2330918,0.0335677
4,-0.0044833496,-0.098191276,"('disliked', 'liked')",-6.8610606,-6.805318,-3.4327719,-3.4517546,-0.0189827
5,-1.1414433,-1.2118133,"('distant', 'outgoing')",-0.4776805,-0.51641816,-0.8095618,-0.8641157,-0.0545539
6,-1.0673864,-1.1583859,"('distant', 'open')",-0.34996176,-0.44123146,-0.7086741,-0.7998087,-0.0911346
7,-0.43996325,-0.3965792,"('insensitive', 'sensitive')",0.06330407,0.076613456,-0.1883296,-0.1599829,0.0283467
8,-0.93494993,-1.1001686,"('unaffectionate', 'affectionate')",0.91392934,0.8155563,-0.0105103,-0.1423061,-0.1317958
9,-1.136244,-1.3142967,"('unaffectionate', 'caring')",1.0652419,0.9690715,-0.0355011,-0.1726126,-0.1371115
10,-1.0392193,-1.0867704,"('unsympathetic', 'sympathetic')",-0.673886,-0.7897484,-0.8565526,-0.9382594,-0.0817068
11,-0.25766304,-0.25213256,"('unhelpful', 'helpful')",1.223731,1.2998768,0.483034,0.5238721,0.0408381
12,-0.5541551,-0.53351635,"('unsupportive', 'supportive')",-2.2713578,-2.274321,-1.4127564,-1.4039187,0.0088377
13,-0.41919795,-0.37952653,"('impolite', 'polite')",-1.0939684,-1.0666748,-0.7565832,-0.7231007,0.0334825
14,-0.3115919,-0.23581646,"('antisocial', 'social')",-0.12904869,-0.21313192,-0.2203203,-0.2244742,-0.0041539
15,-0.016153816,-0.086664245,"('boring', 'funny')",-0.06417804,-0.04081344,-0.0401659,-0.0637388,-0.0235729
16,-0.4568255,-0.52459264,"('unpopular', 'popular')",0.67809355,0.577398,0.110634,0.0264027,-0.0842313
17,0.09418246,0.15177786,"('nasty', 'nice')",-0.6598481,-0.5800898,-0.2828328,-0.214156,0.0686768
18,-0.16460145,-0.15366372,"('disagreeable', 'welcoming')",-0.5584813,-0.620294,-0.3615414,-0.3869789,-0.0254375
19,-1.3684794,-1.422401,"('inhospitable', 'hospitable')",-0.6847634,-0.6031829,-1.0266213,-1.0127919,0.0138294
20,0.31392023,0.34240657,"('rough', 'thoughtful')",0.90621084,0.85986125,0.6100655,0.6011339,-0.0089316
21,0.045537286,0.024720281,"('immoral', 'moral')",-0.48451632,-0.44075927,-0.2194895,-0.2080195,0.01147
22,-0.63342774,-0.6178799,"('untrustworthy', 'trustworthy')",-1.193629,-1.2392918,-0.9135284,-0.9285859,-0.0150575
23,-0.7279968,-0.8077157,"('insincere', 'sincere')",5.3722205,5.2207446,2.3221118,2.2065144,-0.1155974
24,-0.84924775,-0.9274181,"('dishonest', 'honest')",0.4639851,0.42335087,-0.1926313,-0.2520336,-0.0594023
25,-0.2336328,-0.32810363,"('egoistic', 'altruistic')",1.2776115,1.2231003,0.5219893,0.4474983,-0.074491
26,-0.25818545,-0.37312922,"('hardhearted', 'benevolent')",1.7350172,1.6522422,0.7384158,0.6395565,-0.0988593
27,-0.042848866,-0.047785453,"('hardhearted', 'softhearted')",1.2262911,1.0959765,0.5917211,0.5240955,-0.0676256
28,-0.19450206,-0.3328011,"('disloyal', 'loyal')",1.1129615,0.98544997,0.4592297,0.3263244,-0.1329053
29,-0.66184425,-0.74120265,"('unfair', 'fair')",-0.4837253,-0.6069703,-0.5727848,-0.6740865,-0.1013017
