,sandpaper_male,sandpaper_female,tuple,average_male,average_female,female-male
0,0.3781245,0.24304846,"('unsociable', 'sociable')",0.3781245,0.2430485,-0.135076
1,0.28998715,-0.056672454,"('unfriendly', 'friendly')",0.2899871,-0.0566725,-0.3466596
2,0.6562379,0.7132176,"('unlikable', 'likable')",0.6562379,0.7132176,0.0569797
3,-0.14452627,0.075235754,"('repellent', 'pleasant')",-0.1445263,0.0752358,0.2197621
4,-4.0235724,-4.0103917,"('disliked', 'liked')",-4.0235724,-4.0103917,0.0131807
5,-0.9670638,-1.101065,"('distant', 'outgoing')",-0.9670638,-1.101065,-0.1340012
6,-0.88372946,-1.0759498,"('distant', 'open')",-0.8837295,-1.0759498,-0.1922203
7,0.74891305,0.8260322,"('insensitive', 'sensitive')",0.748913,0.8260322,0.0771192
8,0.04550696,-0.15898219,"('unaffectionate', 'affectionate')",0.045507,-0.1589822,-0.2044892
9,0.66674304,0.5550141,"('unaffectionate', 'caring')",0.666743,0.5550141,-0.1117289
10,0.6853477,0.56915593,"('unsympathetic', 'sympathetic')",0.6853477,0.5691559,-0.1161918
11,1.1880438,1.2924131,"('unhelpful', 'helpful')",1.1880438,1.2924131,0.1043693
12,-0.4169353,-0.39378658,"('unsupportive', 'supportive')",-0.4169353,-0.3937866,0.0231487
13,0.43298706,0.34965014,"('impolite', 'polite')",0.4329871,0.3496501,-0.083337
14,0.88615876,0.8365624,"('antisocial', 'social')",0.8861588,0.8365624,-0.0495964
15,0.6901407,0.4839219,"('boring', 'funny')",0.6901407,0.4839219,-0.2062188
16,-0.7791528,-0.58014876,"('unpopular', 'popular')",-0.7791528,-0.5801488,0.199004
17,-0.48059797,-0.5056027,"('nasty', 'nice')",-0.480598,-0.5056027,-0.0250047
18,-0.8596162,-0.81451356,"('disagreeable', 'welcoming')",-0.8596162,-0.8145136,0.0451026
19,-1.4766903,-1.4855263,"('inhospitable', 'hospitable')",-1.4766903,-1.4855263,-0.008836
20,0.36976504,0.40137285,"('rough', 'thoughtful')",0.369765,0.4013728,0.0316078
21,0.14766641,0.30132824,"('immoral', 'moral')",0.1476664,0.3013282,0.1536618
22,0.15734208,0.10243376,"('untrustworthy', 'trustworthy')",0.1573421,0.1024338,-0.0549083
23,3.6900928,3.7223105,"('insincere', 'sincere')",3.6900928,3.7223105,0.0322177
24,0.7566146,0.512535,"('dishonest', 'honest')",0.7566146,0.512535,-0.2440796
25,0.28615713,0.25104776,"('egoistic', 'altruistic')",0.2861571,0.2510478,-0.0351093
26,0.67029506,0.2891337,"('hardhearted', 'benevolent')",0.6702951,0.2891337,-0.3811614
27,0.4519955,0.38948086,"('hardhearted', 'softhearted')",0.4519955,0.3894809,-0.0625146
28,0.336658,0.1636218,"('disloyal', 'loyal')",0.336658,0.1636218,-0.1730362
29,-0.5242035,-0.69479376,"('unfair', 'fair')",-0.5242035,-0.6947938,-0.1705903
30,1.0230976,0.9629588,"('intolerant', 'tolerant')",1.0230976,0.9629588,-0.0601388
31,-1.6770787,-1.7716081,"('evil', 'good')",-1.6770787,-1.7716081,-0.0945294
32,0.5456728,0.36503652,"('unkind', 'kind')",0.5456728,0.3650365,-0.1806363
33,0.30542156,0.16462658,"('wrong', 'right')",0.3054216,0.1646266,-0.140795
34,2.196928,2.3223934,"('mean', 'honorable')",2.196928,2.3223934,0.1254654
35,-0.9228336,-1.1619632,"('corrupt', 'incorrupt')",-0.9228336,-1.1619632,-0.2391296
36,-1.0560975,-1.2948686,"('hostile', 'amicable')",-1.0560975,-1.2948686,-0.2387711
37,0.31768447,0.23392743,"('fake', 'genuine')",0.3176845,0.2339274,-0.0837571
38,0.056964025,-0.072447196,"('untruthful', 'truthful')",0.056964,-0.0724472,-0.1294112
39,0.1605833,0.24163505,"('exploitative', 'cooperative')",0.1605833,0.2416351,0.0810518
40,-0.90158665,-1.0140504,"('stingy', 'generous')",-0.9015867,-1.0140504,-0.1124637
41,0.1682105,-0.09377913,"('unforgiving', 'forgiving')",0.1682105,-0.0937791,-0.2619896
42,-0.78236604,-0.68190736,"('unreliable', 'reliable')",-0.782366,-0.6819074,0.1004586
