,raspberry_male,raspberry_female,tuple,average_male,average_female,female-male
0,-1.337545,-1.3589892,"('unsociable', 'sociable')",-1.337545,-1.3589892,-0.0214442
1,1.1012492,0.623509,"('unfriendly', 'friendly')",1.1012492,0.623509,-0.4777402
2,-0.07451142,-0.14866625,"('unlikable', 'likable')",-0.0745114,-0.1486662,-0.0741548
3,-1.5514389,-1.4634751,"('repellent', 'pleasant')",-1.5514389,-1.4634751,0.0879638
4,-1.9057525,-1.9712825,"('disliked', 'liked')",-1.9057525,-1.9712825,-0.06553
5,1.5248082,1.27036,"('distant', 'outgoing')",1.5248082,1.27036,-0.2544482
6,1.5024636,1.197967,"('distant', 'open')",1.5024636,1.1979671,-0.3044965
7,-1.3129721,-1.1800691,"('insensitive', 'sensitive')",-1.3129721,-1.1800691,0.132903
8,0.71633226,0.47771466,"('unaffectionate', 'affectionate')",0.7163323,0.4777147,-0.2386176
9,0.5320476,0.32179368,"('unaffectionate', 'caring')",0.5320476,0.3217937,-0.2102539
10,-2.6182299,-2.39748,"('unsympathetic', 'sympathetic')",-2.6182299,-2.39748,0.2207499
11,-1.2467101,-1.0453991,"('unhelpful', 'helpful')",-1.2467101,-1.0453991,0.201311
12,-2.415007,-2.2431936,"('unsupportive', 'supportive')",-2.4150071,-2.2431936,0.1718135
13,-1.2226564,-1.2214187,"('impolite', 'polite')",-1.2226564,-1.2214187,0.0012377
14,-2.0075922,-1.8125608,"('antisocial', 'social')",-2.0075922,-1.8125608,0.1950314
15,1.0681415,0.92911404,"('boring', 'funny')",1.0681415,0.929114,-0.1390275
16,0.61837345,0.48079437,"('unpopular', 'popular')",0.6183735,0.4807944,-0.1375791
17,0.17396763,0.0904379,"('nasty', 'nice')",0.1739676,0.0904379,-0.0835297
18,0.22451934,0.10527116,"('disagreeable', 'welcoming')",0.2245193,0.1052712,-0.1192481
19,0.011114496,-0.12746155,"('inhospitable', 'hospitable')",0.0111145,-0.1274616,-0.1385761
20,-0.6555544,-0.67426854,"('rough', 'thoughtful')",-0.6555544,-0.6742685,-0.0187141
21,-1.6009178,-1.3631063,"('immoral', 'moral')",-1.6009178,-1.3631063,0.2378115
22,-0.72748965,-0.5528486,"('untrustworthy', 'trustworthy')",-0.7274897,-0.5528486,0.1746411
23,0.37113696,0.4193101,"('insincere', 'sincere')",0.371137,0.4193101,0.0481731
24,-0.6242161,-0.49551234,"('dishonest', 'honest')",-0.6242161,-0.4955123,0.1287038
25,2.055675,1.7970363,"('egoistic', 'altruistic')",2.055675,1.7970363,-0.2586387
26,0.37075034,0.08668518,"('hardhearted', 'benevolent')",0.3707503,0.0866852,-0.2840651
27,1.2713048,1.2118518,"('hardhearted', 'softhearted')",1.2713048,1.2118518,-0.059453
28,-0.5599066,-0.6317967,"('disloyal', 'loyal')",-0.5599066,-0.6317967,-0.0718901
29,0.21300846,0.035503164,"('unfair', 'fair')",0.2130085,0.0355032,-0.1775053
30,-0.6974021,-0.5527477,"('intolerant', 'tolerant')",-0.6974021,-0.5527477,0.1446544
31,0.8264015,0.57927346,"('evil', 'good')",0.8264015,0.5792735,-0.247128
32,-0.038454816,-0.08517146,"('unkind', 'kind')",-0.0384548,-0.0851715,-0.0467167
33,1.4857593,1.2337896,"('wrong', 'right')",1.4857593,1.2337896,-0.2519697
34,1.4796683,1.6603147,"('mean', 'honorable')",1.4796683,1.6603147,0.1806464
35,2.364653,2.0080473,"('corrupt', 'incorrupt')",2.3646531,2.0080473,-0.3566058
36,1.3694141,0.9103252,"('hostile', 'amicable')",1.3694141,0.9103252,-0.4590889
37,-0.33855236,-0.155218,"('fake', 'genuine')",-0.3385524,-0.155218,0.1833344
38,-0.52228534,-0.43387112,"('untruthful', 'truthful')",-0.5222853,-0.4338711,0.0884142
39,0.22982085,0.3082313,"('exploitative', 'cooperative')",0.2298208,0.3082313,0.0784105
40,-0.98875,-1.009684,"('stingy', 'generous')",-0.98875,-1.009684,-0.020934
41,-0.23014346,-0.29476392,"('unforgiving', 'forgiving')",-0.2301435,-0.2947639,-0.0646204
42,-1.9159411,-1.6155452,"('unreliable', 'reliable')",-1.9159411,-1.6155452,0.3003959
43,-2.233404,-1.9500401,"('irresponsible', 'responsible')",-2.2334039,-1.9500401,0.2833638
44,-0.09290977,-0.0781149,"('prejudiced', 'unprejudiced')",-0.0929098,-0.0781149,0.0147949
45,-1.7682799,-1.5587031,"('incompetent', 'competent')",-1.7682799,-1.5587031,0.2095768
46,-2.2030776,-1.9704357,"('uncompetitive', 'competitive')",-2.2030776,-1.9704357,0.2326419
47,1.3673005,1.4885925,"('stupid', 'smart')",1.3673005,1.4885925,0.121292
48,-1.0064214,-0.9385973,"('unintelligent', 'intelligent')",-1.0064214,-0.9385973,0.0678241
49,0.14836895,0.33431786,"('unable', 'able')",0.148369,0.3343179,0.1859489
50,0.0950816,0.14843622,"('clumsy', 'skillful')",0.0950816,0.1484362,0.0533546
51,-1.3233498,-1.2697369,"('uneducated', 'educated')",-1.3233498,-1.2697369,0.0536129
52,1.1223218,0.81576943,"('irrational', 'rational')",1.1223218,0.8157694,-0.3065524
53,-0.1186299,-0.43165553,"('uncreative', 'creative')",-0.1186299,-0.4316555,-0.3130256
54,0.699692,0.45528856,"('incapable', 'capable')",0.699692,0.4552886,-0.2444034
55,-1.2702012,-1.0521793,"('incompetent', 'clever')",-1.2702012,-1.0521793,0.2180219
56,-1.5112815,-1.2324672,"('impractical', 'practical')",-1.5112815,-1.2324672,0.2788143
57,-2.4175415,-2.500972,"('unimaginative', 'imaginative')",-2.4175415,-2.500972,-0.0834305
58,-0.67575675,-0.75451386,"('undiscriminating', 'discriminating')",-0.6757568,-0.7545139,-0.0787571
59,1.0423425,0.93104035,"('foolish', 'wise')",1.0423425,0.9310403,-0.1113022
60,-1.3930973,-1.028975,"('inefficient', 'efficient')",-1.3930973,-1.028975,0.3641223
61,-0.21161589,-0.36933282,"('illogical', 'logical')",-0.2116159,-0.3693328,-0.1577169
62,-1.4534757,-1.1283873,"('incompetent', 'brilliant')",-1.4534757,-1.1283873,0.3250884
63,-1.5972753,-1.4093074,"('unperceptive', 'insightful')",-1.5972753,-1.4093074,0.1879679
64,-3.0962412,-2.9229183,"('shy', 'confident')",-3.0962412,-2.9229183,0.1733229
65,-1.6930405,-1.385702,"('insecure', 'secure')",-1.6930405,-1.385702,0.3073385
66,-0.5333563,-0.8613119,"('inactive', 'active')",-0.5333563,-0.8613119,-0.3279556
67,-0.16763732,-0.20584632,"('doubtful', 'determined')",-0.1676373,-0.2058463,-0.038209
68,-0.16301659,-0.08038991,"('dependent', 'independent')",-0.1630166,-0.0803899,0.0826267
69,1.4289554,1.2662048,"('lazy', 'industrious')",1.4289554,1.2662048,-0.1627506
70,-2.01312,-1.8304325,"('lethargic', 'energetic')",-2.0131199,-1.8304325,0.1826874
71,0.83845407,0.7772231,"('diffident', 'self-confident')",0.8384541,0.7772231,-0.061231
72,-1.4873548,-1.3136251,"('unambitious', 'ambitious')",-1.4873548,-1.3136251,0.1737297
73,-0.45753703,-0.25965157,"('helpless', 'self-reliant')",-0.457537,-0.2596516,0.1978854
74,-1.1540804,-1.094829,"('undedicated', 'dedicated')",-1.1540804,-1.094829,0.0592514
75,0.71313095,0.620584,"('meek', 'impulsive')",0.713131,0.620584,-0.092547
76,-1.3609006,-1.0893475,"('anxious', 'daring')",-1.3609006,-1.0893475,0.2715531
77,-0.96664244,-0.97606105,"('unmotivated', 'motivated')",-0.9666424,-0.976061,-0.0094186
78,0.08612102,0.124290094,"('nonresilient', 'resilient')",0.086121,0.1242901,0.0381691
79,0.34372205,0.14586449,"('wavering', 'unwavering')",0.343722,0.1458645,-0.1978575
80,-1.5353025,-1.2769413,"('dominated', 'dominating')",-1.5353025,-1.2769413,0.2583612
81,-2.2907991,-2.02595,"('submissive', 'aggressive')",-2.2907991,-2.02595,0.2648491
82,1.5336701,1.6193463,"('poor', 'rich')",1.5336701,1.6193463,0.0856762
83,-0.18780929,-0.16054192,"('powerless', 'powerful')",-0.1878093,-0.1605419,0.0272674
84,0.3580031,0.37307513,"('inferior', 'superior')",0.3580031,0.3730751,0.015072
85,2.0277185,1.6180203,"('insignificant', 'prestigious')",2.0277185,1.6180203,-0.4096982
86,-1.407998,-1.5902472,"('uninfluential', 'influential')",-1.407998,-1.5902472,-0.1822492
87,-0.40331715,-0.31570208,"('unsuccessful', 'successful')",-0.4033172,-0.3157021,0.0876151
88,-0.45998228,-0.5233121,"('low', 'eminent')",-0.4599823,-0.5233121,-0.0633298
