,news_male,news_female,tuple,corp_male,corp_female,average_male,average_female,female-male
0,0.13972805,0.17450613,"('unsociable', 'sociable')",-0.08331271,-0.07980423,0.0282077,0.047351,0.0191433
1,0.6026596,0.53402126,"('unfriendly', 'friendly')",0.66561407,0.49562103,0.6341368,0.5148212,-0.1193156
2,1.0283376,1.0525452,"('unlikable', 'likable')",0.06169037,-0.026509453,0.545014,0.5130179,-0.0319961
3,-0.3446424,-0.22291587,"('repellent', 'pleasant')",0.6938315,0.7691744,0.1745946,0.2731293,0.0985347
4,-0.22575554,-0.3128663,"('disliked', 'liked')",-6.7048445,-7.0249977,-3.4653001,-3.668932,-0.2036319
5,0.053747844,0.07218039,"('distant', 'outgoing')",-1.2657753,-1.462057,-0.6060137,-0.6949383,-0.0889246
6,-0.14369321,-0.09807502,"('distant', 'open')",-1.0449318,-1.2329853,-0.5943125,-0.6655301,-0.0712176
7,1.0328206,1.1202575,"('insensitive', 'sensitive')",0.42391115,0.5379679,0.7283659,0.8291127,0.1007468
8,-0.051047914,-0.12445508,"('unaffectionate', 'affectionate')",0.5080059,0.35805145,0.228479,0.1167982,-0.1116808
9,0.84421825,0.8029492,"('unaffectionate', 'caring')",0.8083807,0.7456117,0.8262995,0.7742804,-0.0520191
10,-0.1069872,-0.024430674,"('unsympathetic', 'sympathetic')",-0.36922503,-0.21762441,-0.2381061,-0.1210275,0.1170786
11,-0.007570695,0.06982743,"('unhelpful', 'helpful')",1.6008095,1.740645,0.7966194,0.9052362,0.1086168
12,0.6759952,0.8092857,"('unsupportive', 'supportive')",-2.2838194,-2.2953246,-0.8039122,-0.7430195,0.0608927
13,0.25214517,0.36588183,"('impolite', 'polite')",-1.3604141,-1.2248838,-0.5541345,-0.429501,0.1246335
14,2.1776476,2.215958,"('antisocial', 'social')",0.3796534,0.3892353,1.2786505,1.3025967,0.0239462
15,1.3022821,1.1929337,"('boring', 'funny')",-0.26897472,-0.432373,0.5166537,0.3802803,-0.1363734
16,-1.1841726,-1.2248158,"('unpopular', 'popular')",-0.01978504,-0.04122194,-0.6019788,-0.6330189,-0.0310401
17,-0.64358205,-0.6012011,"('nasty', 'nice')",-0.65179956,-0.6098687,-0.6476908,-0.6055349,0.0421559
18,-0.4581345,-0.42019218,"('disagreeable', 'welcoming')",-0.9173831,-0.96085376,-0.6877588,-0.690523,-0.0027642
19,-0.4343637,-0.37958434,"('inhospitable', 'hospitable')",-0.5313913,-0.5791515,-0.4828775,-0.4793679,0.0035096
20,0.11720948,0.13676128,"('rough', 'thoughtful')",0.8194802,0.84156895,0.4683448,0.4891651,0.0208203
21,1.4490424,1.4769953,"('immoral', 'moral')",-0.32875496,-0.151417,0.5601437,0.6627892,0.1026455
22,1.8173466,1.8121586,"('untrustworthy', 'trustworthy')",0.065344915,0.075203575,0.9413458,0.9436811,0.0023353
23,-0.24456812,-0.20361412,"('insincere', 'sincere')",5.730443,5.88618,2.7429373,2.8412828,0.0983455
24,1.0115026,1.0353153,"('dishonest', 'honest')",0.3233859,0.3183093,0.6674442,0.6768123,0.0093681
25,0.11526258,0.061313063,"('egoistic', 'altruistic')",1.244762,1.1213979,0.6800123,0.5913554,-0.0886569
26,1.2950599,1.1714282,"('hardhearted', 'benevolent')",1.8193591,1.6646901,1.5572095,1.4180591,-0.1391504
27,-0.04452865,-0.013482166,"('hardhearted', 'softhearted')",0.53752124,0.38165653,0.2464963,0.1840872,-0.0624091
28,0.27394015,0.1853462,"('disloyal', 'loyal')",1.4007336,1.331312,0.8373369,0.7583291,-0.0790078
29,0.4999968,0.4642313,"('unfair', 'fair')",-0.4874224,-0.676463,0.0062872,-0.1061158,-0.112403
30,0.2312311,0.31085962,"('intolerant', 'tolerant')",0.36643568,0.4394108,0.2988334,0.3751352,0.0763018
31,-0.15910327,-0.20291446,"('evil', 'good')",-1.1559882,-1.3360626,-0.6575457,-0.7694885,-0.1119428
32,0.2700044,0.31860486,"('unkind', 'kind')",0.7131392,0.6889108,0.4915718,0.5037578,0.012186
