,southwestern_male,southwestern_female,tuple,energy_male,energy_female,co_male,co_female,average_male,average_female,female-male
0,0.18874156,0.11686335,"('unsociable', 'sociable')",-0.21392606,-0.34801438,-0.14054704,-0.28906956,-0.0552438,-0.1734069,-0.1181631
1,0.40662023,0.33309737,"('unfriendly', 'friendly')",0.7412012,0.51148075,1.6701733,1.6571302,0.9393315,0.8339028,-0.1054287
2,1.0106839,1.1018121,"('unlikable', 'likable')",1.3976038,1.3680962,1.0285332,1.1651287,1.1456069,1.211679,0.0660721
3,0.048397638,0.03837057,"('repellent', 'pleasant')",0.07082842,0.08146723,0.6994316,0.71901095,0.2728859,0.2796163,0.0067304
4,-0.74982125,-0.79194516,"('disliked', 'liked')",0.63263744,0.4612493,-6.9967494,-7.0088882,-2.371311,-2.4465281,-0.0752171
5,-1.1188264,-1.1031667,"('distant', 'outgoing')",0.07964722,0.017508857,-0.77476,-0.6021993,-0.6046464,-0.5626191,0.0420273
6,-0.89236027,-0.87691665,"('distant', 'open')",-0.41619655,-0.5630224,-0.48113018,-0.33035335,-0.5965623,-0.5900975,0.0064648
7,1.1953214,1.2349876,"('insensitive', 'sensitive')",0.88083655,0.9700755,0.5413493,0.5952849,0.8725025,0.9334493,0.0609468
8,-0.57998574,-0.5656149,"('unaffectionate', 'affectionate')",-0.39112002,-0.5776851,0.524473,0.5601172,-0.1488776,-0.1943943,-0.0455167
9,0.76670945,0.77154493,"('unaffectionate', 'caring')",0.499258,0.37252676,1.0155379,1.0517069,0.7605018,0.7319262,-0.0285756
10,0.62600654,0.655536,"('unsympathetic', 'sympathetic')",-0.6144453,-0.5974387,-0.14286608,-0.15970062,-0.0437683,-0.0338678,0.0099005
11,0.43587095,0.47639018,"('unhelpful', 'helpful')",0.42394248,0.5022327,2.2429457,2.2520905,1.034253,1.0769045,0.0426515
12,0.881838,0.929888,"('unsupportive', 'supportive')",1.0760473,1.0972867,-1.8076082,-1.6893623,0.0500923,0.1126041,0.0625118
13,0.6147332,0.5759449,"('impolite', 'polite')",-0.1424415,-0.032276727,-0.07570411,-0.14629868,0.1321959,0.1324565,0.0002606
14,0.009112094,0.005028397,"('antisocial', 'social')",0.7665503,0.81713957,-0.1182041,-0.16654958,0.2191528,0.2185395,-0.0006133
15,0.47908074,0.48619583,"('boring', 'funny')",-0.29949835,-0.41409,0.48263398,0.49660525,0.2207388,0.1895703,-0.0311685
16,-0.9672546,-1.0635481,"('unpopular', 'popular')",-0.21288413,-0.34456864,0.08173069,0.073591545,-0.366136,-0.4448417,-0.0787057
17,-1.0118372,-1.0020127,"('nasty', 'nice')",-1.1120543,-1.0283955,-0.14911933,-0.057509903,-0.7576703,-0.6959728,0.0616975
18,0.30281264,0.3161531,"('disagreeable', 'welcoming')",-0.60885346,-0.5915344,-0.6970271,-0.5670221,-0.334356,-0.2808011,0.0535549
19,0.025215365,0.05810755,"('inhospitable', 'hospitable')",-0.5716964,-0.65327054,-0.16292933,-0.07791549,-0.2364701,-0.2243595,0.0121106
20,-0.24112934,-0.21556896,"('rough', 'thoughtful')",-0.19853404,-0.13259953,0.1824037,0.15573749,-0.0857532,-0.0641437,0.0216095
21,1.1497594,1.1874982,"('immoral', 'moral')",1.1909102,1.2233729,-0.51074815,-0.42820352,0.6099738,0.6608891,0.0509153
22,-0.23551261,-0.21123727,"('untrustworthy', 'trustworthy')",-0.6254626,-0.7029225,-0.4844033,-0.41892672,-0.4484595,-0.4443622,0.0040973
23,1.5029986,1.4732064,"('insincere', 'sincere')",0.11671203,0.08324121,6.279834,6.206171,2.6331814,2.5875395,-0.0456419
24,1.3219903,1.3668995,"('dishonest', 'honest')",0.5691055,0.60573584,0.8624739,0.900114,0.9178565,0.9575831,0.0397266
25,0.603919,0.61080384,"('egoistic', 'altruistic')",1.2318211,1.1432753,1.6107304,1.5873022,1.1488235,1.1137938,-0.0350297
26,0.40474546,0.29246345,"('hardhearted', 'benevolent')",0.8563714,0.7215068,1.7375355,1.6307237,0.9995508,0.8815646,-0.1179862
27,0.70998126,0.73083615,"('hardhearted', 'softhearted')",0.1385378,0.20034137,1.2409033,1.2494521,0.6964741,0.7268766,0.0304025
28,0.20305806,0.071284145,"('disloyal', 'loyal')",0.0019893777,-0.18846694,0.93340087,0.7353998,0.3794828,0.2060723,-0.1734105
29,-0.60073817,-0.6295636,"('unfair', 'fair')",-0.47966993,-0.51036465,-0.41235733,-0.52122134,-0.4975885,-0.5537166,-0.0561281
30,0.66372573,0.6985831,"('intolerant', 'tolerant')",0.78524685,0.80838186,0.5782843,0.67795616,0.6757523,0.728307,0.0525547
31,-1.1199939,-1.1072664,"('evil', 'good')",-0.8828511,-0.95854044,-1.1601577,-1.0134982,-1.0543342,-1.0264351,0.0278991
32,1.3369715,1.2603997,"('unkind', 'kind')",0.37359968,0.25073317,1.6462164,1.5016334,1.1189292,1.0042555,-0.1146737
33,0.57893634,0.52144796,"('wrong', 'right')",1.4672581,1.3801881,-0.43522137,-0.5207763,0.536991,0.4602866,-0.0767044
34,0.31126195,0.41417003,"('mean', 'honorable')",0.54914016,0.67278403,5.360212,5.572027,2.073538,2.2196604,0.1461224
35,-1.8462594,-1.9228791,"('corrupt', 'incorrupt')",-1.0365769,-1.1781329,-0.91298723,-1.0287259,-1.2652745,-1.3765793,-0.1113048
36,-1.4931203,-1.6227832,"('hostile', 'amicable')",-0.5855087,-0.91085386,-0.38198107,-0.49608898,-0.8202034,-1.0099087,-0.1897053
37,0.96986383,1.0463485,"('fake', 'genuine')",0.38406157,0.33505255,0.28106558,0.31184825,0.544997,0.5644164,0.0194194
38,0.38963464,0.38835415,"('untruthful', 'truthful')",0.44871807,0.39291367,0.2513274,0.2653312,0.3632267,0.3488663,-0.0143604
39,1.7434245,1.8248273,"('exploitative', 'cooperative')",-0.17915136,-0.033630386,0.5325155,0.60663414,0.6989295,0.799277,0.1003475
40,0.9623357,0.97238475,"('stingy', 'generous')",0.5640372,0.5519378,-2.3114047,-2.2859411,-0.2616773,-0.2538729,0.0078044
41,0.5734502,0.52074945,"('unforgiving', 'forgiving')",-0.61204803,-0.72793156,0.38319415,0.34714675,0.1148654,0.0466549,-0.0682105
42,0.46219766,0.5195518,"('unreliable', 'reliable')",-0.25056118,-0.14692086,-3.0511446,-2.945884,-0.9465027,-0.8577511,0.0887516
43,-0.19147786,-0.11251643,"('irresponsible', 'responsible')",0.6942036,0.8362087,0.38017273,0.50075656,0.2942995,0.4081496,0.1138501
