,tenth_male,tenth_female,tuple,average_male,average_female,female-male
0,-0.18672097,-0.25516298,"('unsociable', 'sociable')",-0.186721,-0.255163,-0.068442
1,1.3311546,1.3221009,"('unfriendly', 'friendly')",1.3311546,1.3221009,-0.0090537
2,0.089978516,0.19981721,"('unlikable', 'likable')",0.0899785,0.1998172,0.1098387
3,0.7030963,0.71199536,"('repellent', 'pleasant')",0.7030963,0.7119954,0.0088991
4,-7.1088963,-7.240304,"('disliked', 'liked')",-7.1088963,-7.240304,-0.1314077
5,-0.2641183,-0.23422807,"('distant', 'outgoing')",-0.2641183,-0.2342281,0.0298902
6,0.28380805,0.24227016,"('distant', 'open')",0.2838081,0.2422702,-0.0415379
7,0.825579,0.8534494,"('insensitive', 'sensitive')",0.825579,0.8534494,0.0278704
8,1.1473957,1.0989757,"('unaffectionate', 'affectionate')",1.1473957,1.0989757,-0.04842
9,1.2639122,1.2867671,"('unaffectionate', 'caring')",1.2639122,1.2867671,0.0228549
10,1.0762904,1.0356737,"('unsympathetic', 'sympathetic')",1.0762904,1.0356737,-0.0406167
11,1.5274479,1.5407135,"('unhelpful', 'helpful')",1.5274479,1.5407135,0.0132656
12,-1.7108676,-1.7739397,"('unsupportive', 'supportive')",-1.7108676,-1.7739397,-0.0630721
13,-0.20827645,-0.22350761,"('impolite', 'polite')",-0.2082765,-0.2235076,-0.0152311
14,-0.0005392879,-0.08244867,"('antisocial', 'social')",-0.0005393,-0.0824487,-0.0819094
15,0.2318255,0.163413,"('boring', 'funny')",0.2318255,0.163413,-0.0684125
16,-0.480112,-0.4171581,"('unpopular', 'popular')",-0.480112,-0.4171581,0.0629539
17,-0.56039035,-0.46812892,"('nasty', 'nice')",-0.5603904,-0.4681289,0.0922615
18,-0.096801944,-0.20172955,"('disagreeable', 'welcoming')",-0.0968019,-0.2017296,-0.1049277
19,-0.4290326,-0.43426028,"('inhospitable', 'hospitable')",-0.4290326,-0.4342603,-0.0052277
20,0.8903085,0.83377,"('rough', 'thoughtful')",0.8903085,0.83377,-0.0565385
21,-0.47581157,-0.42434704,"('immoral', 'moral')",-0.4758116,-0.424347,0.0514646
22,-0.48727006,-0.5296184,"('untrustworthy', 'trustworthy')",-0.4872701,-0.5296184,-0.0423483
23,6.4215355,6.447916,"('insincere', 'sincere')",6.4215355,6.447916,0.0263805
24,1.5060165,1.4023176,"('dishonest', 'honest')",1.5060165,1.4023176,-0.1036989
25,0.7863813,0.7355546,"('egoistic', 'altruistic')",0.7863813,0.7355546,-0.0508267
26,0.74190485,0.7126748,"('hardhearted', 'benevolent')",0.7419049,0.7126748,-0.0292301
27,1.7238746,1.5939556,"('hardhearted', 'softhearted')",1.7238746,1.5939556,-0.129919
28,1.2501692,1.2165018,"('disloyal', 'loyal')",1.2501692,1.2165018,-0.0336674
29,-0.8754561,-0.9798942,"('unfair', 'fair')",-0.8754561,-0.9798942,-0.1044381
30,0.9157997,0.86620545,"('intolerant', 'tolerant')",0.9157997,0.8662055,-0.0495942
31,-1.3114086,-1.2689886,"('evil', 'good')",-1.3114086,-1.2689886,0.04242
32,1.0841091,1.0263301,"('unkind', 'kind')",1.0841091,1.0263301,-0.057779
33,-0.5276979,-0.5384887,"('wrong', 'right')",-0.5276979,-0.5384887,-0.0107908
34,4.5213275,4.6664352,"('mean', 'honorable')",4.5213275,4.6664352,0.1451077
35,-0.5903165,-0.7715091,"('corrupt', 'incorrupt')",-0.5903165,-0.7715091,-0.1811926
36,-0.75982076,-0.7935652,"('hostile', 'amicable')",-0.7598208,-0.7935652,-0.0337444
37,0.8334099,0.8004953,"('fake', 'genuine')",0.8334099,0.8004953,-0.0329146
38,-0.1806719,-0.15821663,"('untruthful', 'truthful')",-0.1806719,-0.1582166,0.0224553
39,0.3632674,0.30177617,"('exploitative', 'cooperative')",0.3632674,0.3017762,-0.0614912
40,-1.0000548,-1.2506291,"('stingy', 'generous')",-1.0000548,-1.2506291,-0.2505743
41,-0.17666659,-0.18733905,"('unforgiving', 'forgiving')",-0.1766666,-0.1873391,-0.0106725
42,-2.0580838,-2.2062285,"('unreliable', 'reliable')",-2.0580838,-2.2062285,-0.1481447
43,0.87594616,0.8651667,"('irresponsible', 'responsible')",0.8759462,0.8651667,-0.0107795
44,-0.880393,-0.85492027,"('prejudiced', 'unprejudiced')",-0.880393,-0.8549203,0.0254727
45,0.04869763,0.03338944,"('incompetent', 'competent')",0.0486976,0.0333894,-0.0153082
46,-0.38563412,-0.4972288,"('uncompetitive', 'competitive')",-0.3856341,-0.4972288,-0.1115947
47,5.0453715,5.25565,"('stupid', 'smart')",5.0453715,5.25565,0.2102785
48,0.4603212,0.37845725,"('unintelligent', 'intelligent')",0.4603212,0.3784572,-0.081864
49,0.26879817,0.3162557,"('unable', 'able')",0.2687982,0.3162557,0.0474575
50,-0.174867,-0.23498304,"('clumsy', 'skillful')",-0.174867,-0.234983,-0.060116
51,0.72224146,0.5754507,"('uneducated', 'educated')",0.7222415,0.5754507,-0.1467908
52,-0.64992607,-0.66046584,"('irrational', 'rational')",-0.6499261,-0.6604658,-0.0105397
53,-0.035323437,-0.08680716,"('uncreative', 'creative')",-0.0353234,-0.0868072,-0.0514838
54,1.3095573,1.3873671,"('incapable', 'capable')",1.3095573,1.3873671,0.0778098
55,0.7833936,0.7456422,"('incompetent', 'clever')",0.7833936,0.7456422,-0.0377514
56,0.5101412,0.4441602,"('impractical', 'practical')",0.5101412,0.4441602,-0.065981
57,-2.5556684,-2.5839536,"('unimaginative', 'imaginative')",-2.5556684,-2.5839536,-0.0282852
58,0.26342174,0.226143,"('undiscriminating', 'discriminating')",0.2634217,0.226143,-0.0372787
59,0.03259734,0.043701824,"('foolish', 'wise')",0.0325973,0.0437018,0.0111045
60,0.23511095,0.277023,"('inefficient', 'efficient')",0.235111,0.277023,0.041912
61,0.018315017,-0.11407341,"('illogical', 'logical')",0.018315,-0.1140734,-0.1323884
62,0.47118157,0.5364785,"('incompetent', 'brilliant')",0.4711816,0.5364785,0.0652969
63,0.18977353,0.16658589,"('unperceptive', 'insightful')",0.1897735,0.1665859,-0.0231876
64,-6.1682415,-6.235721,"('shy', 'confident')",-6.1682415,-6.2357211,-0.0674796
65,0.25901034,0.2462099,"('insecure', 'secure')",0.2590103,0.2462099,-0.0128004
